gene	panel	candidate_role	notes	human_bridge_sources_present	dentate_sources_detected_at_5pct	dentate_sources_detected_at_20pct	dentate_candidate_median_detection	dentate_candidate_max_detection	dentate_candidate_median_log1p_value	background_or_ambiguous_median_detection	broad_warning_median_detection	support_tier	dentate_vs_background_detection_delta
Ncam1	morphogenesis_cytoskeleton	shared_structural_executor	neurite outgrowth/adhesion	3	3	3	0.90408	0.963711	1.85501	0.585313	0.87743	high_priority_shared_structural_executor	0.318767
Mapt	morphogenesis_cytoskeleton	shared_structural_executor	axon microtubule protein	3	3	3	0.82726	0.845779	1.28884	0.202156	0.472759	high_priority_shared_structural_executor	0.625104
Plxna4	axon_guidance_synapse	shared_structural_executor	plexin guidance receptor	3	3	3	0.82681	0.925187	1.92274	0.303264	0.632475	high_priority_shared_structural_executor	0.523546
Dpysl2	morphogenesis_cytoskeleton	shared_structural_executor	axon guidance/cytoskeleton	3	3	3	0.776827	0.866433	1.10503	0.39511	0.736831	high_priority_shared_structural_executor	0.381718
Cntn5	axon_guidance_synapse	shared_structural_executor	Allen CB granule subset marker/adhesion	3	3	3	0.773104	0.911245	1.82628	0.30122	0.589962	high_priority_shared_structural_executor	0.471884
Robo2	axon_guidance_synapse	shared_structural_executor	axon guidance receptor	3	3	3	0.767616	0.808337	1.53153	0.288278	0.736159	high_priority_shared_structural_executor	0.479338
Nrp1	axon_guidance_synapse	shared_structural_executor	semaphorin receptor component	3	3	3	0.743767	0.867519	1.46056	0.195754	0.52372	high_priority_shared_structural_executor	0.548013
Epha4	axon_guidance_synapse	shared_structural_executor	axon guidance receptor	3	3	3	0.710722	0.826662	1.17877	0.221344	0.57695	high_priority_shared_structural_executor	0.489378
Robo1	axon_guidance_synapse	shared_structural_executor	axon guidance receptor	3	3	3	0.687878	0.792608	1.20761	0.301948	0.721645	high_priority_shared_structural_executor	0.385931
Plxna2	axon_guidance_synapse	shared_structural_executor	plexin guidance receptor	3	3	3	0.563316	0.662653	0.67303	0.16268	0.450034	high_priority_shared_structural_executor	0.400636
