source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	32081	3.11711e-05	3.11711e-05	2.16062e-05	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	32875	0	0	0	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	29474	3.39282e-05	3.39282e-05	2.35172e-05	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	56808	1.76032e-05	1.76032e-05	1.22016e-05	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	511	0	0	0	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	10533	0.000379759	0.000401199	0.000401199	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	67423	4.44952e-05	3.74697e-05	3.74697e-05	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	3304	0.000302663	0.000138513	0.000138513	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	37763	2.64809e-05	5.39386e-05	5.39386e-05	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Atoh1	ATOH1	regional_cerebellar_identity	cerebellar granule progenitor TF	36805	0	0	0	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	32081	3.11711e-05	3.11711e-05	2.16062e-05	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	32875	0.000152091	0.000152091	0.000105422	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	29474	6.78564e-05	6.78564e-05	4.70345e-05	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	56808	0.000105619	0.000105619	7.32095e-05	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	511	0	0	0	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	10533	0.000569638	0.000465401	0.000465401	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	67423	0.000118654	7.7867e-05	7.7867e-05	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	3304	0.000302663	0.000138513	0.000138513	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Barhl1	BARHL1	regional_cerebellar_identity	cerebellar granule differentiation TF	37763	0.000158886	0.000254002	0.000254002	True
