dataset	tier	status	local_outputs	libraries	cells_or_barcodes	nnz	total_counts	next_action
GSE185277	core_build_first_human_dentate_reference	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	Project/processed/human_seed_sparse_objects/GSE185277;Project/results/human_core_harmonized_cell_qc.tsv.gz;Project/results/human_core_marker_validation_scores.tsv.gz;Project/results/human_core_component_metadata_curated.tsv;Project/processed/human_core_normalized_reduced_object;Project/results/human_core_tuned_labels.tsv.gz;Project/results/human_core_dataset_aware_module_tests.tsv	7	89526	60286599	99592073	Use tuned human DG/imGC and background labels as part of the integrated human bridge/backbone comparison.
GSE185553	core_build_first_human_hippocampus_reference	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	Project/processed/human_seed_sparse_objects/GSE185553;Project/results/human_core_harmonized_cell_qc.tsv.gz;Project/results/human_core_marker_validation_scores.tsv.gz;Project/results/human_core_component_metadata_curated.tsv;Project/processed/human_core_normalized_reduced_object;Project/results/human_core_tuned_labels.tsv.gz;Project/results/human_core_dataset_aware_module_tests.tsv	27	97729	103757887	205573021	Use tuned labels as the broader hippocampal reference context in the integrated human bridge/backbone comparison.
GSE186538	core_build_first_human_dg_taxonomy	sparse_subset_built;raw_counts_removed_after_sparse_subset_export;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	Project/processed/human_dg_taxonomy_sparse_objects/GSE186538/DG_GC_candidates;Project/results/gse186538_human_dg_gc_sparse_subset_summary.tsv;Project/results/human_core_gse186538_dg_donor_summary.tsv;Project/processed/human_core_normalized_reduced_object;Project/results/human_core_tuned_labels.tsv.gz;Project/results/human_core_dataset_aware_module_tests.tsv	1	32067	113642650	331331616	Use the validated DG GC subset as the tuned human dentate granule anchor for cross-dataset comparison; redownload raw counts only if rebuilding the sparse subset from source.
GSE325391	core_build_first_human_dentate_primary	geo_metadata_curated;rds_inspected;selected_sparse_bridge_built;raw_rds_removed_after_selected_sparse_bridge_export;human_core_label_projected	Project/processed/gse325391_adult_dg_selected;Project/results/gse325391_adult_rds_inspection.md;Project/results/gse325391_human_core_label_projection.tsv.gz;Project/results/gse325391_human_core_module_tests.tsv	24	59075	80156246	557751570	Use as the primary adult human dentate anchor; redownload adult RDS only if rebuilding selected sparse bridge; fetal RDS remains deferred.
GSE268609	core_build_first_human_hippocampus_multiome	source_listing_saved;geo_metadata_curated;rna_barcodes_features_downloaded;raw_matrix_removed_after_selected_npz_export;rna_selected_npz_built;human_core_label_projected;diagnosis_module_tests_complete	External_Data/GEO/GSE268609/GSE268609_barcodes.tsv.gz;External_Data/GEO/GSE268609/GSE268609_features.tsv.gz;Project/processed/gse268609_rna_selected;Project/results/gse268609_selected_npz_summary.md;Project/results/gse268609_human_core_label_projection.tsv.gz;Project/results/gse268609_human_core_diagnosis_module_tests.tsv	39	366175	232722561	1023207067	Use as broader human hippocampal aging/AD RNA expansion in the integrated rank layer; redownload raw RNA matrix only if rebuilding selected NPZ or source labels; defer ATAC/full RDS.
human_bridge_backbone_rank	integrated_comparative_bridge	units_built;statistics_complete;source_summary_complete;plot_complete	Project/results/human_bridge_backbone_rank_units.tsv;Project/results/human_bridge_backbone_rank_statistics.tsv;Project/results/human_bridge_backbone_rank_source_summary.tsv;Project/results/human_bridge_backbone_rank_units.png;Project/results/human_bridge_backbone_rank_integration.md	0	0	0	0	Use for figure-ready comparative analysis and the first identity-versus-structural-convergence manuscript panels.
human_bridge_candidate_gene_packet	manuscript_planning_gene_packet	gene_summary_complete;candidate_packet_complete;structural_plot_complete	Project/results/human_bridge_marker_gene_summary.tsv;Project/results/human_bridge_candidate_gene_packet.tsv;Project/results/human_bridge_structural_executor_candidates.png;Project/results/human_bridge_candidate_gene_packet.md	0	67	670	0	Use as the first shared-structural-executor versus regional-identity gene shortlist; replace or refine after full ortholog-aware DE modeling.
primary_core_ortholog_module_analysis	formal_primary_core_module_analysis	ortholog_marker_map_complete;primary_units_complete;statistics_complete;leave_one_dataset_out_complete;plot_complete	Project/results/primary_core_marker_panel_ortholog_map.tsv;Project/results/primary_core_integrated_module_units.tsv;Project/results/primary_core_ortholog_module_statistics.tsv;Project/results/primary_core_ortholog_module_leave_one_dataset_out.tsv;Project/results/primary_core_identity_structural_modules.png;Project/results/primary_core_ortholog_module_analysis.md	10	418	361	0	Use as the first formal strict-core module result; next step is genome-wide ortholog-aware pseudobulk or mixed-effect DE.
primary_core_candidate_gene_pseudobulk	strict_core_candidate_gene_analysis	candidate_expression_complete;coverage_complete;statistics_complete;hits_complete;plot_complete	Project/results/primary_core_candidate_gene_pseudobulk_expression.tsv;Project/results/primary_core_candidate_gene_pseudobulk_coverage.tsv;Project/results/primary_core_candidate_gene_pseudobulk_statistics.tsv;Project/results/primary_core_candidate_gene_pseudobulk_hits.tsv;Project/results/primary_core_candidate_gene_pseudobulk_effects.png;Project/results/primary_core_candidate_gene_pseudobulk_analysis.md	10	67	16719	0	Use as the first DE-adjacent strict-core candidate-gene evidence layer; next step is genome-wide ortholog-aware pseudobulk or mixed-effect DE.
primary_core_expanded_gene_pseudobulk	strict_core_selected_gene_discovery	expanded_expression_complete;coverage_complete;statistics_complete;shared_hits_complete;branch_specific_complete;plot_complete;mechanism_triage_complete	Project/results/primary_core_expanded_gene_pseudobulk_expression.tsv.gz;Project/results/primary_core_expanded_gene_pseudobulk_coverage.tsv;Project/results/primary_core_expanded_gene_pseudobulk_statistics.tsv;Project/results/primary_core_expanded_gene_pseudobulk_shared_hits.tsv;Project/results/primary_core_expanded_gene_pseudobulk_branch_specific.tsv;Project/results/primary_core_expanded_gene_pseudobulk_shared_hits.png;Project/results/primary_core_expanded_gene_pseudobulk_analysis.md;Project/results/primary_core_expanded_gene_mechanism_triage.tsv;Project/results/primary_core_expanded_gene_mechanism_triage.md	10	2169	537070	0	Use as the broad selected-gene discovery and mechanism-triage layer; next step is true genome-wide ortholog-aware pseudobulk or mixed-effect DE.
