dataset	library_id	source_member	delimiter_hint	n_cells	n_genes	nnz	total_counts	matrix_path	barcodes_path	genes_path	cell_metadata_path	gene_metadata_path
GSE185277	GSM5609934_sample1_humanHippocampus_1_lib1	GSM5609934_sample1_humanHippocampus_1_lib1.dge.txt.gz	tab	10000	36498	9658193	15384254	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib1/gene_metadata.tsv.gz
GSE185277	GSM5609934_sample1_humanHippocampus_1_lib2	GSM5609934_sample1_humanHippocampus_1_lib2.dge.txt.gz	tab	10000	34374	6731506	9792631	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5609934_sample1_humanHippocampus_1_lib2/gene_metadata.tsv.gz
GSE185277	GSM5610939_GEO_Sample9_seq1BC79_S4	GSM5610939_GEO_Sample9_seq1BC79_S4.txt.gz	tab	15000	30554	7002264	9689795	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610939_GEO_Sample9_seq1BC79_S4/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610939_GEO_Sample9_seq1BC79_S4/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610939_GEO_Sample9_seq1BC79_S4/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610939_GEO_Sample9_seq1BC79_S4/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610939_GEO_Sample9_seq1BC79_S4/gene_metadata.tsv.gz
GSE185277	GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7	GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7.deg.txt.gz	tab	25000	35379	15889682	25717917	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610940_GEO_sample13_HCT15HBW_seq12BC82_S7/gene_metadata.tsv.gz
GSE185277	GSM5610941_sample15_BC80_S5	GSM5610941_sample15_BC80_S5.deg.txt.gz	tab	20000	33744	11979689	21517219	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610941_sample15_BC80_S5/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610941_sample15_BC80_S5/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610941_sample15_BC80_S5/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610941_sample15_BC80_S5/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610941_sample15_BC80_S5/gene_metadata.tsv.gz
GSE185277	GSM5610942_Sample20_1	GSM5610942_Sample20_1.txt.gz	whitespace	4826	34984	4689159	9122413	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_Sample20_1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_Sample20_1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_Sample20_1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_Sample20_1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_Sample20_1/gene_metadata.tsv.gz
GSE185277	GSM5610942_sample20_2	GSM5610942_sample20_2.txt.gz	whitespace	4700	34984	4336106	8367844	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_sample20_2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_sample20_2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_sample20_2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_sample20_2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185277/GSM5610942_sample20_2/gene_metadata.tsv.gz
GSE185553	GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5	GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5.deg.txt.gz	tab	10000	33479	10632965	18037686	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate1_seq12BC80_S5/gene_metadata.tsv.gz
GSE185553	GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6	GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6.deg.txt.gz	tab	10000	33567	11648086	19653273	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618237_GEO_sample7_4yrs_plate2_seq12BC81_S6/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample11_B1_lib1	GSM5618238_Sample11_B1_lib1.txt.gz	whitespace	2462	37724	2219191	3619005	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample11_B1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample11_B1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample11_B1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample11_B1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample11_B1_lib1/gene_metadata.tsv.gz
