dataset	sample	group	panel	gene	source_gene_symbol	format	observations	nonzero_observations	detection_fraction	total_expression	mean_all_observations	mean_nonzero_observations	source_path
GSE104323	10X_all_cells	all	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	24185	4	0.000165392	8	0.000330784	2	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	199	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	1232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	821	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Astro	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	651	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL_young	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	686	1	0.00145773	1	0.00145773	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	182	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	PVM	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	79	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	428	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	543	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	VLMC	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	160	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	704	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	794	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC-perin	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	468	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	353	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	1381	1	0.000724113	5	0.00362056	5	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	2419	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	4520	1	0.000221239	1	0.000221239	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	535	1	0.00186916	1	0.00186916	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	1024	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	209	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	532	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-juv	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	3420	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	cerebellar_identity	Atoh1	Atoh1	wide_gene_by_observation_table	2613	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	all	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	24185	5	0.00020674	5	0.00020674	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	199	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	1232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	821	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Astro	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	651	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL_young	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	686	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	182	5	0.0274725	5	0.0274725	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	PVM	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	79	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	428	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	543	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	VLMC	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	160	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	704	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	794	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC-perin	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	468	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	353	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	1381	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	2419	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	4520	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	535	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	1024	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	209	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	532	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-juv	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	3420	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	cerebellar_identity	Barhl1	Barhl1	wide_gene_by_observation_table	2613	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	all	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	24185	190	0.00785611	249	0.0102956	1.31053	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	199	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	1232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	821	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Astro	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	651	1	0.0015361	1	0.0015361	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL_young	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	686	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	182	2	0.010989	2	0.010989	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	PVM	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	79	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	428	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	543	1	0.00184162	1	0.00184162	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	VLMC	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	160	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	704	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	232	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	794	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC-perin	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	468	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	353	2	0.00566572	2	0.00566572	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	1381	1	0.000724113	2	0.00144823	2	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	2419	2	0.000826788	2	0.000826788	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	4520	3	0.000663717	3	0.000663717	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	535	178	0.33271	236	0.441121	1.32584	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	1024	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	209	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	532	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-juv	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	3420	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	cerebellar_identity	Barhl2	Barhl2	wide_gene_by_observation_table	2613	0	0	0	0	0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	all	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	24185	6759	0.279471	17696	0.731693	2.61814	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	199	6	0.0301508	7	0.0351759	1.16667	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	1232	31	0.0251623	32	0.025974	1.03226	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	821	22	0.0267966	23	0.0280146	1.04545	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Astro	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	651	13	0.0199693	14	0.0215054	1.07692	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL_young	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	686	15	0.0218659	17	0.0247813	1.13333	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	182	2	0.010989	2	0.010989	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	PVM	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	79	3	0.0379747	8	0.101266	2.66667	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	428	15	0.0350467	15	0.0350467	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	543	24	0.0441989	42	0.0773481	1.75	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	VLMC	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	160	6	0.0375	11	0.06875	1.83333	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	704	99	0.140625	163	0.231534	1.64646	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	232	40	0.172414	54	0.232759	1.35	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	dentate_identity	C1ql3	C1ql3	wide_gene_by_observation_table	794	192	0.241814	243	0.306045	1.26562	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
