dataset	sample	group	panel	panel_gene_count	genes_found	coverage_fraction	mean_detection_fraction_found_genes	mean_expression_found_genes	found_genes	missing_genes
GSE104323	10X_all_cells	Astro-adult	axon_guidance_synapse	15	15	1	0.0365801	0.0399351	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Astro-adult	cerebellar_identity	12	12	1	0.071361	0.0942912	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Astro-adult	dentate_identity	12	12	1	0.0220509	0.0254329	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Astro-adult	metabolic_proteomic_validation	8	7	0.875	0.40712	0.601576	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Astro-adult	morphogenesis_cytoskeleton	13	12	0.923077	0.164299	0.27239	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Astro-adult	shared_granule_neuronal	12	12	1	0.0846186	0.110322	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Astro-juv	axon_guidance_synapse	15	15	1	0.0548924	0.0614698	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Astro-juv	cerebellar_identity	12	12	1	0.0808973	0.125457	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Astro-juv	dentate_identity	12	12	1	0.0302477	0.0345107	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Astro-juv	metabolic_proteomic_validation	8	7	0.875	0.604837	1.48982	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Astro-juv	morphogenesis_cytoskeleton	13	12	0.923077	0.184937	0.305725	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Astro-juv	shared_granule_neuronal	12	12	1	0.106882	0.137231	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	CA3-Pyr	axon_guidance_synapse	15	15	1	0.316917	1.02356	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	CA3-Pyr	cerebellar_identity	12	12	1	0.0325815	0.0567043	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	CA3-Pyr	dentate_identity	12	12	1	0.20661	0.510339	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	CA3-Pyr	metabolic_proteomic_validation	8	7	0.875	0.755639	3.39447	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	CA3-Pyr	morphogenesis_cytoskeleton	13	12	0.923077	0.640821	3.13879	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	CA3-Pyr	shared_granule_neuronal	12	12	1	0.52381	5.03837	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Cajal-Retzius	axon_guidance_synapse	15	15	1	0.125358	0.232524	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Cajal-Retzius	cerebellar_identity	12	12	1	0.0925233	0.144393	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Cajal-Retzius	dentate_identity	12	12	1	0.193769	0.547664	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Cajal-Retzius	metabolic_proteomic_validation	8	7	0.875	0.812283	3.06996	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Cajal-Retzius	morphogenesis_cytoskeleton	13	12	0.923077	0.712461	3.98536	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Cajal-Retzius	shared_granule_neuronal	12	12	1	0.325545	1.0824	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Endothelial	axon_guidance_synapse	15	15	1	0.0853285	0.170411	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Endothelial	cerebellar_identity	12	12	1	0.0399018	0.0644568	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Endothelial	dentate_identity	12	12	1	0.0383671	0.0541744	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Endothelial	metabolic_proteomic_validation	8	7	0.875	0.626151	2.08208	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Endothelial	morphogenesis_cytoskeleton	13	12	0.923077	0.172191	0.534377	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Endothelial	shared_granule_neuronal	12	12	1	0.0661448	0.0971454	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Ependymal	axon_guidance_synapse	15	15	1	0.0937729	0.138461	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Ependymal	cerebellar_identity	12	12	1	0.0728021	0.105311	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Ependymal	dentate_identity	12	12	1	0.0851649	0.116758	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Ependymal	metabolic_proteomic_validation	8	7	0.875	0.684458	2.8595	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Ependymal	morphogenesis_cytoskeleton	13	12	0.923077	0.28892	0.842949	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Ependymal	shared_granule_neuronal	12	12	1	0.1337	0.257326	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	GABA	axon_guidance_synapse	15	15	1	0.163317	0.255183	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	GABA	cerebellar_identity	12	12	1	0.00797448	0.0123604	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	GABA	dentate_identity	12	12	1	0.0829346	0.19697	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	GABA	metabolic_proteomic_validation	8	7	0.875	0.726589	3.56869	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	GABA	morphogenesis_cytoskeleton	13	12	0.923077	0.608453	2.41507	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	GABA	shared_granule_neuronal	12	12	1	0.349681	2.46451	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	GC-adult	axon_guidance_synapse	15	15	1	0.120092	0.177191	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	GC-adult	cerebellar_identity	12	12	1	0.00487945	0.00516648	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	GC-adult	dentate_identity	12	12	1	0.23769	0.425915	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	GC-adult	metabolic_proteomic_validation	8	7	0.875	0.441966	0.769176	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	GC-adult	morphogenesis_cytoskeleton	13	12	0.923077	0.284284	0.550644	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	GC-adult	shared_granule_neuronal	12	12	1	0.31828	0.607953	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	GC-juv	axon_guidance_synapse	15	15	1	0.18308	0.315848	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	GC-juv	cerebellar_identity	12	12	1	0.00962476	0.0104288	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	GC-juv	dentate_identity	12	12	1	0.333017	0.764717	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	GC-juv	metabolic_proteomic_validation	8	7	0.875	0.66061	2.23634	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	GC-juv	morphogenesis_cytoskeleton	13	12	0.923077	0.363621	0.82534	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	GC-juv	shared_granule_neuronal	12	12	1	0.415716	1.04661	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Immature-Astro	axon_guidance_synapse	15	15	1	0.104147	0.135177	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Immature-Astro	cerebellar_identity	12	12	1	0.0672044	0.0980543	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Immature-Astro	dentate_identity	12	12	1	0.0613159	0.0890937	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Immature-Astro	metabolic_proteomic_validation	8	7	0.875	0.718016	2.68335	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Immature-Astro	morphogenesis_cytoskeleton	13	12	0.923077	0.363543	0.862391	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	Immature-Astro	shared_granule_neuronal	12	12	1	0.144009	0.217358	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	Immature-GABA	axon_guidance_synapse	15	15	1	0.19375	0.320182	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	Immature-GABA	cerebellar_identity	12	12	1	0.0138346	0.0302735	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	Immature-GABA	dentate_identity	12	12	1	0.172526	0.470459	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	Immature-GABA	metabolic_proteomic_validation	8	7	0.875	0.846261	5.40905	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	Immature-GABA	morphogenesis_cytoskeleton	13	12	0.923077	0.793294	7.16439	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
