dataset	sample	group	species	region	platform	n_cells_or_spots	dentate_identity_log1p	cerebellar_identity_log1p	identity_contrast_dentate_minus_cerebellar	dominant_identity_panel	shared_granule_neuronal_log1p	morphogenesis_cytoskeleton_log1p	axon_guidance_synapse_log1p	structural_program_mean_log1p	context_note
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	1232	0.0165133	0.0582091	-0.0416958	cerebellar_identity_higher	0.0681894	0.139685	0.026611	0.0781618	mixed_or_reference
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	821	0.0224023	0.0716268	-0.0492245	cerebellar_identity_higher	0.0852914	0.156104	0.0406432	0.0940129	mixed_or_reference
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	532	0.220872	0.0299615	0.190911	dentate_identity_higher	0.946405	0.879645	0.37461	0.733553	mixed_or_reference
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	535	0.222	0.0820426	0.139957	dentate_identity_higher	0.393575	1.02299	0.118926	0.51183	mixed_or_reference
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	543	0.0317881	0.0354291	-0.003641	cerebellar_identity_higher	0.0551517	0.184483	0.0844214	0.108019	mixed_or_reference
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	182	0.0699024	0.0614629	0.0084395	dentate_identity_higher	0.125353	0.298652	0.0804578	0.168154	mixed_or_reference
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	209	0.0816042	0.00640358	0.0752006	dentate_identity_higher	0.576774	0.763939	0.144203	0.494972	mixed_or_reference
GSE104323	10X_all_cells	GC-adult	mouse	dentate_gyrus	10x	2613	0.226973	0.00349856	0.223474	dentate_identity_higher	0.314507	0.26077	0.103228	0.226168	curated_dentate_granule_lineage
GSE104323	10X_all_cells	GC-juv	mouse	dentate_gyrus	10x	3420	0.360458	0.00698879	0.353469	dentate_identity_higher	0.463534	0.361364	0.169671	0.331523	curated_dentate_granule_lineage
GSE104323	10X_all_cells	Immature-Astro	mouse	dentate_gyrus	10x	651	0.0511586	0.0572229	-0.0060643	cerebellar_identity_higher	0.1248	0.359017	0.0834644	0.189094	mixed_or_reference
GSE104323	10X_all_cells	Immature-GABA	mouse	dentate_gyrus	10x	1024	0.19903	0.0133328	0.185697	dentate_identity_higher	0.598769	1.3947	0.175241	0.722903	mixed_or_reference
GSE104323	10X_all_cells	Immature-GC	mouse	dentate_gyrus	10x	2419	0.472849	0.00521281	0.467636	dentate_identity_higher	0.537843	0.83752	0.281727	0.552363	curated_dentate_granule_lineage
GSE104323	10X_all_cells	Immature-Pyr	mouse	dentate_gyrus	10x	4520	0.369587	0.0151705	0.354417	dentate_identity_higher	0.77779	1.57902	0.375411	0.91074	mixed_or_reference
GSE104323	10X_all_cells	MOL	mouse	dentate_gyrus	10x	704	0.0630377	0.0647325	-0.0016948	cerebellar_identity_higher	0.0858839	0.42289	0.0594221	0.189399	mixed_or_reference
GSE104323	10X_all_cells	MiCajal-Retziusoglia	mouse	dentate_gyrus	10x	428	0.025574	0.0120241	0.0135499	dentate_identity_higher	0.049324	0.194755	0.0349633	0.0930141	mixed_or_reference
GSE104323	10X_all_cells	NFOL	mouse	dentate_gyrus	10x	232	0.0395631	0.00288437	0.0366787	dentate_identity_higher	0.0861145	0.407185	0.04886	0.18072	mixed_or_reference
GSE104323	10X_all_cells	Neuroblast	mouse	dentate_gyrus	10x	1381	0.381013	0.0318432	0.34917	dentate_identity_higher	0.451673	0.547216	0.148473	0.382454	curated_dentate_granule_lineage
GSE104323	10X_all_cells	OPC	mouse	dentate_gyrus	10x	794	0.0687769	0.0234089	0.045368	dentate_identity_higher	0.106565	0.37588	0.0496206	0.177355	mixed_or_reference
GSE104323	10X_all_cells	PVM	mouse	dentate_gyrus	10x	79	0.0154788	0.0254117	-0.0099329	cerebellar_identity_higher	0.0462571	0.160366	0.0831869	0.0966033	mixed_or_reference
GSE104323	10X_all_cells	RGL	mouse	dentate_gyrus	10x	199	0.0385295	0.0405504	-0.0020209	cerebellar_identity_higher	0.0868241	0.201351	0.0439712	0.110715	mixed_or_reference
GSE104323	10X_all_cells	RGL_young	mouse	dentate_gyrus	10x	686	0.0712485	0.0723157	-0.0010672	cerebellar_identity_higher	0.135543	0.32397	0.0977644	0.185759	mixed_or_reference
GSE104323	10X_all_cells	VLMC	mouse	dentate_gyrus	10x	160	0.0584698	0.124165	-0.0656952	cerebellar_identity_higher	0.0823397	0.264847	0.0969648	0.148051	mixed_or_reference
GSE104323	10X_all_cells	nIPC	mouse	dentate_gyrus	10x	353	0.234844	0.0912684	0.143576	dentate_identity_higher	0.35608	0.532679	0.150824	0.346528	mixed_or_reference
GSE104323	10X_all_cells	nIPC-perin	mouse	dentate_gyrus	10x	468	0.0812308	0.100121	-0.0188902	cerebellar_identity_higher	0.172897	0.425352	0.112879	0.237043	mixed_or_reference
GSE122357	GSM3464549_P0	all	mouse	cerebellum	single_cell_RNA_seq	7468	0.272646	0.393277	-0.120631	cerebellar_identity_higher	0.607966	0.868237	0.0705281	0.515577	cerebellum_mixed_or_spatial
GSE122357	GSM3464550_P8a	all	mouse	cerebellum	single_cell_RNA_seq	6088	0.316798	0.416797	-0.099999	cerebellar_identity_higher	0.629646	0.918369	0.0635463	0.537187	cerebellum_mixed_or_spatial
GSE122357	GSM3464551_P8b	all	mouse	cerebellum	single_cell_RNA_seq	8168	0.280957	0.388204	-0.107247	cerebellar_identity_higher	0.535217	0.805033	0.0548291	0.465026	cerebellum_mixed_or_spatial
GSE150153	NAY6153A1_125	metadata_unmatched	human	organoid	10x	1189	0.305284	0.265683	0.039601	dentate_identity_higher	0.52933	1.11742	0.149884	0.598878	organoid_mixed
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	1323	0.200079	0.177084	0.022995	dentate_identity_higher	0.355337	0.75553	0.0951615	0.402009	organoid_mixed
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	73550	0.162929	0.179143	-0.016214	cerebellar_identity_higher	0.332558	0.486393	0.0478689	0.28894	cerebellum_mixed_or_spatial
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	63	0.879497	0.183641	0.695856	dentate_identity_higher	1.13535	1.36569	0.963912	1.15498	dentate_granule_enriched
GSE214309	snRNA_counts	immature_4hr	mouse	dentate_gyrus	snRNA_seq	61	1.32167	0.22944	1.09223	dentate_identity_higher	1.70691	2.07139	1.46282	1.74704	dentate_granule_enriched
GSE214309	snRNA_counts	immatureactive_1hr	mouse	dentate_gyrus	snRNA_seq	42	0.957055	0.177198	0.779857	dentate_identity_higher	1.16133	1.20869	0.871787	1.0806	dentate_granule_enriched
GSE214309	snRNA_counts	immatureactive_4hr	mouse	dentate_gyrus	snRNA_seq	32	1.26274	0.208485	1.05425	dentate_identity_higher	1.77053	1.63545	1.49553	1.63384	dentate_granule_enriched
GSE214309	snRNA_counts	mature_1hr	mouse	dentate_gyrus	snRNA_seq	44	1.0078	0.210037	0.797763	dentate_identity_higher	1.31383	1.44666	1.08706	1.28252	dentate_granule_enriched
GSE214309	snRNA_counts	mature_4hr	mouse	dentate_gyrus	snRNA_seq	44	1.32048	0.269705	1.05078	dentate_identity_higher	1.93014	1.90677	1.30544	1.71412	dentate_granule_enriched
GSE214309	snRNA_counts	matureactive_1hr	mouse	dentate_gyrus	snRNA_seq	61	0.675975	0.140814	0.535161	dentate_identity_higher	1.01526	0.996445	0.832666	0.948124	dentate_granule_enriched
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	54	0.947434	0.193095	0.754339	dentate_identity_higher	1.61864	1.31525	1.77107	1.56832	dentate_granule_enriched
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	95	2.84118	0.199377	2.6418	dentate_identity_higher	4.10949	3.49799	2.13684	3.24811	dentate_granule_enriched
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	3167	0.427559	0.235312	0.192247	dentate_identity_higher	1.18341	1.36335	0.248889	0.931883	cerebellum_mixed_or_spatial
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	2533	0.48175	0.185883	0.295867	dentate_identity_higher	1.35498	1.61151	0.296273	1.08759	cerebellum_mixed_or_spatial
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	91	2.51637	0.0847705	2.4316	dentate_identity_higher	3.49906	3.29452	1.97687	2.92348	dentate_granule_enriched
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	93	2.31494	0.106491	2.20845	dentate_identity_higher	3.40123	2.66576	1.64378	2.57026	dentate_granule_enriched
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	155	1.20533	0.0652424	1.14009	dentate_identity_higher	2.5694	1.58003	0.665495	1.60497	dentate_granule_enriched
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	94	2.6137	0.0208143	2.59289	dentate_identity_higher	3.82569	4.70703	1.95377	3.4955	dentate_granule_enriched
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	76	2.35243	0.0513935	2.30104	dentate_identity_higher	3.63948	3.70223	1.49358	2.9451	dentate_granule_enriched
GSE312658	Ctrl	all	mouse	cerebellum	10x	4857	0.12586	0.213273	-0.087413	cerebellar_identity_higher	0.505186	0.454617	0.413831	0.457878	cerebellum_mixed_or_spatial
GSE312658	cKO	all	mouse	cerebellum	10x	6946	0.135327	0.172061	-0.036734	cerebellar_identity_higher	0.479494	0.477433	0.483538	0.480155	cerebellum_mixed_or_spatial
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	40	0.347902	0.0155307	0.332371	dentate_identity_higher	0.618588	0.626291	0.341426	0.528768	mixed_or_reference
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	39	0.411908	0.0342052	0.377703	dentate_identity_higher	0.684723	0.560254	0.370787	0.538588	mixed_or_reference
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	58	0.531896	0.0140191	0.517877	dentate_identity_higher	0.748724	0.682584	0.388985	0.606764	mixed_or_reference
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	126	0.516425	0.0239253	0.4925	dentate_identity_higher	0.754052	0.693228	0.426322	0.624534	mixed_or_reference
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	42	0.409473	0.0410273	0.368446	dentate_identity_higher	0.627064	0.635833	0.372654	0.545184	mixed_or_reference
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	118	0.436386	0.0254849	0.410901	dentate_identity_higher	0.695737	0.708759	0.401364	0.601953	mixed_or_reference
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	118	0.421978	0.0218624	0.400116	dentate_identity_higher	0.648952	0.611641	0.332384	0.530992	mixed_or_reference
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	110	0.326831	0.0193408	0.30749	dentate_identity_higher	0.548634	0.527609	0.295554	0.457266	mixed_or_reference
GSE95752	C1_all_cells	DG10	mouse	dentate_gyrus	C1	75	0.243656	0.0260559	0.2176	dentate_identity_higher	0.363756	0.365778	0.210827	0.313454	mixed_or_reference
GSE95752	C1_all_cells	DG11	mouse	dentate_gyrus	C1	121	0.286362	0.0278032	0.258559	dentate_identity_higher	0.452812	0.468072	0.262855	0.39458	mixed_or_reference
GSE95752	C1_all_cells	DG12	mouse	dentate_gyrus	C1	85	0.323766	0.0163737	0.307392	dentate_identity_higher	0.515334	0.497152	0.265139	0.425875	mixed_or_reference
GSE95752	C1_all_cells	DG13	mouse	dentate_gyrus	C1	79	0.314189	0.0286232	0.285566	dentate_identity_higher	0.483268	0.456139	0.265404	0.401604	mixed_or_reference
GSE95752	C1_all_cells	DG14	mouse	dentate_gyrus	C1	59	0.388877	0.0189341	0.369943	dentate_identity_higher	0.557021	0.49905	0.29789	0.45132	mixed_or_reference
GSE95752	C1_all_cells	DG15	mouse	dentate_gyrus	C1	132	0.344134	0.0162324	0.327902	dentate_identity_higher	0.528412	0.4565	0.309173	0.431362	mixed_or_reference
GSE95752	C1_all_cells	DG16	mouse	dentate_gyrus	C1	53	0.282802	0.00861736	0.274185	dentate_identity_higher	0.517321	0.408922	0.268119	0.398121	mixed_or_reference
GSE95752	C1_all_cells	DG17	mouse	dentate_gyrus	C1	155	0.226897	0.0269656	0.199931	dentate_identity_higher	0.427484	0.447182	0.170594	0.34842	mixed_or_reference
GSE95752	C1_all_cells	DG18	mouse	dentate_gyrus	C1	76	0.0479415	0.0509369	-0.0029954	cerebellar_identity_higher	0.112774	0.25689	0.0744441	0.148036	mixed_or_reference
GSE95752	C1_all_cells	DG19	mouse	dentate_gyrus	C1	87	0.107445	0.0611918	0.0462532	dentate_identity_higher	0.194421	0.430405	0.137433	0.254086	mixed_or_reference
GSE95752	C1_all_cells	DG20	mouse	dentate_gyrus	C1	129	0.534544	0.0192051	0.515339	dentate_identity_higher	0.93659	1.54162	0.496195	0.991468	mixed_or_reference
GSE95752	C1_all_cells	DG21	mouse	dentate_gyrus	C1	136	0.462793	0.023713	0.43908	dentate_identity_higher	0.66136	1.0273	0.36031	0.68299	mixed_or_reference
GSE95752	C1_all_cells	DG22	mouse	dentate_gyrus	C1	119	0.660467	0.0260236	0.634443	dentate_identity_higher	0.888942	1.32247	0.482085	0.897832	mixed_or_reference
GSE95752	C1_all_cells	DG23	mouse	dentate_gyrus	C1	120	0.43633	0.0312611	0.405069	dentate_identity_higher	0.627501	0.892038	0.344284	0.621274	mixed_or_reference
GSE95752	C1_all_cells	DG24	mouse	dentate_gyrus	C1	132	0.604117	0.0135891	0.590528	dentate_identity_higher	0.846533	1.07541	0.467137	0.79636	mixed_or_reference
GSE95752	C1_all_cells	DG25	mouse	dentate_gyrus	C1	94	0.641006	0.0218567	0.619149	dentate_identity_higher	0.897614	1.0464	0.475762	0.806592	mixed_or_reference
