analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url
dentate_gyrus	DG_mouse_sample	102085	01042017e6-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102085
dentate_gyrus	DG_mouse_sample	102086	01052017e1-DGC-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102086
dentate_gyrus	DG_mouse_sample	102087	01052017e4-DGC-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102087
dentate_gyrus	DG_mouse_sample	102088	052417dgc2-1KS	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102088
dentate_gyrus	DG_mouse_sample	102089	052417dgc4-1KS	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102089
dentate_gyrus	DG_mouse_sample	102090	052617_DGC2	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102090
dentate_gyrus	DG_mouse_sample	102091	052617_DGC4	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102091
dentate_gyrus	DG_mouse_sample	102092	052617DGC6	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102092
dentate_gyrus	DG_mouse_sample	102093	06152016e2-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102093
dentate_gyrus	DG_mouse_sample	102094	06152016e3-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102094
