analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url	neuron_name_morph	surface	volume	n_stems	n_bifs	n_branch	width	height	depth	diameter	eucDistance	pathDistance	branch_Order	contraction	fragmentation	partition_asymmetry	pk_classic	bif_ampl_local	fractal_Dim	soma_Surface	bif_ampl_remote	length	is_control_like	dendrites_present	moderate_or_complete_dendrites	has_core_morphometry	analysis_inclusion	compact_branch_index
dentate_gyrus	DG_mouse_sample	102085	01042017e6-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102085	01042017e6-000	9083.6	5909.05	1.0	7.0	15.0	105.111	164.359	115.12	2.60005	196.417	252.892	4.0	0.883804	198.0	0.571429	2.0	54.0031	1.03979	399.001	42.362	1116.79	False	True	True	True	True	0.013431352358097762
dentate_gyrus	DG_mouse_sample	102086	01052017e1-DGC-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102086	01052017e1-DGC-000	8950.09	5396.04	1.0	11.0	23.0	162.563	131.577	72.69	2.40309	175.323	284.023	5.0	0.869785	162.0	0.581818	2.0	59.7711	1.04402	346.685	48.1779	1184.54	False	True	True	True	True	0.019416820031404596
dentate_gyrus	DG_mouse_sample	102087	01052017e4-DGC-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102087	01052017e4-DGC-000	9451.89	5079.25	1.0	11.0	23.0	138.071	142.809	69.7	2.12202	170.274	236.56	5.0	0.882531	208.0	0.284848	7.77434	74.7994	1.03613	444.891	58.3587	1402.58	False	True	True	True	True	0.016398351609177374
dentate_gyrus	DG_mouse_sample	102088	052417dgc2-1KS	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102088	052417dgc2-1KS	7475.75	5532.06	1.0	7.0	15.0	81.5109	129.73	54.53	2.96	139.328	209.747	5.0	0.841308	79.0	0.419048	2.0	44.9973	1.05892	599.884	44.6572	803.921	False	True	True	True	True	0.018658549782876673
dentate_gyrus	DG_mouse_sample	102089	052417dgc4-1KS	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102089	052417dgc4-1KS	4763.45	3524.95	1.0	3.0	7.0	164.481	124.915	36.65	2.96	168.136	249.6	3.0	0.904462	64.0	0.666667	2.0	68.0491	1.03436	610.831	39.2815	512.248	False	True	True	True	True	0.013665255891677467
dentate_gyrus	DG_mouse_sample	102090	052617_DGC2	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102090	052617_DGC2	3171.02	1228.92	1.0	6.0	13.0	116.796	138.413	36.36	1.53358	165.511	289.492	5.0	0.798378	106.0	0.555556	2.46013	59.3156	1.05718	529.037	78.9783	699.876	False	True	True	True	True	0.01857471895021404
dentate_gyrus	DG_mouse_sample	102091	052617_DGC4	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102091	052617_DGC4	4412.6	2040.83	1.0	7.0	15.0	137.086	118.297	31.34	1.85	144.114	209.669	5.0	0.770454	146.0	0.6	2.0	90.0228	1.0923	302.46	62.1359	759.23	False	True	True	True	True	0.01975685892285605
dentate_gyrus	DG_mouse_sample	102092	052617DGC6	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102092	052617DGC6	8468.26	6287.68	2.0	5.0	12.0	96.3124	116.798	37.84	2.97	129.963	350.854	4.0	0.755112	91.0	0.466667	2.0	105.028	1.07232	1155.02	79.3377	907.586	False	True	True	True	True	0.013221887512588338
dentate_gyrus	DG_mouse_sample	102093	06152016e2-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102093	06152016e2-000	11675.9	6219.34	1.0	8.0	17.0	77.0002	163.761	122.69	2.13702	176.41	448.626	5.0	0.73554	121.0	0.458333	1.89578	56.5808	1.05765	541.665	52.7758	1757.32	False	True	True	True	True	0.009673821500921859
dentate_gyrus	DG_mouse_sample	102094	06152016e3-000	Nandi	mouse	h-GFAP-Cre;Frs2(fl/fl);Frs3-/-	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Frs2, 3-double mutant	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102094	06152016e3-000	13092.1	9702.81	1.0	9.0	19.0	117.96	142.458	122.69	2.97194	183.748	427.858	4.0	0.837704	93.0	0.259259	2.0	63.0692	1.0478	442.633	50.2177	1405.98	False	True	True	True	True	0.013513705742613694
