analysis_region	species	metric	n	mean	median	q25	q75	min	max
cerebellum	Tiger	n_stems	10	4.7	5.0	4.25	5.0	4.0	5.0
cerebellum	Tiger	n_bifs	10	14.6	14.5	10.25	16.75	9.0	27.0
cerebellum	Tiger	n_branch	10	33.9	34.0	24.75	38.25	22.0	59.0
cerebellum	Tiger	length	10	429.4833	418.243	375.48775	464.0795	362.727	566.19
cerebellum	Tiger	surface	10	1112.5023	1066.845	1018.25	1241.8825000000002	900.57	1352.23
cerebellum	Tiger	volume	10	709.7366	735.3695	663.835	780.9350000000001	380.174	902.039
cerebellum	Tiger	pathDistance	10	111.62264	103.0488	89.5846	128.356	60.9585	179.689
cerebellum	Tiger	branch_Order	10	4.0	4.0	4.0	4.0	2.0	5.0
cerebellum	Tiger	fractal_Dim	10	1.072736	1.0670899999999999	1.0497774999999998	1.0997824999999999	1.03247	1.11532
cerebellum	Tiger	compact_branch_index	10	0.08081075047258507	0.08291994684127697	0.05605028378271301	0.1027636852509905	0.046684548263334805	0.12062726176115803
cerebellum	chimpanzee	n_stems	16	3.875	4.0	3.0	5.0	2.0	6.0
cerebellum	chimpanzee	n_bifs	16	5.75	6.0	4.0	7.25	2.0	9.0
cerebellum	chimpanzee	n_branch	16	15.375	17.0	10.75	19.0	8.0	21.0
cerebellum	chimpanzee	length	16	235.39513124999996	203.2295	150.10225	292.28375	93.7167	496.968
cerebellum	chimpanzee	surface	16	589.852875	534.274	407.2545	753.4295	375.991	852.957
cerebellum	chimpanzee	volume	16	470.30112499999996	468.7525	415.6525	502.70425	334.548	669.223
cerebellum	chimpanzee	pathDistance	16	102.47798125	64.45645	41.323525	105.93825	25.4678	371.664
cerebellum	chimpanzee	branch_Order	16	2.25	2.0	2.0	3.0	1.0	4.0
cerebellum	chimpanzee	fractal_Dim	16	1.109794375	1.0916649999999999	1.07111	1.1411875	1.0348	1.23687
cerebellum	chimpanzee	compact_branch_index	16	0.07657222770158165	0.07609303781271637	0.06046840024603736	0.09744381109379614	0.020122019928848538	0.12062266690367963
cerebellum	clouded leopard	n_stems	6	4.166666666666667	4.0	4.0	4.75	3.0	5.0
cerebellum	clouded leopard	n_bifs	6	5.0	4.5	3.25	5.75	2.0	10.0
cerebellum	clouded leopard	n_branch	6	14.166666666666666	13.5	10.75	15.5	7.0	25.0
cerebellum	clouded leopard	length	6	192.43534999999997	160.28199999999998	126.77775	248.88125	94.6931	345.331
cerebellum	clouded leopard	surface	6	572.4646666666667	539.1085	405.99850000000004	740.59825	276.933	910.248
cerebellum	clouded leopard	volume	6	439.01849999999996	425.586	366.7605	485.3385	322.408	608.123
cerebellum	clouded leopard	pathDistance	6	58.44	61.7957	40.960674999999995	72.916875	29.9942	86.4148
cerebellum	clouded leopard	branch_Order	6	1.8333333333333333	2.0	1.25	2.0	1.0	3.0
cerebellum	clouded leopard	fractal_Dim	6	1.1048383333333331	1.08121	1.058675	1.1554200000000001	1.05535	1.17994
cerebellum	clouded leopard	compact_branch_index	6	0.07879125403358617	0.07931802896997028	0.056987466775032906	0.10017425327948358	0.051836876754122886	0.1056043154147451
cerebellum	giraffe	n_stems	15	4.266666666666667	5.0	3.0	5.0	2.0	7.0
cerebellum	giraffe	n_bifs	15	10.933333333333334	9.0	8.0	14.0	4.0	20.0
cerebellum	giraffe	n_branch	15	26.133333333333333	23.0	20.0	33.0	10.0	44.0
cerebellum	giraffe	length	15	400.81406666666663	418.083	265.9855	481.529	184.303	687.391
cerebellum	giraffe	surface	15	1436.012066666667	1501.46	1191.925	1638.245	750.455	2091.09
cerebellum	giraffe	volume	15	909.8511333333335	888.896	830.517	1046.725	433.732	1263.07
cerebellum	giraffe	pathDistance	15	140.06770666666668	131.988	70.12055000000001	178.82	56.8731	321.296
cerebellum	giraffe	branch_Order	15	3.2666666666666666	3.0	2.5	3.5	2.0	6.0
cerebellum	giraffe	fractal_Dim	15	1.1018146666666666	1.097	1.0787550000000001	1.119355	1.07117	1.162
cerebellum	giraffe	compact_branch_index	15	0.06976391774139815	0.06453997664826298	0.049118436042803935	0.08698131505105976	0.04528035690453947	0.11394280071404156
cerebellum	human	n_stems	5	3.6	4.0	3.0	4.0	3.0	4.0
cerebellum	human	n_bifs	5	7.2	9.0	5.0	9.0	3.0	10.0
cerebellum	human	n_branch	5	18.0	21.0	14.0	22.0	10.0	23.0
cerebellum	human	length	5	293.7638	265.989	255.346	295.004	184.204	468.276
cerebellum	human	surface	5	975.8868	981.779	871.402	985.74	762.133	1278.38
cerebellum	human	volume	5	546.3178	589.312	527.81	593.961	405.26	615.246
cerebellum	human	pathDistance	5	104.33919999999998	77.4545	75.7675	99.3914	52.7906	216.292
cerebellum	human	branch_Order	5	3.0	3.0	3.0	4.0	1.0	4.0
cerebellum	human	fractal_Dim	5	1.096136	1.09491	1.07752	1.10758	1.062	1.13867
cerebellum	human	compact_branch_index	5	0.06292715686813222	0.05482756730083886	0.05428763761916136	0.07796504454176892	0.044845347615508804	0.08271018726338308
cerebellum	humpback whale	n_stems	10	4.4	4.0	3.25	5.0	3.0	7.0
cerebellum	humpback whale	n_bifs	10	8.4	8.0	7.0	9.75	3.0	14.0
cerebellum	humpback whale	n_branch	10	21.2	19.5	17.25	24.5	13.0	34.0
cerebellum	humpback whale	length	10	228.9931	223.45100000000002	181.036	275.57775000000004	138.385	358.391
cerebellum	humpback whale	surface	10	737.6306	709.658	578.68	901.7045	438.783	1137.2
cerebellum	humpback whale	volume	10	623.7286000000001	549.745	513.27275	761.1985	361.972	997.2
cerebellum	humpback whale	pathDistance	10	57.88737	54.585449999999994	51.061075	58.382325	33.6848	91.0592
cerebellum	humpback whale	branch_Order	10	3.1	3.0	3.0	3.75	1.0	5.0
cerebellum	humpback whale	fractal_Dim	10	1.091845	1.087005	1.072345	1.1131325	1.04447	1.15176
cerebellum	humpback whale	compact_branch_index	10	0.09401800664778293	0.09261636509961142	0.0837022502793269	0.10916701921210613	0.06928418774948969	0.11815081748143198
dentate_gyrus	human	n_stems	77	3.7142857142857144	4.0	3.0	4.0	2.0	7.0
dentate_gyrus	human	n_bifs	77	17.90909090909091	14.0	11.0	18.0	7.0	139.0
dentate_gyrus	human	n_branch	77	39.532467532467535	32.0	25.0	42.0	16.0	280.0
dentate_gyrus	human	length	77	4868.552467532468	3817.23	3087.14	5073.43	1545.08	29100.5
dentate_gyrus	human	surface	77	13419.46922077922	12197.6	9186.97	17087.8	3560.22	34336.0
dentate_gyrus	human	volume	77	4665.124948051948	3619.9	2518.07	6147.22	641.68	17264.2
dentate_gyrus	human	pathDistance	77	755.9489090909091	628.206	546.09	712.068	383.198	2966.09
dentate_gyrus	human	branch_Order	77	5.87012987012987	5.0	5.0	7.0	3.0	21.0
dentate_gyrus	human	fractal_Dim	77	1.0308748051948051	1.03022	1.02584	1.034	1.01314	1.06363
dentate_gyrus	human	compact_branch_index	77	0.008366668872503608	0.008076645179879986	0.007113415506455425	0.009245882692863335	0.005284512268875985	0.020838528731548508
dentate_gyrus	mouse	n_stems	249	1.4417670682730923	1.0	1.0	2.0	1.0	6.0
dentate_gyrus	mouse	n_bifs	249	11.566265060240964	10.0	5.0	14.0	0.0	405.0
dentate_gyrus	mouse	n_branch	249	24.57429718875502	21.0	12.0	30.0	2.0	812.0
dentate_gyrus	mouse	length	249	1320.2121257028111	1286.19	528.49	1989.4	46.08	4435.15
dentate_gyrus	mouse	surface	249	1981.6009546184737	1137.05	174.244	2512.36	5.61	22333.6
