dataset	sample_key	sample	region	platform	species	total_cells_or_spots	high_confidence_calls	medium_confidence_calls	reference_calls	n_analysis_units	cerebellar_candidate_cells_or_spots	cerebellum_warning_cells_or_spots	dentate_candidate_cells_or_spots	dentate_low_support_cells_or_spots	known_non_dentate_reference_cells_or_spots	organoid_granule_like_cells_or_spots	other_or_ambiguous_cells_or_spots	dentate_candidate_identity_contrast_unit_median	dentate_candidate_dentate_identity_unit_median	dentate_candidate_cerebellar_identity_unit_median	dentate_candidate_structural_rank_unit_median	cerebellar_candidate_identity_contrast_unit_median	cerebellar_candidate_dentate_identity_unit_median	cerebellar_candidate_cerebellar_identity_unit_median	cerebellar_candidate_structural_rank_unit_median	cerebellum_warning_identity_contrast_unit_median	cerebellum_warning_dentate_identity_unit_median	cerebellum_warning_cerebellar_identity_unit_median	cerebellum_warning_structural_rank_unit_median	organoid_granule_like_identity_contrast_unit_median	organoid_granule_like_dentate_identity_unit_median	organoid_granule_like_cerebellar_identity_unit_median	organoid_granule_like_structural_rank_unit_median	candidate_cells_or_spots	candidate_fraction	matrix_sample	matrix_format	matrix_source_path	features_or_genes	observations	nonzero_entries	matrix_notes	recommended_role	priority_score	priority_tier	main_recommendation	caveats
GSE104323	10X_all_cells	10X_all_cells	dentate_gyrus	10x	mouse	24185	0	0	24185	24	0	0	9833	0	14352	0	0	0.285272	0.285272	0	0.524178													9833	0.406574	10X_all_cells	wide_gene_by_observation_table	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	27933	24185	0		core dentate annotated reference and non-dentate controls	10	core	Use for primary object-level analysis: core dentate annotated reference and non-dentate controls.	suitable for next-phase object-level curation
GSE122357	P0	GSM3464549_P0	cerebellum	single_cell_RNA_seq	mouse	7468	1814	864	0	3	2678	353	0	0	0	0	4437					-0.346282	0.0866434	0.443891	0.734132	0.0734132	0.20118	0.126027	0.482726					2678	0.358597	GSM3464549_P0	wide_gene_by_observation_table	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	16963	7468	0	inside_tar	core cerebellar postnatal developmental comparison	10	core	Use for primary object-level analysis: core cerebellar postnatal developmental comparison.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE122357	P8a	GSM3464550_P8a	cerebellum	single_cell_RNA_seq	mouse	6088	1323	759	0	3	2082	319	0	0	0	0	3687					-0.373256	0.137327	0.477954	0.70951	0.110274	0.25993	0.126027	0.558804					2082	0.341984	GSM3464550_P8a	wide_gene_by_observation_table	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	17313	6088	0	inside_tar	core cerebellar postnatal developmental comparison	10	core	Use for primary object-level analysis: core cerebellar postnatal developmental comparison.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE122357	P8b	GSM3464551_P8b	cerebellum	single_cell_RNA_seq	mouse	8168	1679	1018	0	3	2697	499	0	0	0	0	4972					-0.342311	0.0866434	0.435227	0.700784	0.0734132	0.22397	0.126027	0.535994					2697	0.330191	GSM3464551_P8b	wide_gene_by_observation_table	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	17321	8168	0	inside_tar	core cerebellar postnatal developmental comparison	10	core	Use for primary object-level analysis: core cerebellar postnatal developmental comparison.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE165657	Cerebellum_aggr	Cerebellum_aggr	cerebellum	10x	human	73550	17653	7411	0	3	25064	12154	0	0	0	0	36332					-0.18904	0.0866434	0.225901	0.752679	0.0866434	0.0866434	0.0630134	0.490041					25064	0.340775	Cerebellum_aggr	10x_matrix_market	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	32738	73550	1.08933e+08	features_lines=32738;barcodes_lines=73550	core cerebellar large atlas-style validation	10	core	Use for primary object-level analysis: core cerebellar large atlas-style validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE312658	Ctrl	Ctrl	cerebellum	10x	mouse	4857	1118	711	0	3	1829	596	0	0	0	0	2432					-0.24871	0	0.288914	0.665431	0.126638	0.22397	0.0630134	0.718139					1829	0.37657	Ctrl	10x_matrix_market	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	32285	4857	1.03408e+07	features_lines=32285;barcodes_lines=4857	core cerebellar perturbation validation	10	core	Use for primary object-level analysis: core cerebellar perturbation validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE312658	cKO	cKO	cerebellum	10x	mouse	6946	1157	1172	0	3	2329	1494	0	0	0	0	3123					-0.225901	0	0.272339	0.598186	0.161376	0.22397	0.0630134	0.732076					2329	0.335301	cKO	10x_matrix_market	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	32285	6946	1.5633e+07	features_lines=32285;barcodes_lines=6946	core cerebellar perturbation validation	10	core	Use for primary object-level analysis: core cerebellar perturbation validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate
GSE95752	C1_all_cells	C1_all_cells	dentate_gyrus	C1	mouse	2303	689	298	0	71	0	0	987	768	0	0	548	0.570544	0.575646	0	0.6231													987	0.428571	C1_all_cells	wide_gene_by_observation_table	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz	16313	2303	0		core dentate single-cell maturation validation	8.5	core	Use for primary object-level analysis: core dentate single-cell maturation validation.	suitable for next-phase object-level curation
GSE292261	SS2_filtered_counts	SS2_filtered_counts	dentate_gyrus	Smart_seq2	mouse	509	119	77	0	11	0	0	196	309	0	0	4	2.56143	2.65321	0	0.674853													196	0.385069	SS2_filtered_counts	wide_observation_by_gene_table	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz	13101	509	0	cell_by_gene_orientation	core dentate postnatal developmental trajectory	7.5	core	Use for primary object-level analysis: core dentate postnatal developmental trajectory.	suitable for next-phase object-level curation
GSE214309	snRNA_counts	snRNA_counts	dentate_gyrus	snRNA_seq	mouse	401	96	50	0	22	0	0	146	238	0	0	17	1.48851	1.67904	0.0931541	0.650873													146	0.36409	snRNA_counts	wide_gene_by_observation_table	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz	46615	401	0	comma_delimited;ensembl_gene_ids	core dentate adult/activity-state validation	7	core	Use for primary object-level analysis: core dentate adult/activity-state validation.	suitable for next-phase object-level curation
GSE242688	WT_ZT12_rep1	WT_ZT12_rep1	cerebellum_spatial	visium_spatial	mouse	3167	108	141	0	3	249	935	0	0	0	0	1983					-0.101804	0.274653	0.409074	0.562046	0.507053	0.830474	0.335353	0.835491					249	0.0786233	GSM7767079_WT_ZT12_rep1	10x_matrix_market_spatial	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz	32285	3167	1.6052e+07	inside_tar;10x_visium_spatial	supporting cerebellar spatial/proteomics-linked validation	7.5	supporting	Use as validation/supporting evidence, not as the main discovery set: supporting cerebellar spatial/proteomics-linked validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate; spatial/proteomics-linked spots are not single cells
GSE242688	WT_ZT12_rep2	WT_ZT12_rep2	cerebellum_spatial	visium_spatial	mouse	2533	9	45	0	3	54	772	0	0	0	0	1707					-0.063272	0.22397	0.325774	0.475326	0.627356	0.841675	0.225901	0.791749					54	0.0213186	GSM7767080_WT_ZT12_rep2	10x_matrix_market_spatial	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz	32285	2533	1.46537e+07	inside_tar;10x_visium_spatial	supporting cerebellar spatial/proteomics-linked validation	6.5	supporting	Use as validation/supporting evidence, not as the main discovery set: supporting cerebellar spatial/proteomics-linked validation.	contains cerebellum warning calls; keep strict identity and shared structural modules separate; spatial/proteomics-linked spots are not single cells
GSE214905	patch_RNA_QC_counts	patch_RNA_QC_counts	dentate_gyrus	patch_seq	mouse	95	27	11	0	3	0	0	38	56	0	0	1	3.89751	4.19493	0.144457	0.726316													38	0.4	patch_RNA_QC_counts	wide_gene_by_observation_table	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz	22962	95	0		supporting dentate patch-seq physiology-linked validation	4.5	supporting	Use as validation/supporting evidence, not as the main discovery set: supporting dentate patch-seq physiology-linked validation.	small patch-seq sample; best for targeted validation; small observation count
GSE150153	NAY6153A1_125	NAY6153A1_125	organoid	10x	human	1189	0	0	0	2	0	0	0	0	0	402	787													-0.0860345	0.25993	0.33757	0.812868	0	0	NAY6153A1_125	10x_matrix_market	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_matrix.mtx.gz	33694	1189	4.65637e+06	features_lines=33694;barcodes_lines=1189	context organoid granule-like comparison	2	context	Use for biological context or review synthesis: context organoid granule-like comparison.	organoid metadata were previously flagged as unmatched
GSE150153	NAY6153A2_678	NAY6153A2_678	organoid	10x	human	1323	0	0	0	2	0	0	0	0	0	490	833													0.024222	0.22397	0.209326	0.758881	0	0	NAY6153A2_678	10x_matrix_market	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz	33694	1323	5.14722e+06	features_lines=33694;barcodes_lines=1323	context organoid granule-like comparison	2	context	Use for biological context or review synthesis: context organoid granule-like comparison.	organoid metadata were previously flagged as unmatched
