dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	axon_guidance_synapse	1232	15	15	0.548701	0.0365801	0.599026	0.0399351	0.026611	0.026611	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	cerebellar_identity	1232	12	12	0.856331	0.0713609	1.13149	0.0942911	0.0582091	0.0582091	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	dentate_identity	1232	12	12	0.26461	0.0220509	0.305195	0.0254329	0.0165133	0.0165133	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	1232	8	7	2.84984	0.35623	4.21104	0.52638	0.307659	0.351611	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	1232	13	12	1.97159	0.151661	3.26867	0.251436	0.139685	0.151325	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	shared_granule_neuronal	1232	12	12	1.01542	0.0846185	1.32386	0.110322	0.0681894	0.0681894	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	axon_guidance_synapse	821	15	15	0.823386	0.0548924	0.922046	0.0614698	0.0406432	0.0406432	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	cerebellar_identity	821	12	12	0.970767	0.0808973	1.50548	0.125457	0.0716268	0.0716268	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	dentate_identity	821	12	12	0.362972	0.0302477	0.414129	0.0345108	0.0224023	0.0224023	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	821	8	7	4.23386	0.529233	10.4287	1.30359	0.598791	0.684333	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	821	13	12	2.21924	0.170711	3.6687	0.282207	0.156104	0.169113	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	shared_granule_neuronal	821	12	12	1.28258	0.106882	1.64677	0.137231	0.0852914	0.0852914	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	axon_guidance_synapse	532	15	15	4.75376	0.316917	15.3534	1.02356	0.37461	0.37461	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	cerebellar_identity	532	12	12	0.390977	0.0325815	0.680451	0.0567043	0.0299615	0.0299615	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	dentate_identity	532	12	12	2.47932	0.20661	6.12406	0.510338	0.220872	0.220872	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	532	8	7	5.28947	0.661184	23.7613	2.97016	0.962291	1.09976	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	532	13	12	7.68985	0.591527	37.6654	2.89734	0.879645	0.952949	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	shared_granule_neuronal	532	12	12	6.28571	0.52381	60.4605	5.03838	0.946405	0.946405	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	axon_guidance_synapse	535	15	15	1.88037	0.125358	3.48785	0.232523	0.118926	0.118926	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	cerebellar_identity	535	12	12	1.11028	0.0925234	1.73271	0.144393	0.0820426	0.0820426	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	dentate_identity	535	12	12	2.32523	0.193769	6.57196	0.547664	0.222	0.222	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	535	8	7	5.68598	0.710748	21.4897	2.68621	0.982232	1.12255	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	535	13	12	8.54953	0.657656	47.8243	3.67879	1.02299	1.10824	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	mouse	dentate_gyrus	10x	shared_granule_neuronal	535	12	12	3.90654	0.325545	12.9888	1.0824	0.393575	0.393575	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	axon_guidance_synapse	543	15	15	1.27993	0.0853284	2.55617	0.170411	0.0844214	0.0844214	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	cerebellar_identity	543	12	12	0.478821	0.0399018	0.773481	0.0644567	0.0354291	0.0354291	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	dentate_identity	543	12	12	0.460405	0.0383671	0.650092	0.0541743	0.0317881	0.0317881	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	543	8	7	4.38306	0.547882	14.5746	1.82182	0.701826	0.802087	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	543	13	12	2.0663	0.158946	6.41252	0.493271	0.184483	0.199857	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	mouse	dentate_gyrus	10x	shared_granule_neuronal	543	12	12	0.793738	0.0661449	1.16575	0.0971455	0.0551517	0.0551517	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	axon_guidance_synapse	182	15	15	1.40659	0.0937729	2.07692	0.138462	0.0804578	0.0804578	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	cerebellar_identity	182	12	12	0.873626	0.0728022	1.26374	0.105311	0.0614629	0.0614629	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	dentate_identity	182	12	12	1.02198	0.0851648	1.4011	0.116758	0.0699024	0.0699024	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	182	8	7	4.79121	0.598901	20.0165	2.50206	0.849199	0.970514	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	182	13	12	3.46703	0.266695	10.1154	0.778107	0.298652	0.323539	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	mouse	dentate_gyrus	10x	shared_granule_neuronal	182	12	12	1.6044	0.1337	3.08791	0.257326	0.125353	0.125353	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	axon_guidance_synapse	209	15	15	2.44976	0.163317	3.82775	0.255183	0.144203	0.144203	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	cerebellar_identity	209	12	12	0.0956938	0.00797448	0.148325	0.0123604	0.00640358	0.00640358	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	dentate_identity	209	12	12	0.995215	0.0829346	2.36364	0.19697	0.0816042	0.0816042	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	209	8	7	5.08612	0.635766	24.9809	3.12261	0.910432	1.04049	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	209	13	12	7.30144	0.561649	28.9809	2.2293	0.763939	0.827601	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	mouse	dentate_gyrus	10x	shared_granule_neuronal	209	12	12	4.19617	0.349681	29.5742	2.46451	0.576774	0.576774	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	mouse	dentate_gyrus	10x	axon_guidance_synapse	2613	15	15	1.80138	0.120092	2.65786	0.177191	0.103228	0.103228	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
