dataset	comparison_group	pseudotime_bin	n_cells	median_graph_pseudotime	dominant_axis_label	proliferation_brdU_proxy	cell_cycle_exit_p21_p27	immature_progenitor_state	neuronal_differentiation_maturation	tgf_smad_pai1_response	bdnf_erk_response	apoptosis_execution	survival_neuroprotection	secreted_stop_candidate_axis
GSE104323	curated_dentate_granule_lineage	0	1154	4.539607099511321e-08	RGL_young	0.6351936909610885	0.6794782910130861	0.6773117254528122	0.09012912730739232	0.6687754571453333	0.57175665135627	0.4693647629777277	0.6385735332351157	0.5313718693127654
GSE104323	curated_dentate_granule_lineage	1	1154	0.06936455644535677	GC-adult	0.19915070630037265	0.36528295346217177	0.2647109801542595	0.2922696940809429	0.14793309645549874	0.19473091255741398	0.36133980414247335	0.1357569980067597	0.1882745471877979
GSE104323	curated_dentate_granule_lineage	2	1154	0.09344489582637887	GC-adult	0.4642516682554814	0.36528295346217177	0.3106421700320652	0.41294739578819656	0.328884652049571	0.31475864459658554	0.36133980414247335	0.34639050177658376	0.1882745471877979
GSE104323	curated_dentate_granule_lineage	3	1154	0.11040934819271117	GC-adult	0.4642516682554814	0.36528295346217177	0.3645463211716786	0.4886038651529595	0.39591819048444404	0.3694210936822948	0.36133980414247335	0.3903284513389375	0.4178871652656209
GSE104323	curated_dentate_granule_lineage	4	1154	0.12830002312999866	GC-juv	0.4642516682554814	0.36528295346217177	0.47439119507756305	0.5250454978767658	0.43435306352370223	0.40022965594938903	0.41535228356010057	0.4301065950255655	0.4178871652656209
GSE104323	curated_dentate_granule_lineage	5	1153	0.14364679115754117	Immature-GC	0.4642516682554814	0.4540254788109888	0.6042551347603778	0.5802062570413381	0.49168038824854843	0.457491983707427	0.5285120027732039	0.4682381488863853	0.4178871652656209
GSE104323	curated_dentate_granule_lineage	6	1154	0.1603368409443864	Immature-GC	0.4642516682554814	0.4540254788109888	0.6245341884045411	0.5918190484444059	0.5082762804402461	0.49558020625704136	0.5285120027732039	0.4682381488863853	0.489643816621891
GSE104323	curated_dentate_granule_lineage	7	1154	0.18484980153544261	GC-juv	0.4642516682554814	0.5432446485830661	0.544002946529162	0.729937602911864	0.5688101221942976	0.6026085449345697	0.5730999220036398	0.5497876765750932	0.560577173065257
GSE104323	curated_dentate_granule_lineage	8	1154	0.2249522728730179	GC-juv	0.5811595458878586	0.6365369616084583	0.535055030765231	0.848773723892885	0.6234509056244042	0.7591212410087529	0.6758817921830315	0.6923043591299073	0.728789323164919
GSE104323	curated_dentate_granule_lineage	9	1154	0.3006614047125293	GC-juv	0.7459485224022879	0.7723372909264234	0.5682468151486264	0.9351330271254008	0.7472267960828494	0.8938816188577866	0.7537914897304793	0.8188751191611059	0.8232082502816536
