dataset	comparison_group	axis_type	axis_label	n_cells	graph_pseudotime_median	graph_pseudotime_mean	axis_order_median	proliferation_brdU_proxy_median	cell_cycle_exit_p21_p27_median	immature_progenitor_state_median	neuronal_differentiation_maturation_median	tgf_smad_pai1_response_median	bdnf_erk_response_median	apoptosis_execution_median	survival_neuroprotection_median	secreted_stop_candidate_axis_median
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	RGL_young	686	4.539607099511321e-08	4.5396070995113207e-08	0.0	0.7859433226449433	0.8055724066210244	0.8108371609324898	0.06889678481670855	0.8729959268567467	0.7982494150272987	0.6517029205303753	0.7641476731085882	0.7172848600398648
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	RGL	199	4.539607099511321e-08	4.539607099511321e-08	1.0	0.4642516682554814	0.5808128953982148	0.6166912210763498	0.06889678481670855	0.328884652049571	0.35167692174365195	0.36133980414247335	0.6764450992287027	0.1882745471877979
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	nIPC	353	0.22023524839025788	0.22354316043521144	2.0	0.9517289193170986	0.8433573099922004	0.8938382875465811	0.2429153306179045	0.746685154692781	0.6254441459398561	0.6517029205303753	0.6861513129387296	0.5313718693127654
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	nIPC-perin	468	0.17304641977399518	0.1960368950306445	3.0	0.9598318745125227	0.831701187277927	0.8952682208163618	0.09363896351503596	0.9271167345523876	0.8094722246295173	0.7537914897304793	0.8208900251321605	0.820435046364503
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	Neuroblast	1381	0.14383275801069206	0.14252901474082905	4.0	0.5811595458878586	0.6794782910130861	0.8171418667128867	0.28958315278620333	0.640696767484184	0.3651096282173499	0.5730999220036398	0.4682381488863853	0.4178871652656209
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	Immature-GC	2419	0.14335924102557773	0.14918290172046425	5.0	0.4642516682554814	0.4999566686887945	0.6914810642170032	0.4580119594418927	0.535964988300546	0.50862293092989	0.6517029205303753	0.5139526822081636	0.489643816621891
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	GC-juv	3420	0.17102168302867787	0.18577150264853126	6.0	0.4642516682554814	0.36528295346217177	0.33997746771817317	0.7849467024872172	0.39591819048444404	0.5972354623450906	0.4693647629777277	0.542919663749025	0.560577173065257
GSE104323	curated_dentate_granule_lineage	adult_dentate_lineage_state	GC-adult	2613	0.10791854756421775	0.11477385929199296	7.0	0.19915070630037265	0.36528295346217177	0.2049571020019066	0.5286419967068203	0.328884652049571	0.3528901984574053	0.36133980414247335	0.34639050177658376	0.4178871652656209
GSE122357	candidate_cerebellar_granule_only	postnatal_cerebellar_age	P0	2678	3.641797105007186e-08	3.641797105007186e-08	0.0	0.31684993965401637	0.5096888829287918	0.5198471235081132	0.5856912967681374	0.39164543382057126	0.4649322783961379	0.4891041973984176	0.4933619417996513	0.5102588172187207
GSE122357	candidate_cerebellar_granule_only	postnatal_cerebellar_age	P8a	2082	0.05815520891130169	0.06564106024389603	8.1	0.7031648115864289	0.6331634705645702	0.5643690492155022	0.5530374145098566	0.6246479817621027	0.5875687273702561	0.5779133699879309	0.5442872468821242	0.5671181440257477
GSE122357	candidate_cerebellar_granule_only	postnatal_cerebellar_age	P8b	2697	0.04458814922624511	0.05228772205326759	8.2	0.5671181440257477	0.3864824996647445	0.4240311117071208	0.3926512002145635	0.49906128469894057	0.46520048276786913	0.45078449778731394	0.47203969424701625	0.44542041035268876
GSE292261	candidate_dentate_granule_only	postnatal_dentate_age	P5	49	1.2107394803945028e-07	1.2107394803945028e-07	5.0	0.5663265306122449	0.5561224489795918	0.7244897959183674	0.6377551020408163	0.6224489795918368	0.5561224489795918	0.6836734693877551	0.5153061224489796	0.7193877551020408
GSE292261	candidate_dentate_granule_only	postnatal_dentate_age	P7	38	0.279392017199678	0.3111089831907835	7.0	0.3877551020408163	0.47193877551020413	0.49744897959183676	0.6607142857142857	0.46683673469387754	0.4387755102040816	0.6352040816326531	0.5127551020408163	0.5076530612244898
GSE292261	candidate_dentate_granule_only	postnatal_dentate_age	P10	53	0.3407485415923168	0.3502799693745121	10.0	0.5714285714285714	0.4387755102040816	0.5	0.27040816326530615	0.41836734693877553	0.47959183673469385	0.3877551020408163	0.5102040816326531	0.46938775510204084
GSE292261	candidate_dentate_granule_only	postnatal_dentate_age	P15	49	0.3614682785184511	0.3700707376153533	15.0	0.5051020408163265	0.5408163265306123	0.30612244897959184	0.5102040816326531	0.5204081632653061	0.5714285714285714	0.4387755102040816	0.5816326530612245	0.45918367346938777
GSE292261	candidate_dentate_granule_only	postnatal_dentate_age	P28	7	0.6471214583088677	0.6606788077242355	28.0	0.02040816326530612	0.04336734693877551	0.03571428571428571	0.3673469387755102	0.42857142857142855	0.1326530612244898	0.20918367346938777	0.030612244897959183	0.08163265306122448
