dataset	comparison_group	module_id	module_label	paper_readout	trajectory_role	spearman_rho_vs_graph_pseudotime	spearman_p	n_cells
GSE104323	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0.3132314247809518	4.646727335062997e-261	11539
GSE104323	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	0.4491019353097909	0.0	11539
GSE104323	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	0.18567303504065283	5.1384422652394786e-90	11539
GSE104323	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	0.1658312228839955	6.181963611627188e-72	11539
GSE104323	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	0.637466540038058	0.0	11539
GSE104323	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	0.14872429870603873	4.590960107300188e-58	11539
GSE104323	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	0.32669993086857585	3.9122627693857885e-285	11539
GSE104323	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0.27234979888944716	2.2848563942257995e-195	11539
GSE104323	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	0.19458075277445366	7.699262180839338e-99	11539
GSE122357	candidate_cerebellar_granule_only	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0.16292363945972288	1.586817009003894e-45	7457
GSE122357	candidate_cerebellar_granule_only	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	0.2335501928194698	6.258186761156731e-93	7457
GSE122357	candidate_cerebellar_granule_only	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	0.14667167437740358	3.903254021587581e-37	7457
GSE122357	candidate_cerebellar_granule_only	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	0.10848143632456726	5.77855845695635e-21	7457
GSE122357	candidate_cerebellar_granule_only	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	-0.05051604931136345	1.2752221970521764e-05	7457
GSE122357	candidate_cerebellar_granule_only	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	0.5160402675139749	0.0	7457
GSE122357	candidate_cerebellar_granule_only	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	0.1212665247470306	7.861595071615437e-26	7457
GSE122357	candidate_cerebellar_granule_only	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0.14849419909365333	4.964672482883991e-38	7457
GSE122357	candidate_cerebellar_granule_only	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	0.34730119676140186	2.219461377696087e-210	7457
GSE292261	candidate_dentate_granule_only	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	-0.1924322513443104	0.006889869659807276	196
GSE292261	candidate_dentate_granule_only	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	0.02560376156598491	0.7216770987130632	196
GSE292261	candidate_dentate_granule_only	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	-0.15231209105140348	0.03307429825564725	196
GSE292261	candidate_dentate_granule_only	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-0.30554400424772094	1.3315565753480932e-05	196
GSE292261	candidate_dentate_granule_only	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	-0.21125392354001138	0.0029562037766015874	196
GSE292261	candidate_dentate_granule_only	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-0.11714575247484584	0.10201021834884978	196
GSE292261	candidate_dentate_granule_only	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	-0.2404681326756794	0.0006863498055647561	196
GSE292261	candidate_dentate_granule_only	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	-0.06522303438605524	0.3637464842379684	196
GSE292261	candidate_dentate_granule_only	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	-0.15267924440537564	0.03264857400364117	196
