dataset	region	axis_type	comparison_group	metric_type	metric_id	metric_label	paper_readout	trajectory_role	orientation	spearman_rho_vs_assigned_pseudotime	spearman_p	n_axis_units
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	-0.4469582637089474	0.2668761889883185	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	-0.19162020190612142	0.6494102011224532	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	-0.6260614855788014	0.09680053497397738	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	-0.6099375455928333	0.1083500627686081	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	0.9101959590540767	0.0016908608862384292	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	-0.7142857142857144	0.04652823228416724	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	-0.33737388489831593	0.41378527896944156	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	-0.363696483726654	0.37581778408044225	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	-0.5181098946652709	0.1883939303844397	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	composite	1	0.6904761904761906	0.057990318164572716	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	composite	1	0.7142857142857144	0.04652823228416724	8
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	composite	1	0.8313856449279927	0.01052013054687127	8
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	-0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	-0.8660254037844387	0.3333333333333332	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	-1.0	0.0	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	-1.0	0.0	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	-0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	0.8660254037844387	0.3333333333333332	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	composite	1	-0.5	0.6666666666666667	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	composite	1	-1.0	0.0	3
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	composite	1	0.5	0.6666666666666667	3
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	0.5401314777542601	0.16698762473215406	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	0.9639253854237598	0.00011421419825780708	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	0.5065203663850859	0.20021417297755875	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	0.5769586239647777	0.13430118862983761	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	0.6988459044322258	0.053788372013071524	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	0.7784570702436182	0.022867333969736846	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	0.2999433053004481	0.4704267824417726	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	0.8224729320348959	0.01219107606753066	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	0.467074242146171	0.24326991663399547	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	composite	1	-0.7664808076244857	0.026520014304076595	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	composite	1	-0.38095238095238104	0.35181255311756476	8
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	composite	1	0.4578645580762859	0.25394134134526347	8
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	-0.8720815992723809	0.05385421772754214	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	-0.10540925533894596	0.8660377229253148	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	-0.6	0.28475697986529375	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	-0.6668859288553501	0.21889398131323165	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	-0.31622776601683794	0.604181303590592	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	-0.6708203932499368	0.21516994256955005	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	-0.8999999999999998	0.03738607346849875	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	-0.6668859288553501	0.21889398131323165	5
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	-0.8207826816681233	0.08858700531354381	5
