dataset	species	region	axis_type	axis_label	axis_order	comparison_group	n_cells	canonical_gene	source_gene_symbol	nonzero_cells	detection_fraction	mean_expression	mean_log1p_expression	source_path	gene_rank_within_axis
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	AKT1	Akt1	146.0	0.21282798833819241	0.2536443148688047	0.16302408042015096	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	AKT2	Akt2	160.0	0.23323615160349853	0.29300291545189505	0.18382351004013212	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	APAF1	Apaf1	19.0	0.027696793002915453	0.029154518950437316	0.019789010989427296	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.25
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ASCL1	Ascl1	179.0	0.260932944606414	0.4620991253644315	0.24772147704078426	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ATOH1	Atoh1	1.0	0.0014577259475218659	0.0014577259475218659	0.001010418630553856	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	AURKB	Aurkb	5.0	0.007288629737609329	0.01020408163265306	0.00623420717057734	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BAD	Bad	262.0	0.3819241982507289	0.5014577259475219	0.30965190514678015	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BAK1	Bak1	97.0	0.141399416909621	0.15743440233236153	0.10451223426166836	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BAX	Bax	468.0	0.6822157434402333	1.2886297376093294	0.6816276352984317	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BBC3	Bbc3	36.0	0.052478134110787174	0.05539358600583091	0.037557184717746876	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BCL2	Bcl2	359.0	0.5233236151603499	0.8104956268221575	0.4654744905108018	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BCL2L1	Bcl2l1	111.0	0.1618075801749271	0.17784256559766765	0.11831470431491396	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BCL2L2	Bcl2l2	36.0	0.052478134110787174	0.05393586005830904	0.03696612770884285	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BDNF	Bdnf	38.0	0.05539358600583091	0.0641399416909621	0.04177055462721651	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BID	Bid	34.0	0.04956268221574344	0.05102040816326531	0.03494529044773513	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BMP6	Bmp6	0.0	0.0	0.0	0.0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.4375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BTG1	Btg1	570.0	0.8309037900874635	2.2361516034985423	1.005071227308277	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	BTG2	Btg2	394.0	0.5743440233236151	1.5451895043731778	0.6683947912679294	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CAMK2A	Camk2a	29.0	0.04227405247813411	0.05102040816326531	0.032411012088100676	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.25
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CASP3	Casp3	11.0	0.016034985422740525	0.016034985422740525	0.011114604936092417	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CASP7	Casp7	60.0	0.08746355685131195	0.09329446064139942	0.06255187561746214	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CASP8	Casp8	12.0	0.01749271137026239	0.018950437317784258	0.012716080575550305	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CASP9	Casp9	39.0	0.056851311953352766	0.056851311953352766	0.039406326591600385	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CCNB1	Ccnb1	8.0	0.011661807580174927	0.016034985422740525	0.009684824683888735	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CCND1	Ccnd1	240.0	0.3498542274052478	0.4956268221574344	0.2963645212552971	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	CCND2	Ccnd2	536.0	0.7813411078717201	2.623906705539359	1.018933514080857	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
