dataset	species	region	axis_type	axis_label	axis_order	comparison_group	module_id	module_label	paper_readout	trajectory_role	orientation	n_cells	n_genes_present	genes_present	module_score	mean_module_rank	median_detection_fraction	median_mean_log1p_expression	n_genes_defined	module_gene_coverage
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	686	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.75	0.7045454545454546	0.052478134110787174	0.037557184717746876	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	686	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.625	0.65625	0.18950437317784258	0.14291801906920057	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	686	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.75	0.7777777777777778	0.09766763848396501	0.07006227628272448	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	686	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.625	0.6590909090909091	0.19096209912536444	0.14870652420514277	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	686	11	CAMK2A,DLG4,MAP2,NEFL,NEFM,RBFOX3,SNAP25,SYN1,SYN2,SYP,TUBB3	0.25	0.2840909090909091	0.056851311953352766	0.04909279633872498	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	686	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	0.75	0.7	0.10932944606413994	0.08464725242509967	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	686	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	0.875	0.6586538461538461	0.05102040816326531	0.03536465206938496	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	686	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.625	0.6666666666666666	0.21282798833819241	0.16302408042015096	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	686	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.6875	0.6875	0.10204081632653061	0.07330321298521095	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	199	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.25	0.2897727272727273	0.020100502512562814	0.013932606644421012	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	199	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.3125	0.328125	0.11809045226130653	0.0934872681213634	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	stop_or_maturation	1	199	9	BTG1,BTG2,CDKN1A,CDKN1B,CDKN1C,GADD45A,GADD45B,TOB1,TOB2	0.375	0.3888888888888889	0.11055276381909548	0.07866684965038674	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	early_or_proliferative	-1	199	11	ASCL1,ATOH1,DCX,EOMES,HES1,HES5,NES,NEUROD1,NEUROD2,SOX11,SOX2	0.5	0.4943181818181818	0.04522613065326633	0.03943599265062114	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	stop_or_maturation	1	199	11	CAMK2A,DLG4,MAP2,NEFL,NEFM,RBFOX3,SNAP25,SYN1,SYN2,SYP,TUBB3	0.125	0.2159090909090909	0.05025125628140704	0.03483151661105252	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	early_or_proliferative	-1	199	15	AURKB,CCNB1,CCND1,CCND2,CCNE1,E2F1,MCM2,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,PCNA,TOP2A	0.5	0.3875	0.04020100502512563	0.027865213288842023	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	stop_or_maturation	1	199	13	BDNF,BMP6,CXCL12,GDF11,INHBB,NTF3,RELN,SEMA3A,SFRP1,SFRP2,SLIT2,TGFB2,TGFB3	0.25	0.34134615384615385	0.020100502512562814	0.013932606644421012	13	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	survival_context	0	199	9	AKT1,AKT2,BCL2,BCL2L1,BCL2L2,BDNF,CREB1,MCL1,NTRK2	0.375	0.4722222222222222	0.11055276381909548	0.07866684965038673	9	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	stop_or_maturation	1	199	14	CDKN1A,CDKN1B,ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2	0.375	0.4017857142857143	0.06532663316582915	0.04629972814740388	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	apoptosis_or_stress	0	353	11	APAF1,BAD,BAK1,BAX,BBC3,BID,CASP3,CASP7,CASP8,CASP9,PMAIP1	0.75	0.6988636363636364	0.053824362606232294	0.03730820518594606	11	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	context_dependent_maturation	1	353	16	BDNF,CREB1,DUSP1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAP2K2,MAPK1,MAPK3,NTRK2,SHC1,SOS1	0.625	0.640625	0.24220963172804533	0.19830632800581444	16	1.0
