dataset	species	region	axis_type	axis_label	axis_order	comparison_group	apoptosis_execution	bdnf_erk_response	cell_cycle_exit_p21_p27	immature_progenitor_state	neuronal_differentiation_maturation	proliferation_brdU_proxy	secreted_stop_candidate_axis	survival_neuroprotection	tgf_smad_pai1_response	assigned_pseudotime	stop_maturation_raw	anti_proliferation_balance	differentiation_over_progenitor	data_driven_maturation_pseudotime
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	0.75	0.625	0.75	0.625	0.25	0.75	0.875	0.625	0.6875	0.0	-0.050000000000000044	0.02083333333333337	-0.1875	0.3023255813953488
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	0.25	0.3125	0.375	0.5	0.125	0.5	0.25	0.375	0.375	0.14285714285714285	-0.21250000000000002	-0.16666666666666669	-0.28125	0.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	0.75	0.625	0.875	0.75	0.625	0.875	0.625	0.875	0.6875	0.2857142857142857	-0.125	-0.14583333333333337	-0.125	0.16279069767441864
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	0.75	0.875	0.875	0.75	0.375	1.0	1.0	0.875	0.9375	0.42857142857142855	-0.0625	-0.0625	-0.125	0.2790697674418605
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	0.75	0.5	0.625	0.75	0.625	0.625	0.5	0.5	0.625	0.5714285714285714	-0.11250000000000004	-0.04166666666666663	-0.1875	0.18604651162790695
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	0.625	0.5625	0.375	0.375	0.75	0.375	0.625	0.5	0.4375	0.7142857142857143	0.17500000000000004	0.10416666666666669	0.28125	0.7209302325581397
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	0.375	0.6875	0.375	0.25	1.0	0.25	0.375	0.625	0.4375	0.8571428571428571	0.32499999999999996	0.14583333333333331	0.59375	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-adult	7.0	curated_dentate_granule_lineage	0.25	0.25	0.125	0.125	0.875	0.125	0.375	0.125	0.1875	1.0	0.2375	0.10416666666666666	0.4375	0.8372093023255814
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P0	0.0	candidate_cerebellar_granule_only	0.3333333333333333	0.5	0.6666666666666666	1.0	1.0	0.3333333333333333	1.0	0.6666666666666666	0.3333333333333333	0.0	0.033333333333333326	0.3333333333333333	-0.25	1.0
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8a	8.1	candidate_cerebellar_granule_only	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	1.0	0.6666666666666666	0.9878048780487805	-0.033333333333333326	-0.22222222222222232	0.16666666666666663	0.7142857142857143
