dataset	region	axis_type	comparison_group	metric_type	metric_id	metric_label	paper_readout	start_label	end_label	start_score	end_score	delta_end_minus_start
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	apoptosis_execution	TUNEL/apoptosis proxy	TUNEL and Hoechst apoptotic morphology	RGL_young	GC-adult	0.75	0.25	-0.5
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	RGL_young	GC-adult	0.625	0.25	-0.375
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	RGL_young	GC-adult	0.75	0.125	-0.625
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	RGL_young	GC-adult	0.625	0.125	-0.5
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	RGL_young	GC-adult	0.25	0.875	0.625
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	RGL_young	GC-adult	0.75	0.125	-0.625
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	RGL_young	GC-adult	0.875	0.375	-0.5
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	RGL_young	GC-adult	0.625	0.125	-0.5
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	RGL_young	GC-adult	0.6875	0.1875	-0.5
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	RGL_young	GC-adult	0.02083333333333337	0.10416666666666666	0.08333333333333329
