expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	signature_id	signature_label	target_class	background_classes	candidate_median_signature_score	background_median_signature_score	delta_signature_score	n_background_classes
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6333333333333333	0.7	-0.06666666666666665	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.49999999999999994	0.6666666666666666	-0.16666666666666669	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.13333333333333336	0.033333333333333326	0.10000000000000003	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5833333333333333	0.5833333333333333	0.0	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5333333333333333	0.7666666666666666	-0.23333333333333328	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.3333333333333333	0.8333333333333333	-0.49999999999999994	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.2	-0.06666666666666665	0.26666666666666666	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.75	-0.08333333333333337	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.4666666666666667	0.7666666666666666	-0.29999999999999993	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.3333333333333333	0.8333333333333333	-0.49999999999999994	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.13333333333333336	-0.06666666666666671	0.20000000000000007	2
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5	0.7083333333333333	-0.20833333333333326	2
full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.8666666666666666	0.5666666666666667	0.29999999999999993	2
full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6944444444444444	-0.02777777777777779	2
full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.19999999999999996	-0.1277777777777778	0.3277777777777777	2
