dataset	species	region	axis_type	axis_label	axis_order	comparison_group	signature_id	signature_label	signature_score	n_pathways_present
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.6	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.7916666666666666	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	-0.19166666666666665	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.5625	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.325	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.5	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	-0.175	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.3125	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.625	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.625	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	0.0	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.625	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.8625	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.875	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	-0.012499999999999956	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.84375	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.54375	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.5	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	0.043749999999999956	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.546875	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.625	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4583333333333333	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	0.16666666666666669	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.53125	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.55	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4375	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	0.11250000000000004	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-juv	6.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.625	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-adult	7.0	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	0.225	5
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-adult	7.0	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	0.25	3
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-adult	7.0	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	-0.024999999999999994	2
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	GC-adult	7.0	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.28125	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P0	0.0	candidate_cerebellar_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.5333333333333333	5
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P0	0.0	candidate_cerebellar_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.9444444444444443	3
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P0	0.0	candidate_cerebellar_granule_only	stop_minus_permissive_index	Stop minus permissive balance	-0.411111111111111	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P0	0.0	candidate_cerebellar_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.3333333333333333	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8a	8.1	candidate_cerebellar_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.8666666666666666	5
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8a	8.1	candidate_cerebellar_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.5555555555555555	3
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8a	8.1	candidate_cerebellar_granule_only	stop_minus_permissive_index	Stop minus permissive balance	0.3111111111111111	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8a	8.1	candidate_cerebellar_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.8333333333333333	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8b	8.2	candidate_cerebellar_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.6	5
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8b	8.2	candidate_cerebellar_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6666666666666666	3
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8b	8.2	candidate_cerebellar_granule_only	stop_minus_permissive_index	Stop minus permissive balance	-0.06666666666666665	2
GSE122357	Mus musculus	cerebellum	postnatal_cerebellar_age	P8b	8.2	candidate_cerebellar_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.6666666666666666	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_1hr	0.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.4375	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_1hr	0.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4791666666666667	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_1hr	0.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	-0.041666666666666685	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_1hr	0.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.40625	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_1hr	1.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.40625	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_1hr	1.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4270833333333333	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_1hr	1.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	-0.020833333333333315	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_1hr	1.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.46875	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_1hr	2.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.5125	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_1hr	2.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4791666666666667	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_1hr	2.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	0.03333333333333327	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_1hr	2.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.53125	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_1hr	3.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.3625	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_1hr	3.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.4375	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_1hr	3.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	-0.07500000000000001	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_1hr	3.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.4375	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_4hr	4.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.65	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_4hr	4.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.625	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_4hr	4.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	0.025000000000000022	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immature_4hr	4.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.59375	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_4hr	5.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.7125	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_4hr	5.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6458333333333334	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_4hr	5.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	0.06666666666666665	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	immatureactive_4hr	5.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.75	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_4hr	6.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.725	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_4hr	6.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6458333333333334	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_4hr	6.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	0.07916666666666661	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	mature_4hr	6.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.6875	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_4hr	7.0	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	0.6625	5
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_4hr	7.0	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6875	3
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_4hr	7.0	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	-0.025000000000000022	2
GSE214309	Mus musculus	dentate_gyrus	adult_dentate_activity_maturation_state	matureactive_4hr	7.0	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.59375	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	0.7799999999999999	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	0.7999999999999999	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	-0.020000000000000018	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.75	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	0.6	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	0.7000000000000001	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	-0.10000000000000009	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.6	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	0.82	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	0.7333333333333334	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	0.08666666666666656	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.7	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P15	15.0	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	0.64	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P15	15.0	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6666666666666666	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P15	15.0	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	-0.026666666666666616	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P15	15.0	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.65	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P28	28.0	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	0.2	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P28	28.0	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	0.20000000000000004	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P28	28.0	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	-2.7755575615628914e-17	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P28	28.0	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.2	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	candidate_dentate_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.76	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	candidate_dentate_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.7999999999999999	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	candidate_dentate_granule_only	stop_minus_permissive_index	Stop minus permissive balance	-0.039999999999999925	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P5	5.0	candidate_dentate_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.8	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	candidate_dentate_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.5399999999999999	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	candidate_dentate_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	candidate_dentate_granule_only	stop_minus_permissive_index	Stop minus permissive balance	-0.06000000000000005	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P7	7.0	candidate_dentate_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.6499999999999999	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	candidate_dentate_granule_only	differentiation_stop_index	Differentiation/stop signaling	0.7	5
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	candidate_dentate_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	0.6666666666666666	3
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	candidate_dentate_granule_only	stop_minus_permissive_index	Stop minus permissive balance	0.033333333333333326	2
GSE292261	Mus musculus	dentate_gyrus	postnatal_dentate_age	P10	10.0	candidate_dentate_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	0.6	2
