architecture	replicate	seed	n_inputs	n_outputs	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_input_hamming_distance	median_output_hamming_distance	median_input_jaccard_distance	median_output_jaccard_distance	separation_gain	near_pair_input_jaccard_distance	near_pair_output_jaccard_distance	near_pair_separation_gain	distance_spearman_correlation	collapse_rate	output_entropy_bits	active_fraction_penalty	information_retention_score	useful_pattern_separation_score	relative_wiring_cost	relative_active_output_load	relative_wiring_activity_cost	resource_adjusted_useful_score
excessively_sparse	1	20094	64	32	0.5	2	0.01	0.03125	0.28125	0.0625	0.9055059523809523	1.0	1.1043549700211561	0.8076923076923077	1.0	1.2380952365623583	0.20577022551313687	0.07313519813519813	0.17270903339082908	0.7905694276912053	0.03293927052404632	0.03224096597988206	1.0	0.015625	0.03125	1.031710878341478
excessively_sparse	2	30094	64	32	0.5	2	0.01	0.03125	0.296875	0.0625	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	1.0	1.2352941161211073	0.1559574123424935	0.07993395493395493	0.17099490304401085	0.7905694276912053	0.024536250079009104	0.02396175249014495	1.0	0.015625	0.03125	0.7667760551478046
excessively_sparse	3	40094	64	32	0.5	2	0.01	0.03125	0.28125	0.0625	0.9047619047619048	1.0	1.1052631566731301	0.8095238095238095	1.0	1.2352941161211073	0.17816105725724848	0.0877039627039627	0.16928148340022056	0.7905694276912053	0.02751427196544238	0.026870046264587534	1.0	0.015625	0.03125	0.8598414529518746
intermediate	1	20114	64	32	0.5	2	0.03	0.03125	0.28125	0.0625	0.9090909090909091	1.0	1.09999999879	0.8095238095238095	1.0	1.2352941161211073	0.2387689901219229	0.10314685314685315	0.1587171821476579	0.7905694276912053	0.03398781168715018	0.03319201298921706	1.0	0.015625	0.03125	1.0621443816663259
intermediate	2	30114	64	32	0.5	2	0.03	0.03125	0.28125	0.0625	0.9090909090909091	1.0	1.09999999879	0.8181818181818182	1.0	1.222222220728395	0.2034171099201942	0.07323232323232323	0.17355575115105712	0.7905694276912053	0.032718800041585255	0.031614590323560995	1.0	0.015625	0.03125	1.0116668579806125
intermediate	3	40114	64	32	0.5	2	0.03	0.03125	0.3125	0.0625	0.9	1.0	1.1111111098765432	0.7916666666666666	1.0	1.2631578931412744	0.20228131161276122	0.0707070707070707	0.17004490673545244	0.7905694276912053	0.03196480224860163	0.031920499437497744	1.0	0.015625	0.03125	1.0214559493133375
intermediate	1	20134	64	32	0.5	2	0.05	0.0625	0.28125	0.125	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.20202984242747282	0.008741258741258742	0.30823091934879937	0.8944271838444985	0.06172750976602532	0.06901345332093292	1.0	0.03125	0.0625	1.104215235467483
intermediate	2	30134	64	32	0.5	2	0.05	0.0625	0.265625	0.125	0.9090909090909091	1.0	1.09999999879	0.8125	1.0	1.2307692292544379	0.28033906672351294	0.011557886557886558	0.308748480839547	0.8944271838444985	0.08555387664145811	0.09418056967042268	1.0	0.03125	0.0625	1.5068890906165375
intermediate	3	40134	64	32	0.5	2	0.05	0.0625	0.296875	0.125	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984374999	0.1998979846194089	0.005050505050505051	0.31600779225650005	0.8944271838444985	0.06285028382238551	0.0702687528660187	1.0	0.03125	0.0625	1.1243000278674988
intermediate	1	20184	64	32	0.5	2	0.1	0.09375	0.296875	0.1875	0.9	1.0	1.1111111098765432	0.7916666666666666	0.8	1.0105263145130194	0.3330651138734721	0.0020396270396270395	0.4146081652375701	0.7302967394453056	0.1378098605782197	0.10170148215568084	1.0	0.046875	0.09375	1.084815798089227
