gene	canonical_gene	panel	candidate_role	support_tier	dentate_rank_delta_vs_background	cerebellar_rank_delta_vs_background	dentate_candidate_median_detection	cerebellar_candidate_median_detection	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Cfl1	CFL1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.5	0.34698055271238487	0.9845994254707948	1.3531628061721348e-08	0.02173548930858932	True	True
Gap43	GAP43	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.5	0.43171806167400884	0.8164124387359979	8.964667881164251e-11	0.005395481332740858	True	True
Robo2	ROBO2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.5	0.766432953549518	0.4009078132633713	1.154477361929431e-06	0.02173548930858932	True	True
Stmn2	STMN2	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.5	0.47093023255813954	0.9328768837213626	7.685574812020599e-07	0.0008863109905613484	True	True
Stmn3	STMN3	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.5	0.2521948160535117	0.7641994740472358	3.35337692638773e-08	0.02173548930858932	True	True
Cdk5r1	CDK5R1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.33333333333333326	0.35526315789473684	0.4220838627899378	7.965640546629273e-20	0.06989704424787145	True	True
Dpysl2	DPYSL2	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.33333333333333326	0.8433279308481901	0.7435128799733539	3.19174239675885e-17	0.06989704424787145	True	True
Ephb2	EPHB2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.33333333333333326	0.28328611898017	0.3656444979155592	6.965240731016764e-07	0.06989704424787145	True	True
L1cam	L1CAM	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	0.5	0.33333333333333326	0.10648553900087643	0.26202436474952634	6.965240731016764e-07	0.06989704424787145	True	True
Mapt	MAPT	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.16666666666666663	0.848987108655617	0.46643311568985335	2.943545782149687e-10	0.19051331883490163	True	True
Dpysl3	DPYSL3	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	0.33333333333333337	0.16666666666666663	0.17567567567567569	0.5167042304690118	1.3979073947703112e-20	0.19051331883490163	True	True
Elavl4	ELAVL4	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.16666666666666663	0.5	0.32294617563739375	0.5828916620491942	2.6661105601844006e-05	0.0008863109905613484	True	True
Ncam1	NCAM1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.16666666666666663	0.9479553903345725	0.7554230925812542	1.2444768714486848e-14	0.4110198818557619	True	False
Cntn6	CNTN6	axon_guidance_synapse	shared_structural_executor	moderate_priority_shared_structural_executor	0.41666666666666674	0.16666666666666663	0.09760589318600368	0.051296990251736646	1.1477853240532514e-05	0.4110198818557619	True	False
Gabra6	GABRA6	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	0.5	0.5	0.12121212121212122	0.006014215418261345	2.9260491057723094e-12	0.02203577525715382	False	False
Map2	MAP2	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	0.5	0.5	0.9587900753053855	0.6780206098146279	1.4685258453514975e-09	0.02173548930858932	False	False
Ndufa4	NDUFA4	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	0.5	0.5	0.4228571428571429	0.94488246012538	1.4587023754736793e-14	0.005395481332740858	False	False
Ndufb8	NDUFB8	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	0.5	0.5	0.28403361344537814	0.7936393512220367	6.866133599244721e-14	0.02173548930858932	False	False
Neurod1	NEUROD1	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	0.5	0.5	0.10101010101010101	0.8952295715202092	1.0123180233584402e-11	0.0008863109905613484	False	False
Neurod2	NEUROD2	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	0.5	0.5	0.21233689205219455	0.5109794047742044	5.3951186556143335e-08	0.0008863109905613484	False	False
