gene	canonical_gene	human_symbol	mouse_symbol	panel	candidate_role	support_tier	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_datasets_detected_dentate_candidate_5pct	n_datasets_detected_cerebellar_candidate_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Atoh1	ATOH1	ATOH1	Atoh1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	71	87	0.6666666666666666	0.0	8.737132656085978e-07	6	12	1.0	0.33333333333333337	0.009879767867540601	0.0	0.178290821961829	0	1	1.1045054489769066e-06	0.02173548930858932	False	False
Atp5f1a	ATP5F1A	ATP5F1A	Atp5f1a	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	69	86	1.0	0.5	4.719375851144267e-14	0	0				0.2680851063829787		3	0	1.1711043778765405e-13		False	False
Barhl1	BARHL1	BARHL1	Barhl1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	72	87	0.6666666666666666	0.0	5.455821577690246e-07	6	12	1.0	0.5	0.00021486327043911477	0.0	0.7446132076641081	0	3	7.16745187657346e-07	0.0008863109905613484	False	False
Barhl2	BARHL2	BARHL2	Barhl2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	71	87	0.75	0.08333333333333337	4.87616025426757e-05	6	12	1.0	0.5	0.00021486327043911477	0.0	0.31625059265755395	1	3	5.185757730729003e-05	0.0008863109905613484	False	False
C1ql3	C1QL3	C1QL3	C1ql3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	1.7123430773198544e-28	6	12	0.6666666666666666	-0.16666666666666663	0.7404431743695444	0.4112415071031501	0.021525945681988422	7	0	1.912116436340504e-27	0.8885318092434533	False	False
Calb1	CALB1	CALB1	Calb1	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	2.341215971920195e-31	6	12	0.6666666666666666	0.0	0.5197767383185427	0.3954802259887006	0.04658233772395201	7	2	5.2287156706217686e-30	0.6597166294043042	False	False
Calb2	CALB2	CALB2	Calb2	dentate_identity	regional_dentate_identity	dentate_identity_panel_gene_needs_context	73	88	1.0	0.5	4.5109993270367445e-27	6	12	0.6666666666666666	0.0	0.5197767383185427	0.03424657534246575	0.029856110729414055	5	1	4.317670784449455e-26	0.6597166294043042	False	False
Cbln3	CBLN3	CBLN3	Cbln3	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	71	87	1.0	0.33333333333333337	1.7613562530735743e-05	6	12	1.0	0.5	0.0017167440604175456	0.0	0.008349780005581467	1	0	2.0001842195920253e-05	0.005395481332740858	False	False
Cdk5r1	CDK5R1	CDK5R1	Cdk5r1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.664462203773281e-20	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.35526315789473684	0.4220838627899378	7	3	7.965640546629273e-20	0.06989704424787145	True	True
Cfl1	CFL1	CFL1	Cfl1	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	8.684477711254e-09	6	12	1.0	0.5	0.009879767867540601	0.34698055271238487	0.9845994254707948	7	3	1.3531628061721348e-08	0.02173548930858932	True	True
Cntn2	CNTN2	CNTN2	Cntn2	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	73	88	0.6666666666666666	0.0	0.9619647766072891	6	12	1.0	0.5	0.00021486327043911477	0.12688442211055276	0.3059289572079733	7	3	0.9619647766072892	0.0008863109905613484	False	False
Cntn4	CNTN4	CNTN4	Cntn4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.2782664232372471e-05	6	12	0.3333333333333333	-0.3333333333333333	0.9667434775654529	0.2922102124487514	0.05100128137986173	5	2	1.4766181096016476e-05	0.9998528734296044	False	False
Cntn5	CNTN5	CNTN5	Cntn5	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	2.4609010821207194e-21	6	12	0.5	-0.16666666666666663	0.8924811052561918	0.8036437246963563	0.04637777774334597	7	2	1.3979073947703112e-20	0.9998528734296044	False	False
Cntn6	CNTN6	CNTN6	Cntn6	axon_guidance_synapse	shared_structural_executor	moderate_priority_shared_structural_executor	73	88	1.0	0.41666666666666674	9.764740816572437e-06	6	12	0.6666666666666666	0.16666666666666663	0.2926959764730425	0.09760589318600368	0.051296990251736646	3	2	1.1477853240532514e-05	0.4110198818557619	True	False
Cox6c	COX6C	COX6C	Cox6c	metabolic_proteomic_validation	supporting_metabolic_validation	supporting_or_contextual	73	88	1.0	0.5	5.1663807462828114e-14	6	12	0.6666666666666666	0.16666666666666663	0.12700887922326776	0.34595959595959597	0.8988294819630678	7	3	1.236241107146244e-13	0.19051331883490163	False	False
