contrast_id	audit_scope	expression_layer	dataset	core_branch	branch_kind	sample	target_class	background_classes	module_score	module_label	candidate_median	background_median	delta_candidate_minus_background
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.8333333333333333	-0.16666666666666663
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	0.6666666666666666	-0.3333333333333333
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	downstream_mean_rank	Downstream mean	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_opposed_fate_rank	Opposed fate	0.6666666666666666	0.8333333333333333	-0.16666666666666663
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.8333333333333333	-0.16666666666666663
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	0.8333333333333333	-0.49999999999999994
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
