screen	dataset	sample	core_branch	branch_tested	gene	canonical_gene	selected_mechanism_class	genome_mechanism_class	combined_priority_score	candidate_rank	background_rank	rank_delta	candidate_detection	background_detection	detection_delta	candidate_n_cells	background_n_cells	n_background_classes	positive_delta
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	ADD2	ADD2	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.117839061510196	1.0	0.5	0.5	0.3411980067120919	0.2159977703455964	0.1252002363664955	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	CACNA1E	CACNA1E	synaptic_wiring	synaptic_wiring	5.063035403837544	1.0	0.5	0.5	0.4402522119393878	0.1384476031215161	0.3018046088178717	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	CACNA2D1	CACNA2D1	synaptic_wiring	synaptic_wiring	5.237917524870884	1.0	0.5	0.5	0.3689616597172785	0.2116778149386845	0.157283844778594	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	CALM2	CALM2	synaptic_wiring	synaptic_wiring	5.244131944083708	1.0	0.5	0.5	0.9934913047899928	0.8603678929765887	0.13312341181340415	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	CAMTA1	CAMTA1	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.390005460425881	1.0	0.5	0.5	0.6204617105664599	0.5131688963210702	0.10729281424538972	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	GABRA2	GABRA2	synaptic_wiring	synaptic_wiring	5.068689083899109	1.0	0.5	0.5	0.690023390623411	0.4848801560758082	0.2051432345476028	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	GABRB3	GABRB3	synaptic_wiring	synaptic_wiring	5.132148779890988	1.0	0.5	0.5	0.4711685141869215	0.2405936454849498	0.23057486870197172	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	GPM6A	GPM6A	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.4774639744097335	1.0	0.5	0.5	0.8620970202379742	0.7488154960981048	0.11328152413986936	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	GRIN2B	GRIN2B	synaptic_wiring	synaptic_wiring	5.09711546208696	1.0	0.5	0.5	0.6949049120309163	0.4267001114827202	0.2682048005481961	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	KCND2	KCND2	synaptic_wiring	synaptic_wiring	5.07006775598519	1.0	0.5	0.5	0.2912641106478186	0.1636008918617614	0.1276632187860572	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	KCND3	KCND3	synaptic_wiring	synaptic_wiring	5.086608727424575	1.0	0.5	0.5	0.1374961863114004	0.0905797101449275	0.046916476166472904	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	KCNJ3	KCNJ3	synaptic_wiring	synaptic_wiring	5.11201500439703	1.0	0.5	0.5	0.3538086036814807	0.1041666666666666	0.2496419370148141	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	KCNJ6	KCNJ6	synaptic_wiring	synaptic_wiring	5.115876315326329	1.0	0.5	0.5	0.0273568595545611	0.0061315496098104	0.0212253099447507	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	KCNK1	KCNK1	synaptic_wiring	synaptic_wiring	5.151531513892637	1.0	0.5	0.5	0.3899115224244889	0.2634476031215161	0.1264639193029728	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	MAP3K4	MAP3K4	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.094184326912494	1.0	0.5	0.5	0.1102410251194955	0.0796404682274247	0.030600556892070807	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	MAPK1	MAPK1	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.278453396465785	1.0	0.5	0.5	0.6671412590257297	0.4499024526198439	0.21723880640588583	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	NFIA	NFIA	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.458070983658397	1.0	0.5	0.5	0.6764975083901149	0.6523132664437012	0.024184241946413665	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	NFIB	NFIB	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.456430873042622	1.0	0.5	0.5	0.8307739245398149	0.7458890746934225	0.08488484984639244	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	PPP3CA	PPP3CA	synaptic_wiring	synaptic_wiring	5.455182618321777	1.0	0.5	0.5	0.9114207261263094	0.7045707915273133	0.20684993459899614	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	RFX3	RFX3	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.11374282878083	1.0	0.5	0.5	0.5088986067324316	0.1714743589743589	0.33742424775807267	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	STXBP1	STXBP1	synaptic_wiring	synaptic_wiring	5.2525389164357135	1.0	0.5	0.5	0.4368961659717278	0.3290830546265328	0.107813111345195	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	STXBP5	STXBP5	synaptic_wiring	synaptic_wiring	5.035665896251466	1.0	0.5	0.5	0.2255669683718092	0.1012402452619844	0.1243267231098248	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	STXBP5L	STXBP5L	synaptic_wiring	synaptic_wiring	5.06800546524533	1.0	0.5	0.5	0.1272246516831079	0.058180044593088	0.06904460709001989	9833	14352	1	True
selected	GSE104323	10X_all_cells	mouse_dentate	dentate	SYNPR	SYNPR	synaptic_wiring	synaptic_wiring	5.163026400960264	1.0	0.5	0.5	0.6618529441675989	0.1477842809364548	0.5140686632311441	9833	14352	1	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	ADD2	ADD2	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.117839061510196	1.0	0.5	0.5	0.8865248226950354	0.33273931721411193	0.5537855054809235	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	CACNA1E	CACNA1E	synaptic_wiring	synaptic_wiring	5.063035403837544	1.0	0.5	0.5	0.5825734549138805	0.20654653284671531	0.37602692206716515	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	CACNA2D1	CACNA2D1	synaptic_wiring	synaptic_wiring	5.237917524870884	1.0	0.5	0.5	0.8115501519756839	0.31398741636253036	0.49756273561315356	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	CALM2	CALM2	synaptic_wiring	synaptic_wiring	5.244131944083708	1.0	0.5	0.5	0.9979736575481256	0.7947365419708029	0.2032371155773227	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	CAMTA1	CAMTA1	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.390005460425881	1.0	0.5	0.5	0.8318135764944276	0.4204303527980535	0.41138322369637403	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	GABRA2	GABRA2	synaptic_wiring	synaptic_wiring	5.068689083899109	1.0	0.5	0.5	0.7061803444782169	0.32576319190997566	0.3804171525682412	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	GABRB3	GABRB3	synaptic_wiring	synaptic_wiring	5.132148779890988	1.0	0.5	0.5	0.878419452887538	0.3208875076034063	0.5575319452841316	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	GPM6A	GPM6A	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.4774639744097335	1.0	0.5	0.5	0.9989868287740628	0.8918367928832116	0.10715003589085115	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	GRIN2B	GRIN2B	synaptic_wiring	synaptic_wiring	5.09711546208696	1.0	0.5	0.5	0.9696048632218844	0.4696386481143552	0.49996621510752925	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	KCND2	KCND2	synaptic_wiring	synaptic_wiring	5.07006775598519	1.0	0.5	0.5	0.7983789260385005	0.30866503193430656	0.4897138941041939	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	KCND3	KCND3	synaptic_wiring	synaptic_wiring	5.086608727424575	1.0	0.5	0.5	0.331306990881459	0.11292008819951335	0.21838690268194563	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	KCNJ3	KCNJ3	synaptic_wiring	synaptic_wiring	5.11201500439703	1.0	0.5	0.5	0.1428571428571428	0.033597551703163	0.10925959115397979	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	KCNJ6	KCNJ6	synaptic_wiring	synaptic_wiring	5.115876315326329	1.0	0.5	0.5	0.1955420466058764	0.051570103406326	0.1439719431995504	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	KCNK1	KCNK1	synaptic_wiring	synaptic_wiring	5.151531513892637	1.0	0.5	0.5	0.6919959473150963	0.39771517639902676	0.2942807709160695	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	MAP3K4	MAP3K4	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.094184326912494	1.0	0.5	0.5	0.3140830800405269	0.10940826490267636	0.20467481513785052	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	MAPK1	MAPK1	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.278453396465785	1.0	0.5	0.5	0.9321175278622088	0.4851971183090025	0.44692040955320633	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	NFIA	NFIA	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.458070983658397	1.0	0.5	0.5	0.7700101317122594	0.6052691605839415	0.16474097112831787	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	NFIB	NFIB	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.456430873042622	1.0	0.5	0.5	0.9908814589665652	0.8081850669099757	0.1826963920565895	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	PPP3CA	PPP3CA	synaptic_wiring	synaptic_wiring	5.455182618321777	1.0	0.5	0.5	0.994934143870314	0.7324789005474452	0.26245524332286874	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	RFX3	RFX3	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.11374282878083	1.0	0.5	0.5	0.8439716312056738	0.3132460842457421	0.5307255469599317	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	STXBP1	STXBP1	synaptic_wiring	synaptic_wiring	5.2525389164357135	1.0	0.5	0.5	0.7284701114488349	0.2776668947688564	0.45080321667997847	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	STXBP5	STXBP5	synaptic_wiring	synaptic_wiring	5.035665896251466	1.0	0.5	0.5	0.690982776089159	0.2582734565085158	0.43270931958064324	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	STXBP5L	STXBP5L	synaptic_wiring	synaptic_wiring	5.06800546524533	1.0	0.5	0.5	0.7092198581560284	0.2510882375304136	0.4581316206256148	987	1316	2	True
selected	GSE95752	C1_all_cells	mouse_dentate	dentate	SYNPR	SYNPR	synaptic_wiring	synaptic_wiring	5.163026400960264	1.0	0.5	0.5	0.9756838905775076	0.4134779881386861	0.5622059024388215	987	1316	2	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	ADD2	ADD2	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.117839061510196	1.0	0.5	0.5	0.8928571428571429	0.7378640776699029	0.15499306518724	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	CACNA1E	CACNA1E	synaptic_wiring	synaptic_wiring	5.063035403837544	1.0	0.5	0.5	0.9285714285714286	0.8705501618122977	0.058021266759130885	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	CACNA2D1	CACNA2D1	synaptic_wiring	synaptic_wiring	5.237917524870884	1.0	0.5	0.5	0.6938775510204082	0.5372168284789643	0.1566607225414438	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	CALM2	CALM2	synaptic_wiring	synaptic_wiring	5.244131944083708	1.0	0.5	0.5	1.0	0.9935275080906149	0.006472491909385147	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	CAMTA1	CAMTA1	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.390005460425881	1.0	0.5	0.5	0.7653061224489796	0.5339805825242718	0.23132553992470772	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	GABRA2	GABRA2	synaptic_wiring	synaptic_wiring	5.068689083899109	1.0	0.5	0.5	0.576530612244898	0.5048543689320388	0.07167624331285916	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	GABRB3	GABRB3	synaptic_wiring	synaptic_wiring	5.132148779890988	1.0	0.5	0.5	0.9489795918367347	0.7993527508090615	0.1496268410276732	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	GPM6A	GPM6A	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.4774639744097335	1.0	0.5	0.5	1.0	0.964401294498382	0.03559870550161803	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	GRIN2B	GRIN2B	synaptic_wiring	synaptic_wiring	5.09711546208696	1.0	0.5	0.5	1.0	0.9676375404530744	0.032362459546925626	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	KCND2	KCND2	synaptic_wiring	synaptic_wiring	5.07006775598519	1.0	0.5	0.5	0.6377551020408163	0.3527508090614886	0.2850042929793277	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	KCND3	KCND3	synaptic_wiring	synaptic_wiring	5.086608727424575	1.0	0.5	0.5	0.2142857142857142	0.1423948220064725	0.0718908922792417	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	KCNJ3	KCNJ3	synaptic_wiring	synaptic_wiring	5.11201500439703	1.0	0.5	0.5	0.6377551020408163	0.4627831715210356	0.17497193051978072	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	KCNJ6	KCNJ6	synaptic_wiring	synaptic_wiring	5.115876315326329	1.0	0.5	0.5	0.5816326530612245	0.3818770226537217	0.19975563040750277	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	KCNK1	KCNK1	synaptic_wiring	synaptic_wiring	5.151531513892637	1.0	0.5	0.5	0.9540816326530612	0.6990291262135923	0.255052506439469	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	MAP3K4	MAP3K4	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.094184326912494	1.0	0.5	0.5	0.5561224489795918	0.372168284789644	0.18395416418994787	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	MAPK1	MAPK1	cytoskeleton_morphogenesis	cytoskeleton_morphogenesis	5.278453396465785	1.0	0.5	0.5	0.9897959183673468	0.941747572815534	0.04804834555181281	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	NFIA	NFIA	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.458070983658397	1.0	0.5	0.5	0.903061224489796	0.6343042071197411	0.26875701737005486	196	309	1	True
selected	GSE292261	SS2_filtered_counts	mouse_dentate	dentate	NFIB	NFIB	regulatory_morphogenesis_candidate	regulatory_morphogenesis_candidate	5.456430873042622	1.0	0.5	0.5	0.9948979591836736	0.8220064724919094	0.17289148669176424	196	309	1	True
