gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	mechanism_class	manuscript_use	mechanism_priority_score
Cntn2	CNTN2	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	marker_panel	True	True	73	88	0.6666666666666666	0.6666666666666666	0.0	0.9619647766072892	6	12	1.0	0.5	0.5	0.0002148632704391	0.1268844221105527	0.3059289572079733	7	3	0.9691136091320064	0.003140309337187	False	False	False	0.5	0.1268844221105527	curated_shared_structural_executor	branch_specific_cerebellar_context	1.2817211055276383
MYO16	MYO16	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.0046432859067088	6	12	1.0	0.5	0.5	0.0017167440604175	0.2700892857142857	0.1911385787267295	4	3	0.0048234133772277	0.0131911584054142	False	False	False	0.5	0.1911385787267295	cytoskeleton_morphogenesis	branch_specific_cerebellar_context	1.0477846446816823
Dcx	DCX	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	marker_panel	True	True	73	88	0.6666666666666666	0.6666666666666666	0.0	0.1025369673644562	6	12	1.0	0.5	0.5	0.0002148632704391	0.0355472404115996	0.7621054153076551	5	3	0.1054041147931306	0.003140309337187	False	False	False	0.5	0.0355472404115996	broad_neuronal_state	branch_specific_cerebellar_context	0.7588868101028999
KCNAB1	KCNAB1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.4754251159594411	6	12	0.6666666666666666	0.5	0.1666666666666666	0.1270088792232677	0.1027190332326284	0.0832972702084395	7	2	0.4848129179671028	0.2342882238099114	False	False	False	0.1666666666666666	0.0832972702084395	synaptic_wiring	branch_specific_cerebellar_context	0.6874909842187764
SOX4	SOX4	expanded_marker_panel	expanded_selected_gene	marker_panel	marker_panel	False	True	73	88	0.6666666666666666	0.6666666666666666	0.0	0.510808147021959	6	12	0.6666666666666666	0.5	0.1666666666666666	0.1270088792232677	0.0233863423760523	0.8589421590218185	5	3	0.5204052939833862	0.2342882238099114	False	False	False	0.1666666666666666	0.0233863423760523	regulatory_morphogenesis_candidate	branch_specific_cerebellar_context	0.6725132522606797
UNC5C	UNC5C	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.9910496788547596	6	12	1.0	0.5	0.5	0.0098797678675406	0.7218390804597701	0.6052063313052094	6	3	0.9942584428473512	0.0341866139787414	False	False	False	0.5	0.6052063313052094	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.6513015828263023
MTSS1	MTSS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.8476412409371678	6	12	1.0	0.5	0.5	0.0002148632704391	0.3233458177278402	0.6515644984981712	6	3	0.8575251173473493	0.003140309337187	False	False	False	0.5	0.3233458177278402	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5808364544319601
RNF220	RNF220	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.4061376167241587	6	12	1.0	0.5	0.5	0.0017167440604175	0.3691842900302114	0.2986980360803926	7	3	0.4143520652279869	0.0131911584054142	False	False	False	0.5	0.2986980360803926	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5746745090200982
MARCH1	MARCH1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	0.7890593940832353	6	12	1.0	0.5	0.5	0.0002148632704391	0.78171974522293	0.2797030129155699	6	3	0.7993787135761502	0.003140309337187	False	False	False	0.5	0.2797030129155699	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5699257532288925
IGSF21	IGSF21	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.0650403169235656	6	12	1.0	0.5	0.5	0.0002148632704391	0.2747747747747748	0.587240973266272	4	3	0.0670496423038089	0.003140309337187	False	False	False	0.5	0.2747747747747748	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5686936936936937
