gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	branch_specificity
TMEM165	TMEM165	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	0.377588139901335	6	12	1.0	0.5	0.5	0.009879767867540601	0.5200892857142857	0.37491726319511676	6	3	0.38558788862805815	0.03418661397874148	True	False	False	0.8333333333333334	0.37491726319511676	cerebellar_biased
TMTC2	TMTC2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.8333333333333333	0.6666666666666666	0.16666666666666663	0.20621423190410232	6	12	1.0	0.5	0.5	0.0017167440604175456	0.36663611974393706	0.12794757726348896	3	3	0.21147927612293047	0.013191158405414228	True	False	False	0.6666666666666666	0.12794757726348896	cerebellar_biased
ADARB2	ADARB2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.2698452199434068	6	12	1.0	0.5	0.5	0.0017167440604175456	0.16978776529338327	0.03892265508476583	7	1	0.2762124974314532	0.013191158405414228	False	False	False	0.5	0.03892265508476583	cerebellar_biased
Barhl1	BARHL1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	marker_panel	True	True	72	87	0.6666666666666666	0.6666666666666666	0.0	5.455821577690246e-07	6	12	1.0	0.5	0.5	0.00021486327043911477	0.0	0.7446132076641081	0	3	5.97358758304399e-07	0.003140309337187062	False	False	False	0.5	0.0	cerebellar_biased
BRE	BRE	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538533	0.0	0.3574411781076144	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	cerebellar_biased
CADPS2	CADPS2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.12445233649979809	6	12	1.0	0.5	0.5	0.00021486327043911477	0.12336892052194544	0.5791505451141679	7	3	0.12787168065753768	0.003140309337187062	False	False	False	0.5	0.12336892052194544	cerebellar_biased
CHRM3	CHRM3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.0027015226424272226	6	12	1.0	0.5	0.5	0.00021486327043911477	0.21008579200669597	0.06115296297788342	5	3	0.0028117095064417686	0.003140309337187062	False	False	False	0.5	0.06115296297788342	cerebellar_biased
Cntn2	CNTN2	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	marker_panel	True	True	73	88	0.6666666666666666	0.6666666666666666	0.0	0.9619647766072891	6	12	1.0	0.5	0.5	0.00021486327043911477	0.12688442211055276	0.3059289572079733	7	3	0.9691136091320064	0.003140309337187062	False	False	False	0.5	0.12688442211055276	cerebellar_biased
Dcx	DCX	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	marker_panel	True	True	73	88	0.6666666666666666	0.6666666666666666	0.0	0.10253696736445628	6	12	1.0	0.5	0.5	0.00021486327043911477	0.03554724041159962	0.7621054153076551	5	3	0.10540411479313065	0.003140309337187062	False	False	False	0.5	0.03554724041159962	cerebellar_biased
GAB1	GAB1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	0.32567308153736174	6	12	1.0	0.5	0.5	0.00021486327043911477	0.25158741003119345	0.32664777003211853	3	3	0.33288638730185566	0.003140309337187062	False	False	False	0.5	0.25158741003119345	cerebellar_biased
