gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
CELF2	CELF2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.445370217156958e-15	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9641255605381166	0.9879102506116157	7	3	6.799825296645535e-15	0.003140309337187062	True	True	True	1.0	0.9641255605381166
GPM6A	GPM6A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.2117564234326825e-27	6	12	1.0	0.5	0.5	0.00021486327043911477	0.96	0.9549279488194666	7	3	4.106718253789826e-26	0.003140309337187062	True	True	True	1.0	0.9549279488194666
TCF4	TCF4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.511629180125541e-13	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9549012299664554	0.9839187284569324	7	3	2.468918442539381e-13	0.003140309337187062	True	True	True	1.0	0.9549012299664554
MAP1B	MAP1B	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	4.142631101914792e-16	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9473045900167498	0.9535167279883632	6	3	9.048707814756479e-16	0.003140309337187062	True	True	True	1.0	0.9473045900167498
TTC3	TTC3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.511629180125541e-13	6	12	1.0	0.5	0.5	0.0017167440604175456	0.9264442052386078	0.958792883492644	7	3	2.468918442539381e-13	0.013191158405414228	True	True	True	1.0	0.9264442052386078
NFIA	NFIA	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.225879041799513e-31	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9251297257227576	0.9161419673167923	7	3	1.2695243607737256e-28	0.003140309337187062	True	True	True	1.0	0.9161419673167923
PPP3CA	PPP3CA	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.773464422855039e-16	6	12	1.0	0.5	0.5	0.00021486327043911477	0.961646398503274	0.9103652366435542	7	3	1.4460279855484823e-15	0.003140309337187062	True	True	True	1.0	0.9103652366435542
CALM1	CALM1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	8.10498772120674e-22	6	12	1.0	0.5	0.5	0.009879767867540601	0.9086378737541528	0.9527208404736303	7	3	5.1857576304712154e-21	0.03418661397874148	True	True	True	1.0	0.9086378737541528
NFIB	NFIB	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.818956200293058e-25	6	12	1.0	0.5	0.5	0.00021486327043911477	0.8884339815762539	0.9767894934772161	7	3	1.0404488342598554e-23	0.003140309337187062	True	True	True	1.0	0.8884339815762539
RTN3	RTN3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.1608092249889012e-11	6	12	1.0	0.5	0.5	0.0017167440604175456	0.87325509573811	0.9003894805741537	7	3	1.6370580032515778e-11	0.013191158405414228	True	True	True	1.0	0.87325509573811
RTN1	RTN1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.27963668505179e-14	6	12	1.0	0.5	0.5	0.009879767867540601	0.8545232273838631	0.9964068928787262	7	3	5.778661226545355e-14	0.03418661397874148	True	True	True	1.0	0.8545232273838631
NRXN1	NRXN1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.275181849266337e-17	6	12	1.0	0.5	0.5	0.009879767867540601	0.9629941126997477	0.8449483308917263	7	3	1.534492909748347e-16	0.03418661397874148	True	True	True	1.0	0.8449483308917263
APP	APP	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.8260614907209237e-09	6	12	1.0	0.5	0.5	0.009879767867540601	0.908957415565345	0.8437678555423046	7	3	2.2894377880772735e-09	0.03418661397874148	True	True	True	1.0	0.8437678555423046
BASP1	BASP1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.625527884871116e-16	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8148148148148148	0.869947110155284	7	3	5.822873192520911e-16	0.013191158405414228	True	True	True	1.0	0.8148148148148148
ANK3	ANK3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.5420682925374e-10	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9570707070707071	0.8118060519800525	7	3	3.337618720649892e-10	0.003140309337187062	True	True	True	1.0	0.8118060519800525
