gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
AAK1	AAK1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.1453103684849443e-07	6	12	0.6666666666666666	0.6666666666666666	0.0	0.5197767383185427	0.7368421052631579	0.22812571957958616	7	3	1.2745911694427114e-07	0.6827991094190786	False	False	False	0.5	0.22812571957958616
ABCA5	ABCA5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.3639523973529882e-14	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.6076158940397351	0.06780990179703067	7	3	2.5177980849860692e-14	0.44652159914500644	True	False	False	0.6666666666666666	0.06780990179703067
ABCC5	ABCC5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.690575769974989e-13	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.5785953177257525	0.17535814690033436	7	3	1.0380442664574929e-12	0.44652159914500644	True	False	False	0.6666666666666666	0.17535814690033436
ABHD2	ABHD2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	9.035474429813785e-13	6	12	0.8333333333333333	0.6666666666666666	0.16666666666666663	0.2926959764730425	0.6536544850498339	0.18282153154568587	6	3	1.3978562081502212e-12	0.44652159914500644	True	False	False	0.6666666666666666	0.18282153154568587
ABI1	ABI1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.759715825533523e-23	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.7191489361702128	0.3091757365490613	7	3	4.356043723874351e-22	0.10540030481821885	True	False	True	0.8333333333333333	0.3091757365490613
ABI2	ABI2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.0808023355515028e-19	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.7897310513447433	0.3879532565019136	7	3	4.365475355328137e-19	0.44652159914500644	True	False	False	0.6666666666666666	0.3879532565019136
ABL2	ABL2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.832665015643997e-15	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.617399438727783	0.09441123710812328	7	3	1.2887000364288546e-14	0.44652159914500644	True	False	False	0.6666666666666666	0.09441123710812328
ABLIM1	ABLIM1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.6017489535758527e-28	6	12	0.5	0.6666666666666666	-0.16666666666666663	0.8924811052561918	0.8045574057843996	0.06715449226678732	7	2	1.254042995623561e-26	1.0	False	False	False	0.33333333333333337	0.06715449226678732
ABLIM2	ABLIM2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.4043736707443747e-08	6	12	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.9924520339370608	0.42725752508361203	0.018600937672289874	7	1	1.6709196334857645e-08	1.0	False	False	False	5.551115123125783e-17	0.018600937672289874
ABR	ABR	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.2263447595369146e-24	6	12	0.6666666666666666	0.8333333333333333	-0.16666666666666663	0.7404431743695444	0.7041694242223693	0.156474305669204	7	3	6.9613101976472e-23	0.8934908974782608	False	False	False	0.33333333333333337	0.156474305669204
ACACA	ACACA	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.625527884871116e-16	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.7417869847248378	0.21439073621133098	7	3	5.822873192520911e-16	0.44652159914500644	True	False	False	0.6666666666666666	0.21439073621133098
ACAP2	ACAP2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.2263447595369146e-24	6	12	0.6666666666666666	0.6666666666666666	0.0	0.7404431743695444	0.7668161434977578	0.11924301837248613	7	3	6.9613101976472e-23	0.8934908974782608	False	False	False	0.5	0.11924301837248613
ACBD6	ACBD6	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.3797433769793204e-19	6	12	1.0	0.5	0.5	0.009879767867540601	0.7	0.42704594184393746	7	3	8.93021346828399e-19	0.03418661397874148	True	True	True	1.0	0.42704594184393746
ACSL3	ACSL3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.231418035829584e-15	6	12	0.6666666666666666	0.5	0.16666666666666663	0.12700887922326776	0.5628571428571428	0.2596236484800367	7	3	1.3627233466302665e-14	0.23428822380991143	True	False	False	0.6666666666666666	0.2596236484800367
ACSL4	ACSL4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.1602874380425446e-09	6	12	0.6666666666666666	0.5	0.16666666666666663	0.2926959764730425	0.5249169435215947	0.09177851578068918	7	2	1.4682983973828935e-09	0.44652159914500644	True	False	False	0.6666666666666666	0.09177851578068918
ACTB	ACTB	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.2221046523540615e-12	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6702253855278766	0.9985094468839383	7	3	7.627437704347448e-12	0.013191158405414228	True	True	True	1.0	0.6702253855278766
ACTG1	ACTG1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.6666666666666666	0.33333333333333337	1.5571100131503742e-12	6	12	1.0	0.5	0.5	0.0017167440604175456	0.3776041666666667	0.9991105454500697	7	3	2.363451097636922e-12	0.013191158405414228	True	True	True	0.8333333333333334	0.3776041666666667
ACTN1	ACTN1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	6.73782285418795e-19	6	12	0.6666666666666666	0.6666666666666666	0.0	0.5197767383185427	0.5834186284544524	0.13488674635589643	7	3	2.342041309412446e-18	0.6827991094190786	False	False	False	0.5	0.13488674635589643
