dataset	source_scope	trajectory_evidence_grade	root_strategy	n_cells	n_roots	n_total_genes_available	n_hvg_used	sampling	svd_variance_explained	rho_vs_known_order	p_vs_known_order	rho_vs_source_pseudotime	p_vs_source_pseudotime
GSE104323	full_transcriptome_raw_matrix	primary_lineage_pseudotime	curated_RGL_RGL_young_root	8000	885	19091	2000	stratified_8000_of_11539	0.25862982869148254	0.7970394925817063	0.0		
GSE95752	full_transcriptome_raw_matrix	supporting_intrinsic_diffusion	inferred_high_progenitor_low_mature_root	1755	87	16266	2000	all_1755	0.3076289892196655				
GSE292261	full_transcriptome_raw_matrix	primary_stage_pseudotime	earliest_postnatal_P5_root	505	94	13101	2000	all_505	0.26474976539611816	0.7509370734273132	1.0689314802069183e-92		
GSE214309	full_transcriptome_ensembl_raw_matrix	state_axis_pseudotime	immature_DGC_state_root	384	120	30209	2000	all_384	0.4202210605144501	0.6839467232127	2.8658639362058137e-54		
GSE122357	full_transcriptome_raw_matrix	primary_stage_pseudotime	earliest_postnatal_P0_root	8000	3031	17823	2000	stratified_8000_of_8628	0.2848106324672699	0.7498501483179336	0.0		
GSE165657	full_transcriptome_10x_matrix	supporting_intrinsic_diffusion	inferred_high_progenitor_low_mature_root	8000	401	22108	2000	stratified_8000_of_37218	0.20914089679718018				
GSE312658	full_transcriptome_10x_matrix	perturbation_context_diffusion	inferred_high_progenitor_low_mature_root	6248	312	26819	2000	all_6248	0.28785017132759094				
GSE186538	full_transcriptome_DG_GC_sparse_subset	human_DG_intrinsic_diffusion	inferred_high_progenitor_low_mature_root	8000	400	28779	2000	stratified_8000_of_32067	0.1901729851961136				
GSE325391	selected_feature_bridge_2169_genes	selected_feature_source_pseudotime_validation	source_differentiating_or_low_sling_root	8000	3409	2081	2000	stratified_8000_of_57319	0.2471790611743927	0.5790195987749428	0.0	0.5790195987749428	0.0
GSE268609	selected_feature_bridge_2169_genes	selected_feature_human_context_diffusion	projected_immature_neurogenic_root	8000	1989	2082	2000	stratified_8000_of_62349	0.37569621205329895				
