dataset	source_scope	axis_type	axis_label	candidate_call	broad_class	n_cells	median_axis_order	median_pseudotime	mean_pseudotime	root_fraction	median_proliferation_brdU_proxy	median_cell_cycle_exit_p21_p27	median_immature_progenitor_state	median_neuronal_differentiation_maturation	median_tgf_smad_pai1_response	median_bdnf_erk_response	median_apoptosis_execution	median_survival_neuroprotection	median_secreted_stop_candidate_axis	median_cerebellar_fate_rhombic_lip_shh	median_dentate_fate_wnt_prox1	median_shared_neurogenic_niche_state	median_downstream_neurite_morphology	median_downstream_synaptic_excitability	median_root_progenitor_immature	median_root_mature_granule
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	RGL_young	known_non_dentate_reference	non_dentate_background	686	0.0	2.5473238e-07	2.5473238e-07	1.0	0.7403125	0.764125	0.77937496	0.092437506	0.85	0.7731875	0.6128125	0.71924996	0.7158125	0.82862496	0.2750625	0.90618753	0.13637501	0.088375	0.8225	0.09290625
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	RGL	known_non_dentate_reference	non_dentate_background	199	1.0	2.5473238e-07	2.5473238e-07	1.0	0.491	0.599	0.702	0.13125	0.417	0.362	0.3760625	0.80675	0.1775	0.832625	0.412125	0.9035	0.123	0.06675	0.782625	0.143625
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	nIPC	known_non_dentate_reference	non_dentate_background	353	2.0	0.289017	0.2951935	0.0	0.934375	0.755375	0.856875	0.218125	0.6545	0.40275	0.5855	0.5335	0.396375	0.825125	0.58575	0.777625	0.27875	0.20875	0.93375	0.213625
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	nIPC-perin	known_non_dentate_reference	non_dentate_background	468	3.0	0.17286636	0.18629606	0.0	0.935875	0.7134375	0.780375	0.0948125	0.87025	0.6303125	0.64225	0.6855	0.721125	0.8738125	0.2474375	0.9024375	0.1676875	0.1250625	0.9308125	0.086624995
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	Neuroblast	candidate_dentate_granule	dentate_candidate	1000	4.0	0.2870109	0.27617013	0.0	0.5398438	0.66824996	0.8283125	0.308375	0.6240625	0.27693748	0.53925	0.386375	0.3875625	0.6870625	0.72931254	0.7068125	0.545625	0.2664375	0.7473125	0.306
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	Immature-GC	candidate_dentate_granule	dentate_candidate	1000	5.0	0.29817718	0.30501157	0.0	0.3969375	0.41175002	0.67956245	0.4063125	0.49787498	0.38674998	0.6196875	0.4358125	0.42684376	0.3094375	0.61812496	0.58556247	0.9175625	0.4035625	0.6041875	0.4240625
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	GC-juv	candidate_dentate_granule	dentate_candidate	3294	6.0	0.4122554	0.43090045	0.0	0.4123125	0.37921876	0.301125	0.757375	0.3756875	0.57718754	0.45065624	0.50406253	0.51825	0.3094375	0.50975	0.2804375	0.5703125	0.7598125	0.16225	0.7465
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	GC-adult	candidate_dentate_granule	dentate_candidate	1000	7.0	0.5141024	0.49773663	0.0	0.184	0.4266875	0.2313125	0.5911875	0.3914375	0.41756248	0.20896876	0.3655	0.4771875	0.3094375	0.30975002	0.1229375	0.41875	0.5935	0.16225	0.6226875
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P0	candidate_cerebellar_granule	cerebellar_candidate	2678	0.0	3.8349725e-07	3.8349725e-07	1.0	0.35506248	0.56112504	0.5894375	0.63743746	0.42624998	0.5295625	0.5405625	0.55462503	0.550875	0.600875	0.509375	0.50706255	0.6425625	0.55525005	0.44125003	0.50225
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P0	cerebellum_dentate_panel_high_warning	cerebellar_lineage_warning	353	0.0	3.8349725e-07	3.8349725e-07	1.0	0.27875	0.581375	0.587125	0.509125	0.556875	0.53375	0.4345	0.498125	0.30775	0.095125	0.679625	0.744375	0.52	0.278125	0.31475	0.5945
