dataset	module_id	n_module_genes_detected	spearman_rho_vs_full_transcriptome_pseudotime	spearman_p	n_cells
GSE104323	proliferation_brdU_proxy	15	-0.3526597778150506	5.55971187447131e-233	8000
GSE104323	cell_cycle_exit_p21_p27	9	-0.31386772762411463	2.168717565944106e-182	8000
GSE104323	immature_progenitor_state	11	-0.624601789205881	0.0	8000
GSE104323	neuronal_differentiation_maturation	11	0.6018741595820144	0.0	8000
GSE104323	tgf_smad_pai1_response	14	-0.33907977684471496	1.9711961990818593e-214	8000
GSE104323	bdnf_erk_response	16	-0.051685530932948025	3.741225395364558e-06	8000
GSE104323	apoptosis_execution	11	-0.22377962463184536	2.370991079835903e-91	8000
GSE104323	survival_neuroprotection	9	-0.18559848197720358	6.315574994336365e-63	8000
GSE104323	secreted_stop_candidate_axis	13	-0.09486483335985897	1.850343349414337e-17	8000
GSE104323	cerebellar_fate_rhombic_lip_shh	12	-0.4815798257586132	0.0	8000
GSE104323	dentate_fate_wnt_prox1	17	-0.09518901363031344	1.4382368063347763e-17	8000
GSE104323	shared_neurogenic_niche_state	21	-0.6850511836548905	0.0	8000
GSE104323	downstream_neurite_morphology	21	0.1574244232545536	1.4729439839977386e-45	8000
GSE104323	downstream_synaptic_excitability	20	0.6439812967450419	0.0	8000
GSE104323	root_progenitor_immature	12	-0.6435832940737343	0.0	8000
GSE104323	root_mature_granule	11	0.5769912693055449	0.0	8000
GSE95752	proliferation_brdU_proxy	15	-0.1229043006083048	2.40801082184621e-07	1755
GSE95752	cell_cycle_exit_p21_p27	9	-0.09876327650769241	3.403320300102995e-05	1755
GSE95752	immature_progenitor_state	10	-0.36966332925064754	5.998082262110949e-58	1755
GSE95752	neuronal_differentiation_maturation	11	0.2835739487504501	8.187565124707798e-34	1755
GSE95752	tgf_smad_pai1_response	14	-0.07905576171263556	0.0009174480052944712	1755
GSE95752	bdnf_erk_response	16	-0.009497764733527411	0.6909157129445449	1755
GSE95752	apoptosis_execution	11	-0.0354098767229232	0.13812113784636715	1755
GSE95752	survival_neuroprotection	9	-0.08757199050506359	0.00023965073396406864	1755
GSE95752	secreted_stop_candidate_axis	13	0.11670154125024333	9.475941493104519e-07	1755
GSE95752	cerebellar_fate_rhombic_lip_shh	9	-0.21221830324436566	2.5495864430811114e-19	1755
GSE95752	dentate_fate_wnt_prox1	16	-0.24381992599792093	3.622914076961497e-25	1755
GSE95752	shared_neurogenic_niche_state	21	-0.32526220027732167	1.585210657724666e-44	1755
GSE95752	downstream_neurite_morphology	21	0.09962286482550523	2.9035305895206428e-05	1755
GSE95752	downstream_synaptic_excitability	20	0.23754787278004155	6.1676395262318024e-24	1755
GSE95752	root_progenitor_immature	11	-0.3570886475869743	6.325153643331248e-54	1755
GSE95752	root_mature_granule	10	0.24537618434326106	1.770523470886856e-25	1755
GSE292261	proliferation_brdU_proxy	11	-0.24067710557475996	4.3544986127970425e-08	505
GSE292261	cell_cycle_exit_p21_p27	8	-0.09830872605259731	0.0271681886235589	505
GSE292261	immature_progenitor_state	7	-0.37115117661475583	6.130683016091259e-18	505
GSE292261	neuronal_differentiation_maturation	11	0.2842278165881776	7.714932006727197e-11	505
GSE292261	tgf_smad_pai1_response	8	-0.13773965708800595	0.0019193038942802198	505
GSE292261	bdnf_erk_response	16	0.05426759256569548	0.22345676289894398	505
GSE292261	apoptosis_execution	8	-0.31135343113777103	8.177564437477657e-13	505
GSE292261	survival_neuroprotection	9	-0.08248239253616278	0.06400788406417755	505
GSE292261	secreted_stop_candidate_axis	10	-0.24269306450472714	3.3303630922385064e-08	505
GSE292261	cerebellar_fate_rhombic_lip_shh	3	-0.2530432980064967	8.0954591784487e-09	505
GSE292261	dentate_fate_wnt_prox1	13	-0.2685786523373353	8.588522815383634e-10	505
GSE292261	shared_neurogenic_niche_state	15	-0.4235742429462817	2.1000160956326188e-23	505
GSE292261	downstream_neurite_morphology	21	-0.5888572652559686	1.867743331311127e-48	505
GSE292261	downstream_synaptic_excitability	20	0.19389386345336612	1.1432605047403237e-05	505
GSE292261	root_progenitor_immature	7	-0.38795795126514576	1.382160908621333e-19	505
GSE292261	root_mature_granule	10	0.3424120820405308	2.4480450573713195e-15	505
GSE214309	proliferation_brdU_proxy	15	0.03683485825187973	0.4717072903526204	384
GSE214309	cell_cycle_exit_p21_p27	8	0.11756696762146712	0.021204766226310845	384
GSE214309	immature_progenitor_state	10	-0.07569053049301441	0.13873600111920864	384
GSE214309	neuronal_differentiation_maturation	9	-0.09344007313617228	0.06738790058295543	384
GSE214309	tgf_smad_pai1_response	12	0.010424855676841012	0.8386472096092576	384
GSE214309	bdnf_erk_response	16	0.12926637978458327	0.011229285920613672	384
GSE214309	apoptosis_execution	11	-0.11657535294250226	0.022327566916785415	384
GSE214309	survival_neuroprotection	9	0.09186487006412221	0.07215933169592138	384
GSE214309	secreted_stop_candidate_axis	11	0.030503220764126253	0.551222916966825	384
GSE214309	cerebellar_fate_rhombic_lip_shh	7	-0.01495026169968118	0.7702672550344511	384
GSE214309	dentate_fate_wnt_prox1	16	-0.2494768110149844	7.372157946908263e-07	384
GSE214309	shared_neurogenic_niche_state	20	-0.12207762304739789	0.016693834389756274	384
GSE214309	downstream_neurite_morphology	20	-0.2958651401581991	3.385610613857707e-09	384
GSE214309	downstream_synaptic_excitability	20	-0.149281308911339	0.0033655410206915614	384
GSE214309	root_progenitor_immature	11	0.08249454574948381	0.1065191155743261	384
GSE214309	root_mature_granule	8	-0.14696481134267503	0.003899132471516181	384
GSE122357	proliferation_brdU_proxy	15	0.1978583006607008	1.978173243353453e-71	8000
GSE122357	cell_cycle_exit_p21_p27	9	-0.07763786854293508	3.561966777933593e-12	8000
GSE122357	immature_progenitor_state	11	-0.05468589424421597	9.872998555047205e-07	8000
GSE122357	neuronal_differentiation_maturation	11	-0.08956914340512338	1.0054509278013295e-15	8000
GSE122357	tgf_smad_pai1_response	14	0.10928577193430947	1.0965768445540298e-22	8000
GSE122357	bdnf_erk_response	16	-0.024668000764416758	0.027358523240292542	8000
GSE122357	apoptosis_execution	11	-0.038625267153525544	0.000549276297163028	8000
GSE122357	survival_neuroprotection	9	-0.08093414133329209	4.175926803836577e-13	8000
GSE122357	secreted_stop_candidate_axis	12	-0.02528569518753677	0.023720303692140104	8000
GSE122357	cerebellar_fate_rhombic_lip_shh	13	-0.07903122910805219	1.4547405878399236e-12	8000
GSE122357	dentate_fate_wnt_prox1	15	0.02121217514024233	0.05780265565902984	8000
