gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity
AAAS	AAAS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.04690941637572996	0.16996237205569276	4	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.04690941637572996	cerebellar_biased
AACS	AACS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.36956292630887666	0.2324459694701583	5	2	0.20418218837049995	0.006815655353197771	True	False	1.0	0.2324459694701583	cerebellar_biased
AAMP	AAMP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18271134966791186	0.4469149269133155	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.18271134966791186	cerebellar_biased
AARS	AARS	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.35101151037413875	0.3435075954530588	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.3435075954530588	cerebellar_biased
AARS2	AARS2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.08873693196435671	0.09173077025158113	4	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.08873693196435671	cerebellar_biased
AARSD1	AARSD1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.0	0.09700954950950336	3	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.0	cerebellar_biased
AASDHPPT	AASDHPPT	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3811513330400877	0.3139704144560855	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.3139704144560855	cerebellar_biased
AATF	AATF	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.175371489709754	0.3570042600965754	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.175371489709754	cerebellar_biased
ABCE1	ABCE1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.28661357129615905	0.2959002968929344	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.28661357129615905	cerebellar_biased
ABCF1	ABCF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.13493517286561815	0.3706170930461885	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.13493517286561815	cerebellar_biased
ABCF2	ABCF2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.00020279624733785136	0.22659293180332135	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.00020279624733785136	cerebellar_biased
ABCF3	ABCF3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.08715422488314398	0.15094612343910058	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.08715422488314398	cerebellar_biased
ABHD10	ABHD10	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.12805075786329523	0.18194859517907286	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.12805075786329523	cerebellar_biased
ABHD11	ABHD11	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.027691837564149745	0.17094354956166583	4	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.027691837564149745	cerebellar_biased
ABT1	ABT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.04767272365871031	0.18824333976863888	4	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.04767272365871031	cerebellar_biased
ABTB1	ABTB1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.13981222870561444	0.19223428734342196	5	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.13981222870561444	cerebellar_biased
ACAD8	ACAD8	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1419935047614688	0.11196811889717663	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.11196811889717663	cerebellar_biased
ACAT1	ACAT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.28759525163808314	0.5702290007762254	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.28759525163808314	cerebellar_biased
ACBD6	ACBD6	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.7186550832707665	0.42704594184393746	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.42704594184393746	cerebellar_biased
ACD	ACD	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.06390820973792852	0.38685508786826117	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.06390820973792852	cerebellar_biased
ACIN1	ACIN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.453396479705213	0.649377958057697	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.453396479705213	cerebellar_biased
ACSF3	ACSF3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1002199839560449	0.06777678269842795	3	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.06777678269842795	cerebellar_biased
ACTB	ACTB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8721960943561675	0.9985094468839383	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.8721960943561675	cerebellar_biased
ACTC1	ACTC1	genomewide_same_symbol_gene	3	3	1.0	0.5	0.5	0.023427088801936884	6	12	1.0	0.5	0.5	0.0017119021490659375	0.0005084918132818062	0.007440757635498509	0	1	0.20418218837049995	0.01922337276925927	False	False	1.0	0.0005084918132818062	cerebellar_biased
ACTG1	ACTG1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5637678970134186	0.9991105454500697	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.5637678970134186	cerebellar_biased
ACTL6A	ACTL6A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.039347358327291436	0.4737663813646773	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.039347358327291436	cerebellar_biased
ACTL6B	ACTL6B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.28593800036579714	0.30781057371142484	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.28593800036579714	cerebellar_biased
ACTR10	ACTR10	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.42579731110146635	0.4607275278200428	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.42579731110146635	cerebellar_biased
ACTR1A	ACTR1A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.21329132748184407	0.4994518886020719	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.21329132748184407	cerebellar_biased
ACTR3	ACTR3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.6012705757970918	0.5976155411079676	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.5976155411079676	cerebellar_biased
