gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection
CELF2	CELF2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9992743736726138	0.9879102506116157	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.9879102506116157
GPM6A	GPM6A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9967198829699472	0.9549279488194666	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.9549279488194666
NFIB	NFIB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9372895105942336	0.9767894934772161	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.9372895105942336
NFIA	NFIA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9272895621459286	0.9161419673167923	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.9161419673167923
PPP3CA	PPP3CA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9967333170220769	0.9103652366435542	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.9103652366435542
FTH1	FTH1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8322248442655846	0.9824073672369608	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.8322248442655846
ANK3	ANK3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9971399697873817	0.8118060519800525	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.8118060519800525
CAMTA1	CAMTA1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8749744044775101	0.7800109208517607	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.7800109208517607
YWHAH	YWHAH	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.7524777645957836	0.7499132318352396	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.7499132318352396
NBEA	NBEA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9977792120373512	0.7191609650340519	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.7191609650340519
GRIA2	GRIA2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9990152069816483	0.7144355509258562	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.7144355509258562
PPP2R2C	PPP2R2C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.69561624116532	0.7671951682114273	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.69561624116532
NRN1	NRN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.6917586303660603	0.6957908924824677	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.6917586303660603
