analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id	core_branch	core_role	primary_reason	current_use	caveat	eligible_for_primary_stats
backbone_cerebellum_warning		0.0732408							broad_neuronal_structural_warning		0.126027				0.134373			GSE122357		0.20118				0.90004			0.765667	0.765667			all		0.873902			353	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.444673				0.422938			backbone_refined	mouse		0.484627				0.482726			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_cerebellum_warning	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellar_candidate		0.0732408							cerebellar_candidate		0.443891				0.773969			GSE122357		0.0866434				0.502009			-0.27196	-0.27196			all		1.26526			2678	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.821046				0.734668			backbone_refined	mouse		0.725125				0.734132			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_cerebellar_candidate	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.225901				0.321706			GSE122357		0.0866434				0.502009			0.180303	0.180303			all		0.648602			4437	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.326807				0.315613			backbone_refined	mouse		0.34069				0.326593			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_other_or_ambiguous	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellum_warning		0.0924196							broad_neuronal_structural_warning		0.126027				0.120072			GSE122357		0.25993				0.943331			0.823259	0.823259			all		1.04416			319	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.537286				0.465999			backbone_refined	mouse		0.566509				0.558804			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_cerebellum_warning	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.477954				0.778006			GSE122357		0.137327				0.680273			-0.097733	-0.097733			all		1.1912			2082	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.77408				0.720475			backbone_refined	mouse		0.679104				0.70951			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_cerebellar_candidate	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.262761				0.350197			GSE122357		0.0866434				0.466163			0.115966	0.115966			all		0.807731			3687	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.404423				0.320795			backbone_refined	mouse		0.423007				0.338863			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_other_or_ambiguous	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellum_warning		0.0462098							broad_neuronal_structural_warning		0.126027				0.120593			GSE122357		0.22397				0.923727			0.803134	0.803134			all		0.862348			499	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.464635				0.493022			backbone_refined	mouse		0.465847				0.535994			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_cerebellum_warning	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.435227				0.770874			GSE122357		0.0866434				0.494491			-0.276383	-0.276383			all		1.03116			2697	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.642195				0.702253			backbone_refined	mouse		0.579724				0.700784			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_cerebellar_candidate	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.252054				0.362635			GSE122357		0.0866434				0.494491			0.131856	0.131856			all		0.712778			4972	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.328974				0.319723			backbone_refined	mouse		0.364107				0.352228			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_other_or_ambiguous	cerebellum	primary mouse cerebellar developmental comparison	Best current cerebellar developmental granule-cell anchor.	Defines cerebellar candidate identity and structural-program convergence.	Developmental cerebellum; stage effects must be modeled.	True
backbone_cerebellum_warning		0.0462098							broad_neuronal_structural_warning		0.0630134				0.32673			GSE165657		0.0866434				0.714133			0.387403	0.387403			all		0.490509			12154	10x	cerebellum	Cerebellum_aggr	cerebellum		0.244466				0.456703			backbone_refined	human		0.263631				0.490041			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_cerebellum_warning	cerebellum	primary human cerebellar validation	Large human cerebellum aggregate for cross-species cerebellar validation.	Provides human-side cerebellar granule validation in the backbone.	Aggregate metadata limits fine sample-aware inference.	True
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.225901				0.790462			GSE165657		0.0866434				0.714133			-0.076329	-0.076329			all		0.678989			25064	10x	cerebellum	Cerebellum_aggr	cerebellum		0.452777				0.756954			backbone_refined	human		0.393643				0.752679			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_cerebellar_candidate	cerebellum	primary human cerebellar validation	Large human cerebellum aggregate for cross-species cerebellar validation.	Provides human-side cerebellar granule validation in the backbone.	Aggregate metadata limits fine sample-aware inference.	True
backbone_other_or_ambiguous		0							other_or_ambiguous		0.0630134				0.32673			GSE165657		0				0.291869			-0.034861	-0.034861			all		0.365169			36332	10x	cerebellum	Cerebellum_aggr	cerebellum		0.159957				0.310068			backbone_refined	human		0.189325				0.312957			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_other_or_ambiguous	cerebellum	primary human cerebellar validation	Large human cerebellum aggregate for cross-species cerebellar validation.	Provides human-side cerebellar granule validation in the backbone.	Aggregate metadata limits fine sample-aware inference.	True
backbone_cerebellum_warning		0.640251							broad_neuronal_structural_warning		0.0630134				0.247375			GSE312658		0.22397				0.928145			0.68077	0.68077			all		0.621227			596	10x	cerebellum	Ctrl	cerebellum		0.500789				0.553428			backbone_refined	mouse		0.604924				0.718139			backbone_refined|GSE312658|Ctrl|all|backbone_cerebellum_warning	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
backbone_cerebellar_candidate		0.411586							cerebellar_candidate		0.288914				0.789479			GSE312658		0				0.282067			-0.507412	-0.507412			all		0.621227			1829	10x	cerebellum	Ctrl	cerebellum		0.643924				0.724521			backbone_refined	mouse		0.552249				0.665431			backbone_refined|GSE312658|Ctrl|all|backbone_cerebellar_candidate	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
backbone_other_or_ambiguous		0.184839							other_or_ambiguous		0.0630134				0.247375			GSE312658		0				0.282067			0.034692	0.034692			all		0.264838			2432	10x	cerebellum	Ctrl	cerebellum		0.244466				0.269302			backbone_refined	mouse		0.239201				0.267758			backbone_refined|GSE312658|Ctrl|all|backbone_other_or_ambiguous	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
backbone_cerebellum_warning		0.737855							broad_neuronal_structural_warning		0.0630134				0.312122			GSE312658		0.22397				0.875684			0.563562	0.563562			all		0.625725			1494	10x	cerebellum	cKO	cerebellum		0.495088				0.567593			backbone_refined	mouse		0.637468				0.732076			backbone_refined|GSE312658|cKO|all|backbone_cerebellum_warning	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
backbone_cerebellar_candidate		0.398761							cerebellar_candidate		0.272339				0.816153			GSE312658		0				0.233732			-0.582421	-0.582421			all		0.57631			2329	10x	cerebellum	cKO	cerebellum		0.590605				0.721278			backbone_refined	mouse		0.522573				0.598186			backbone_refined|GSE312658|cKO|all|backbone_cerebellar_candidate	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
backbone_other_or_ambiguous		0.25808							other_or_ambiguous		0.0630134				0.312122			GSE312658		0				0.233732			-0.07839	-0.07839			all		0.3226			3123	10x	cerebellum	cKO	cerebellum		0.266595				0.26994			backbone_refined	mouse		0.288623				0.276274			backbone_refined|GSE312658|cKO|all|backbone_other_or_ambiguous	cerebellum	mouse cerebellar perturbation validation	Control/cKO cerebellum dataset useful for perturbation sensitivity.	Validates robustness of cerebellar and structural modules under perturbation.	Perturbation biology should not define baseline identity.	True
human_dentate_anchor	0.869517	0.878553	0.76042	0.986706	0.372803	0.352555	0.277046	0.444197	dentate_candidate	0.03882	0	0	0.0753903	0.500052	0.300847	0.300847	0.750026	GSE186538	0.241775	0.236612	0.149912	0.340873	0.500052	0.500052	0.250065	0.750026	1.1882e-17	-0.00386706	-0.236988	0.274117	curated_human_dg_gc_anchor	0.496535	0.503773	0.403684	0.595862	9568	snRNA_seq_selected_bridge	hippocampus_dentate_gyrus	HSB179	48Y	0.797607	0.802901	0.731145	0.869313	0.500052	0.500052	0.250078	0.750026	human_core_tuned	human	0.72122	0.730109	0.663274	0.787779	0.500052	0.500052	0.250078	0.750026	human_core_tuned|GSE186538|HSB179|curated_human_dg_gc_anchor|human_dentate_anchor	human_dentate_hippocampus	human DG taxonomy anchor	Explicit human DG GC PROX1-labeled subset gives the strongest human dentate taxonomy anchor.	Anchors human DG granule labels and the tuned human-core convention.	Pig/rhesus portions are deferred; current core uses the human DG subset.	True
human_dentate_anchor	0.934779	0.93992	0.850002	1.0252	0.352502	0.341086	0.272505	0.415902	dentate_candidate	0.049103	0.0341426	0	0.084874	0.500068	0.500068	0.238795	0.75	GSE186538	0.257863	0.256096	0.169205	0.342635	0.500068	0.500068	0.250102	0.750034	1.26224e-17	-0.0055343	-0.243099	0.284487	curated_human_dg_gc_anchor	0.57125	0.568346	0.48604	0.656097	7318	snRNA_seq_selected_bridge	hippocampus_dentate_gyrus	HSB181	44Y	0.903053	0.90373	0.834195	0.97201	0.500068	0.500068	0.250102	0.750034	human_core_tuned	human	0.803027	0.80418	0.752332	0.855387	0.500068	0.500068	0.250102	0.750034	human_core_tuned|GSE186538|HSB181|curated_human_dg_gc_anchor|human_dentate_anchor	human_dentate_hippocampus	human DG taxonomy anchor	Explicit human DG GC PROX1-labeled subset gives the strongest human dentate taxonomy anchor.	Anchors human DG granule labels and the tuned human-core convention.	Pig/rhesus portions are deferred; current core uses the human DG subset.	True
human_dentate_anchor	0.933152	0.938399	0.835858	1.0343	0.305641	0.29855	0.228814	0.369065	dentate_candidate	0.0689933	0.065267	0	0.111715	0.500134	0.500134	0.180204	0.750067	GSE186538	0.287985	0.284327	0.191862	0.380362	0.500134	0.500134	0.250202	0.750034	1.0511e-17	0.00215169	-0.28399	0.303423	curated_human_dg_gc_anchor	0.619064	0.616823	0.517913	0.714196	3718	snRNA_seq_selected_bridge	hippocampus_dentate_gyrus	HSB231	79Y	0.88288	0.882972	0.817091	0.949362	0.500134	0.500134	0.250202	0.750067	human_core_tuned	human	0.811699	0.813886	0.762324	0.864235	0.500134	0.500134	0.250202	0.750067	human_core_tuned|GSE186538|HSB231|curated_human_dg_gc_anchor|human_dentate_anchor	human_dentate_hippocampus	human DG taxonomy anchor	Explicit human DG GC PROX1-labeled subset gives the strongest human dentate taxonomy anchor.	Anchors human DG granule labels and the tuned human-core convention.	Pig/rhesus portions are deferred; current core uses the human DG subset.	True
