tier_rank	manuscript_tier	gene	human_symbol	mouse_symbol	ortholog_symbol_class	mechanism_class	suggested_role	formal_rank_tier	ortholog_meta_tier	mechanism_hit_tier	formal_n_nominal_branches	formal_n_available_branches	formal_model_n_nominal_branches	formal_rank_priority_score	formal_fisher_q_bh_all_available_branches	nominal_branch_support	median_delta_selected_dentate	median_delta_selected_cerebellar	median_delta_full_matrix_dentate	median_delta_full_matrix_cerebellar	manuscript_use
1	Tier 1 core convergent program	GPM6A	GPM6A	Gpm6a	same_symbol	cytoskeleton_morphogenesis	membrane/neurite outgrowth structural executor	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	1.0	17.93054192450602	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
1	Tier 1 core convergent program	NFIB	NFIB	Nfib	same_symbol	regulatory_morphogenesis_candidate	developmental transcriptional regulator	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	1.0	17.886976743265937	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
1	Tier 1 core convergent program	KCNK1	KCNK1	Kcnk1	same_symbol	synaptic_wiring	ion-channel/excitability tuning candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	1.0	17.24482286599115	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
1	Tier 1 core convergent program	RFX3	RFX3	Rfx3	same_symbol	regulatory_morphogenesis_candidate	ciliogenesis/transcriptional regulatory candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	1.0	17.2109751575825	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
1	Tier 1 core convergent program	GABRA2	GABRA2	Gabra2	same_symbol	synaptic_wiring	GABA receptor and synaptic maturation candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	1.0	17.18109639323332	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
1	Tier 1 core convergent program	NFIA	NFIA	Nfia	same_symbol	regulatory_morphogenesis_candidate	developmental transcriptional regulator	formal_nominal_shared_both_screens	strict_shared_both_screens	dataset_robust_consensus_figure	4	4	0.0	17.82336123023969	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Primary manuscript seed gene; use in model schematic and main heatmap.
2	Tier 2 high-confidence wiring/synaptic executor	ROBO2	ROBO2	Robo2	same_symbol	curated_shared_structural_executor	axon guidance and neurite-patterning executor	formal_nominal_shared_both_screens	strict_shared_both_screens	dual_screen_mechanism_figure	4	4	3.0	17.354466858789625	0.0694110768164357	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	GABRB3	GABRB3	Gabrb3	same_symbol	synaptic_wiring	GABA receptor and synaptic maturation candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	3.0	17.24953652206155	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	KCND2	KCND2	Kcnd2	same_symbol	synaptic_wiring	voltage-gated potassium-channel candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	3.0	17.120076849183476	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	PPP3CA	PPP3CA	Ppp3ca	same_symbol	synaptic_wiring	calcineurin/synaptic plasticity signaling candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.89469781238413	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
