canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol_x	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	same_canonical_symbol_y	ortholog_symbol_class
CELF2	CELF2	CELF2	Celf2	51617377	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.981831664812755	0.9880486441151802	0.981831664812755	0.9833910705754798	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.981831664812755	True	True	True	True	True	True	strict_shared_both_screens	14.981831664812756	False	rna_processing_neuronal_state	supporting_context_not_core_executor	2.241031390134529	False	rna_processing_neuronal_state	supporting_context_not_core_executor	2.246977562652904	shared_positive_both_screens	4.488008952787434			True	True	True	10659	14007	HGNC:2550	MGI:1338822	True	same_symbol
FTH1	FTH1	FTH1	Fth1	51619450	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.125	0.0625	0.125	0.109375	0.9823651452282156	0.9982711278348417	0.9823651452282156	0.9742985250951157	0.5	0.5	0.5	0.5	0.25	0.5	0.25	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.9742985250951157	True	True	True	True	True	True	strict_shared_both_screens	14.974298525095115	False	unclassified_shared_neuronal_or_context	exploratory_context	2.099752168525403	False	unclassified_shared_neuronal_or_context	exploratory_context	2.2080562110663964	shared_positive_both_screens	4.307808379591799			True	True	True	2495	14319	HGNC:3976	MGI:95588	True	same_symbol
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.950315164998146	0.9305419245060185	0.950315164998146	0.9496371803292775	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.9305419245060185	True	True	True	True	True	True	strict_shared_both_screens	14.930541924506018	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7387319872048668	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7387319872048668	consensus_figure_candidate	5.4774639744097335	True	4.0	True	True	True	2823	234267	HGNC:4460	MGI:107671	True	same_symbol
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.8946978123841305	0.9940424144009103	0.8946978123841305	0.9889229071949797	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8946978123841305	True	True	True	True	True	True	strict_shared_both_screens	14.89469781238413	False	synaptic_wiring	mechanism_figure_candidate	2.7275913091608883	False	synaptic_wiring	mechanism_figure_candidate	2.7275913091608883	consensus_figure_candidate	5.455182618321777	False	3.0	True	True	True	5530	19055	HGNC:9314	MGI:107164	True	same_symbol
NFIB	NFIB	NFIB	Nfib	51634293	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.9549858782494053	0.9337968938668442	0.9549858782494053	0.8869767432659372	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8869767432659372	True	True	True	True	True	True	strict_shared_both_screens	14.886976743265937	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7221084953940635	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7343223776485583	consensus_figure_candidate	5.456430873042622	True	4.0	True	True	True	4781	18028	HGNC:7785	MGI:103188	True	same_symbol
NFIA	NFIA	NFIA	Nfia	51625494	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.9161419673167923	0.8233612302396913	0.9161419673167923	0.8898867766284596	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8233612302396913	True	True	True	True	True	True	strict_shared_both_screens	14.82336123023969	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7290354918291984	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7290354918291984	consensus_figure_candidate	5.458070983658397	True	4.0	True	True	True	4774	18027	HGNC:7784	MGI:108056	True	same_symbol
ANK3	ANK3	ANK3	Ank3	51616142	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.125	0.0625	0.125	0.109375	0.757137560252132	0.960791165781381	0.757137560252132	0.960791165781381	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.757137560252132	True	True	True	True	True	True	strict_shared_both_screens	14.757137560252133	False	unclassified_shared_neuronal_or_context	exploratory_context	2.2029515129950132	False	unclassified_shared_neuronal_or_context	exploratory_context	2.2029515129950132	shared_positive_both_screens	4.4059030259900265			True	True	True	288	11735	HGNC:494	MGI:88026	True	same_symbol
RBFOX3	RBFOX3	RBFOX3	Rbfox3	51623392	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.3199106364428945	0.125	0.125	0.125	0.1875	0.7374860956618465	0.9655521783181358	0.7374860956618465	0.8688021369660046	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	3.0	3.0	5.0	6.0	3.0	6.0	50.0	1.0	1.0	1.0	0.8	4	4	4	2.0	0.7374860956618465	True	True	True	True	True	True	strict_shared_both_screens	14.737486095661847	False	rna_processing_neuronal_state	supporting_context_not_core_executor	2.1845848974044166	False	rna_processing_neuronal_state	supporting_context_not_core_executor	1.1845848974044166	shared_positive_both_screens	3.3691697948088333			True	True	True	146713	52897	HGNC:27097	MGI:106368	True	same_symbol
NBEA	NBEA	NBEA	Nbea	51622325	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.7154592979835698	0.7298015096449539	0.7154592979835698	0.871075909117188	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.7154592979835698	True	True	True	True	True	True	strict_shared_both_screens	14.71545929798357	False	unclassified_shared_neuronal_or_context	exploratory_context	2.1797902412585133	False	unclassified_shared_neuronal_or_context	exploratory_context	2.1797902412585133	shared_positive_both_screens	4.359580482517027			True	True	True	26960	26422	HGNC:7648	MGI:1347075	True	same_symbol
NRN1	NRN1	NRN1	Nrn1	51617901	True	True	True	True	True	True	True	True	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081	0.125	0.0625	0.125	0.015625	0.6626236833705713	0.804228948938946	0.6626236833705713	0.6829027035672761	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.6626236833705713	True	True	True	True	True	True	strict_shared_both_screens	14.66262368337057	False	unclassified_shared_neuronal_or_context	exploratory_context	2.1133603238866394	False	unclassified_shared_neuronal_or_context	exploratory_context	2.172939657591515	shared_positive_both_screens	4.286299981478154			True	True	True	51299	68404	HGNC:17972	MGI:1915654	True	same_symbol
