canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	screen	branch_tested	formal_model_n_units	formal_model_n_datasets	formal_model_method	formal_model_estimate	formal_model_se	formal_model_z_greater	formal_model_p_greater	formal_model_converged	formal_model_message	dataset_best_nominal_p_greater	dataset_best_q_bh_greater	branch_replication_support	branch_nominal_support	branch_fdr10_support	formal_model_q_bh_greater	formal_model_nominal_support	formal_model_fdr10_support
RFX3	RFX3	RFX3	Rfx3	51628902	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.4804251721668811	0.01227067281887671	39.152308863440176	0.0	True		0.015625	0.061034181636726546	True	True	True	0.0	True	True
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.4619729464696538	0.014079347296164184	32.81209964864742	1.9787745204285792e-236	False		0.015625	0.061034181636726546	True	True	True	3.067100506664298e-235	True	True
GABRB3	GABRB3	GABRB3	Gabrb3	51631275	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41698259357201706	0.0541084063225626	7.706429035928563	6.4693566354578956e-15	True		0.125	0.3123397435897436	True	True	False	3.558146149501843e-14	True	True
KCND2	KCND2	KCND2	Kcnd2	51626176	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41698259357201706	0.0541084063225626	7.706429035928563	6.4693566354578956e-15	True		0.125	0.3123397435897436	True	True	False	3.558146149501843e-14	True	True
FOXN2	FOXN2	FOXN2	Foxn2	51628495	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41698259357201706	0.0541084063225626	7.706429035928563	6.4693566354578956e-15	True		0.125	0.3498864209994952	True	True	False	3.019033096547018e-14	True	True
GABRB3	GABRB3	GABRB3	Gabrb3	51631275	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41698259357201706	0.0541084063225626	7.706429035928563	6.4693566354578956e-15	True		0.125	0.3498864209994952	True	True	False	3.019033096547018e-14	True	True
KCND2	KCND2	KCND2	Kcnd2	51626176	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41698259357201706	0.0541084063225626	7.706429035928563	6.4693566354578956e-15	True		0.125	0.3498864209994952	True	True	False	3.019033096547018e-14	True	True
KCNK1	KCNK1	KCNK1	Kcnk1	51622575	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.49679487179487175	0.07161740188914453	6.936789923821208	2.0055480069268053e-12	True		0.015625	0.061034181636726546	True	True	True	1.5542997053682742e-11	True	True
NFIB	NFIB	NFIB	Nfib	51634293	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.4615384615384615	0.06962516018480985	6.628903406661828	1.6909489155198394e-11	True		0.015625	0.061034181636726546	True	True	True	1.0483883276223005e-10	True	True
GABRA2	GABRA2	GABRA2	Gabra2	51626368	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.41160517992460177	0.07194622367336596	5.721011596012028	5.2945834554571735e-09	True		0.015625	0.061034181636726546	True	True	True	2.7355347853195397e-08	True	True
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.4005512509779682	0.07293854341118944	5.49162667973597	1.9912425633309365e-08	True		0.015625	0.061034181636726546	True	True	True	7.716064932907644e-08	True	True
KCNJ6	KCNJ6	KCNJ6	Kcnj6	51631421	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.4005512509779676	0.07293854341118942	5.491626679735964	1.991242563331005e-08	True		0.015625	0.061034181636726546	True	True	True	7.716064932907644e-08	True	True
ACTB	ACTB	ACTB	Actb	51615947	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
ACTG1	ACTG1	ACTG1	Actg1	51615946	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
BASP1	BASP1	BASP1	Basp1	51625144	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
MAPKAP1	MAPKAP1	MAPKAP1	Mapkap1	51622431	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
RFX7	RFX7	RFX7	Rfx7	51620072	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
RTN3	RTN3	RTN3	Rtn3	51627886	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
TUBA1B	TUBA1B	TUBA1B	Tuba1b	51617391	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.25734411348717606	True	True	False	5.038437857792794e-08	True	True
ACTB	ACTB	ACTB	Actb	51615947	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
ACTG1	ACTG1	ACTG1	Actg1	51615946	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
BASP1	BASP1	BASP1	Basp1	51625144	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
MAPK14	MAPK14	MAPK14	Mapk14	51618979	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
MAPKAP1	MAPKAP1	MAPKAP1	Mapkap1	51622431	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
RFX7	RFX7	RFX7	Rfx7	51620072	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
RTN3	RTN3	RTN3	Rtn3	51627886	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
TUBA1B	TUBA1B	TUBA1B	Tuba1b	51617391	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.41666666583031614	0.07798906477576041	5.342629342053852	4.580398052538903e-08	True		0.018874775675311855	0.19545135581807907	True	True	False	5.343797727962054e-08	True	True
KCND2	KCND2	KCND2	Kcnd2	51626176	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.3959583424547928	0.07910915902690994	5.005214912221513	2.789987012288918e-07	True		0.0020523579900266612	0.016966875739539783	True	True	True	9.609955264550717e-07	True	True
TUBA1A	TUBA1A	TUBA1A	Tuba1a	51627126	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.2450982116198451	0.050686669794208224	4.8355556325748505	6.63871164498002e-07	True		0.05096973941492916	0.09051522689202937	True	True	True	2.058000609943806e-06	True	True
GABRB3	GABRB3	GABRB3	Gabrb3	51631275	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.39370690887861437	0.08254689591845776	4.769493807102445	9.234471031536526e-07	True		0.0020523579900266612	0.016966875739539783	True	True	True	2.6024418361602938e-06	True	True
GRIN2B	GRIN2B	GRIN2B	Grin2b	51621524	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.39219404596395646	0.085366707044502	4.594227182260927	2.1717798685041328e-06	True		0.0020523579900266612	0.016966875739539783	True	True	True	5.61043132696901e-06	True	True
STXBP5L	STXBP5L	STXBP5L	Stxbp5l	51624931	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.39150063726038076	0.08749627792684257	4.474483332739279	3.8298150435423025e-06	True		0.0020523579900266612	0.016966875739539783	True	True	True	9.132635873062412e-06	True	True
ROBO2	ROBO2	ROBO2	Robo2	51616305	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.38806580216841285	0.09434184914610952	4.113400422832564	1.9493662826319457e-05	True		0.0020523579900266612	0.016966875739539783	True	True	True	4.316453911542166e-05	True	True
CACNA2D1	CACNA2D1	CACNA2D1	Cacna2d1	51625279	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.37851265169502807	0.09293525499865389	4.072863970734363	2.3219274555030694e-05	True		0.0020523579900266612	0.016966875739539783	True	True	True	4.7986500747063434e-05	True	True
ROBO2	ROBO2	ROBO2	Robo2	51616305	selected	cerebellar	6	3	mixedlm_dataset_random_intercept	0.33363164851909866	0.09662106617792074	3.452990757778847	0.0002772039987419082	False		0.018874775675311855	0.25734411348717606	True	True	False	0.0002772039987419082	True	True
ROBO2	ROBO2	ROBO2	Robo2	51616305	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.33363164851909866	0.09662106617792074	3.452990757778847	0.0002772039987419082	False		0.018874775675311855	0.19545135581807907	True	True	False	0.0002772039987419082	True	True
SEMA7A	SEMA7A	SEMA7A	Sema7a	51620218	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.33363164851909866	0.09662106617792074	3.452990757778847	0.0002772039987419082	False		0.018874775675311855	0.19545135581807907	True	True	False	0.0002772039987419082	True	True
MAPKAP1	MAPKAP1	MAPKAP1	Mapkap1	51622431	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.3219243817911536	0.12620035701544882	2.5508991369314846	0.005372270789922303	True		0.05096973941492916	0.09051522689202937	True	True	True	0.009316151068407365	True	True
BASP1	BASP1	BASP1	Basp1	51625144	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.3171898419930321	0.12446142904235419	2.5484991168235136	0.005409378039720406	True		0.05096973941492916	0.09051522689202937	True	True	True	0.009316151068407365	True	True
RFX7	RFX7	RFX7	Rfx7	51620072	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.31141366057289105	0.1240124218374186	2.511148931363966	0.006016945774435113	True		0.05096973941492916	0.09051522689202937	True	True	True	0.009817122053025712	True	True
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.3292719698849808	0.13436217702330355	2.4506299107365046	0.007130324610861606	True		0.05096973941492916	0.09051522689202937	True	True	True	0.010828920408095315	True	True
KCNJ3	KCNJ3	KCNJ3	Kcnj3	51625694	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.35256410256410253	0.15231724464665627	2.314669644805987	0.010315509114326405	True		0.015625	0.061034181636726546	True	True	True	0.013324199272671608	True	True
MAP1B	MAP1B	MAP1B	Map1b	51630358	selected	dentate	50	5	mixedlm_dataset_random_intercept	0.2840253008075661	0.14766374126252838	1.9234600070345182	0.027211152230830274	True		0.10399999999999998	0.13532446808510637	True	True	False	0.028118190638524616	True	True
ACTB	ACTB	ACTB	Actb	51615947	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
ACTG1	ACTG1	ACTG1	Actg1	51615946	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
BASP1	BASP1	BASP1	Basp1	51625144	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
CADM3	CADM3	CADM3	Cadm3	51628789	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
DCC	DCC	DCC	Dcc	51626817	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
KCNMB4	KCNMB4	KCNMB4	Kcnmb4	51633330	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
MAP3K13	MAP3K13	MAP3K13	Map3k13	51625425	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
MAPKAP1	MAPKAP1	MAPKAP1	Mapkap1	51622431	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
RFX7	RFX7	RFX7	Rfx7	51620072	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
RTN3	RTN3	RTN3	Rtn3	51627886	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
SLC17A6	SLC17A6	SLC17A6	Slc17a6	51616516	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
STMN2	STMN2	STMN2	Stmn2	51624344	full_matrix	dentate	4	4	cluster_robust_intercept_fallback	0.25	0.25	1.0	0.15865525393145707	True	Singular matrix	0.19550110947788527	0.41942132674430754	True	True	False	0.15865525393145707	True	False
