gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
AAAS	AAAS	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.04690941637572996	0.16996237205569276	4	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.04690941637572996	cerebellar_biased	51630033	AAAS	Aaas	AAAS	same_symbol	8086	223921	HGNC:13666	MGI:2443767	True
AACS	AACS	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.36956292630887666	0.2324459694701583	5	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.2324459694701583	cerebellar_biased	51629510	AACS	Aacs	AACS	same_symbol	65985	78894	HGNC:21298	MGI:1926144	True
AAMP	AAMP	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18271134966791186	0.4469149269133155	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.18271134966791186	cerebellar_biased	51630039	AAMP	Aamp	AAMP	same_symbol	14	227290	HGNC:18	MGI:107809	True
AARS2	AARS2	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.08873693196435671	0.09173077025158113	4	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.08873693196435671	cerebellar_biased	51622397	AARS2	Aars2	AARS2	same_symbol	57505	224805	HGNC:21022	MGI:2681839	True
AASDHPPT	AASDHPPT	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.3811513330400877	0.3139704144560855	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.3139704144560855	cerebellar_biased	51628719	AASDHPPT	Aasdhppt	AASDHPPT	same_symbol	60496	67618	HGNC:14235	MGI:1914868	True
AATF	AATF	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.175371489709754	0.3570042600965754	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.175371489709754	cerebellar_biased	51616878	AATF	Aatf	AATF	same_symbol	26574	56321	HGNC:19235	MGI:1929608	True
ABCE1	ABCE1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.28661357129615905	0.2959002968929344	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.28661357129615905	cerebellar_biased	51627562	ABCE1	Abce1	ABCE1	same_symbol	6059	24015	HGNC:69	MGI:1195458	True
ABCF1	ABCF1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.13493517286561815	0.3706170930461885	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.13493517286561815	cerebellar_biased	51627685	ABCF1	Abcf1	ABCF1	same_symbol	23	224742	HGNC:70	MGI:1351658	True
ABCF3	ABCF3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.08715422488314398	0.15094612343910058	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.08715422488314398	cerebellar_biased	51622136	ABCF3	Abcf3	ABCF3	same_symbol	55324	27406	HGNC:72	MGI:1351656	True
ABHD10	ABHD10	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.12805075786329523	0.18194859517907286	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.12805075786329523	cerebellar_biased	51615891	ABHD10	Abhd10	ABHD10	same_symbol	55347	213012	HGNC:25656	MGI:2442422	True
