canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	mechanism_hit_tier	mechanism_hit_rank
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.950315164998146	0.9305419245060185	0.950315164998146	0.9496371803292775	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.9305419245060185	True	True	True	True	True	True	strict_shared_both_screens	14.930541924506018	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7387319872048668	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7387319872048668	consensus_figure_candidate	5.4774639744097335	True	4.0	True	True	True	2823	234267	HGNC:4460	MGI:107671	dataset_robust_consensus_figure	0
NFIB	NFIB	NFIB	Nfib	51634293	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.9549858782494053	0.9337968938668442	0.9549858782494053	0.8869767432659372	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8869767432659372	True	True	True	True	True	True	strict_shared_both_screens	14.886976743265937	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7221084953940635	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7343223776485583	consensus_figure_candidate	5.456430873042622	True	4.0	True	True	True	4781	18028	HGNC:7785	MGI:103188	dataset_robust_consensus_figure	0
NFIA	NFIA	NFIA	Nfia	51625494	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.9161419673167923	0.8233612302396913	0.9161419673167923	0.8898867766284596	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8233612302396913	True	True	True	True	True	True	strict_shared_both_screens	14.82336123023969	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7290354918291984	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.7290354918291984	consensus_figure_candidate	5.458070983658397	True	4.0	True	True	True	4774	18027	HGNC:7784	MGI:108056	dataset_robust_consensus_figure	0
KCNK1	KCNK1	KCNK1	Kcnk1	51622575	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.24482286599114825	0.6679157818767263	0.24482286599114825	0.6679157818767263	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.24482286599114825	True	True	True	True	True	True	strict_shared_both_screens	14.244822865991148	False	synaptic_wiring	mechanism_figure_candidate	2.5757657569463186	False	synaptic_wiring	mechanism_figure_candidate	2.5757657569463186	consensus_figure_candidate	5.151531513892637	True	4.0	True	True	True	3775	16525	HGNC:6272	MGI:109322	dataset_robust_consensus_figure	0
RFX3	RFX3	RFX3	Rfx3	51628902	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.210975157582499	0.8740406101233849	0.210975157582499	0.8958679258336792	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.210975157582499	True	True	True	True	True	True	strict_shared_both_screens	14.2109751575825	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.556871414390415	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.556871414390415	consensus_figure_candidate	5.11374282878083	True	4.0	True	True	True	5991	19726	HGNC:9984	MGI:106582	dataset_robust_consensus_figure	0
GABRA2	GABRA2	GABRA2	Gabra2	51626368	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.1810963932333227	0.6737788185993767	0.1810963932333227	0.6737788185993767	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.1810963932333227	True	True	True	True	True	True	strict_shared_both_screens	14.181096393233323	False	synaptic_wiring	mechanism_figure_candidate	2.5343445419495545	False	synaptic_wiring	mechanism_figure_candidate	2.5343445419495545	consensus_figure_candidate	5.068689083899109	True	4.0	True	True	True	2555	14395	HGNC:4076	MGI:95614	dataset_robust_consensus_figure	0
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.8946978123841305	0.9940424144009103	0.8946978123841305	0.9889229071949797	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.8946978123841305	True	True	True	True	True	True	strict_shared_both_screens	14.89469781238413	False	synaptic_wiring	mechanism_figure_candidate	2.7275913091608883	False	synaptic_wiring	mechanism_figure_candidate	2.7275913091608883	consensus_figure_candidate	5.455182618321777	False	3.0	True	True	True	5530	19055	HGNC:9314	MGI:107164	consensus_figure_candidate	1
CACNA2D1	CACNA2D1	CACNA2D1	Cacna2d1	51625279	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.4507094846900672	0.662007268660889	0.4507094846900672	0.752713851498046	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.4507094846900672	True	True	True	True	True	True	strict_shared_both_screens	14.450709484690067	False	synaptic_wiring	mechanism_figure_candidate	2.618958762435442	False	synaptic_wiring	mechanism_figure_candidate	2.618958762435442	consensus_figure_candidate	5.237917524870884	False	3.0	True	True	True	781	12293	HGNC:1399	MGI:88295	consensus_figure_candidate	1
KCNJ6	KCNJ6	KCNJ6	Kcnj6	51631421	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.09977978187919463	0.125	0.0625	0.125	0.015625	0.3098068943504628	0.2964011602892396	0.3098068943504628	0.4852217439463833	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	2.0	0.2964011602892396	True	True	True	True	True	True	strict_shared_both_screens	14.29640116028924	False	synaptic_wiring	mechanism_figure_candidate	2.5579381576631643	False	synaptic_wiring	mechanism_figure_candidate	2.5579381576631643	consensus_figure_candidate	5.115876315326329	False	3.0	True	True	True	3763	16522	HGNC:6267	MGI:104781	consensus_figure_candidate	1
GABRB3	GABRB3	GABRB3	Gabrb3	51631275	True	True	True	True	True	True	True	True	0.9103157644824311	0.64844081084899	0.8667883211678832	0.19095470183486238	0.125	0.0625	0.125	0.109375	0.2495365220615498	0.7987987675396594	0.2495365220615498	0.7987987675396594	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	2.0	0.2495365220615498	True	True	True	True	True	True	strict_shared_both_screens	14.24953652206155	False	synaptic_wiring	mechanism_figure_candidate	2.566074389945494	False	synaptic_wiring	mechanism_figure_candidate	2.566074389945494	consensus_figure_candidate	5.132148779890988	False	3.0	True	True	True	2562	14402	HGNC:4083	MGI:95621	consensus_figure_candidate	1
