module_id	module_label	module_family	hypothesis_role	gene	canonical_gene	default_mouse_symbol	gene_order	present_in_formal_model	formal_mouse_symbol	formal_rank_tier	formal_rank_priority_score	formal_n_available_branches	formal_n_nominal_branches	formal_n_fdr10_branches	formal_replication_shared_both_screens	formal_nominal_shared_both_screens	formal_fdr10_shared_both_screens	median_delta_selected_dentate	median_delta_selected_cerebellar	median_delta_full_matrix_dentate	median_delta_full_matrix_cerebellar	selected_convergence_delta	full_matrix_convergence_delta	overall_convergence_delta	mean_branch_bias	shared_positive_any_screen	shared_positive_both_screens	branch_pattern
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ATOH1	ATOH1	Atoh1	1	True	Atoh1	not_formally_shared	7.25	4	2	0	False	False	False	0.0	0.5	0.25	0.5	0.0	0.25	0.125	0.375	True	False	shared_positive_one_screen
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	BARHL1	BARHL1	Barhl1	2	True	Barhl1	not_formally_shared	7.0	4	2	0	False	False	False	0.0	0.5	-0.5	0.5	0.0	-0.5	-0.25	0.75	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PAX6	PAX6	Pax6	3	True	Pax6	not_formally_shared	7.050645784602867	4	2	0	False	False	False	-0.4999999999999999	0.5	-0.4999999999999999	0.5	-0.4999999999999999	-0.4999999999999999	-0.4999999999999999	0.9999999999999999	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC1	ZIC1	Zic1	4	True	Zic1	not_formally_shared	7.027153462829248	4	2	0	False	False	False	-0.4999999999999999	0.5	-0.4999999999999999	0.5	-0.4999999999999999	-0.4999999999999999	-0.4999999999999999	0.9999999999999999	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC2	ZIC2	Zic2	5	True	Zic2	not_formally_shared	7.000610190175938	4	2	0	False	False	False	-0.4999999999999999	0.5	-0.5	0.5	-0.4999999999999999	-0.5	-0.49999999999999994	1.0	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC3	ZIC3	Zic3	6	True	Zic3	not_formally_shared	0.5020339672531272	2	0	0	False	False	False			-0.4999999999999999	0.5		-0.4999999999999999	-0.4999999999999999	0.9999999999999999	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MYCN	MYCN	Mycn	7	True	Mycn	not_formally_shared	3.595954356846473	2	1	0	False	False	False			0.0	0.5		0.0	0.0	0.5	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PTCH1	PTCH1	Ptch1	8	True	Ptch1	formal_nominal_shared_full_matrix	7.075292071471119	2	2	0	False	False	False			0.5	0.5		0.5	0.5	0.0	True	False	shared_positive_one_screen
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI1	GLI1	Gli1	9	True	Gli1	not_formally_shared	0.5007118885385945	2	0	0	False	False	False			-0.4999999999999999	0.5		-0.4999999999999999	-0.4999999999999999	0.9999999999999999	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI2	GLI2	Gli2	10	True	Gli2	not_formally_shared	3.503457744330316	2	1	0	False	False	False			-0.5	0.5		-0.5	-0.5	1.0	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN1	EN1	En1	11	True	En1	not_formally_shared	3.5001525475439843	2	1	0	False	False	False			-0.25	0.5		-0.25	-0.25	0.75	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN2	EN2	En2	12	True	En2	not_formally_shared	7.0	4	2	0	False	False	False	0.0	0.5	-0.25	0.5	0.0	-0.25	-0.125	0.625	False	False	cerebellar_biased
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MEIS1	MEIS1	Meis1	13	True	Meis1	not_formally_shared	3.5020263424518743	2	1	0	False	False	False			0.0	0.5		0.0	0.0	0.5	False	False	cerebellar_biased
