module_id	module_label	module_family	hypothesis_role	gene	canonical_gene	default_mouse_symbol	gene_order
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ATOH1	ATOH1	Atoh1	1
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	BARHL1	BARHL1	Barhl1	2
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PAX6	PAX6	Pax6	3
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC1	ZIC1	Zic1	4
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC2	ZIC2	Zic2	5
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC3	ZIC3	Zic3	6
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MYCN	MYCN	Mycn	7
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PTCH1	PTCH1	Ptch1	8
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI1	GLI1	Gli1	9
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI2	GLI2	Gli2	10
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN1	EN1	En1	11
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN2	EN2	En2	12
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MEIS1	MEIS1	Meis1	13
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	PROX1	PROX1	Prox1	1
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	NEUROD1	NEUROD1	Neurod1	2
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	NEUROD2	NEUROD2	Neurod2	3
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	EOMES	EOMES	Eomes	4
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	TBR1	TBR1	Tbr1	5
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	LEF1	LEF1	Lef1	6
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	LHX2	LHX2	Lhx2	7
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	EMX2	EMX2	Emx2	8
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	ZBTB20	ZBTB20	Zbtb20	9
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	TCF7L2	TCF7L2	Tcf7l2	10
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	WNT3A	WNT3A	Wnt3a	11
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	WNT7A	WNT7A	Wnt7a	12
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	DKK3	DKK3	Dkk3	13
