dataset	sample	source_group	specificity_role	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank
GSE104323	10X_all_cells	RGL	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		199	0.05331901388922656	0.06992260755002042	0.6875
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		1232	0.05331901388922656	0.03757328371793442	0.6875
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		821	0.05331901388922656	0.03823034464889244	0.6875
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		651	0.05331901388922656	0.06526604564035755	0.6875
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		686	0.10663802777845312	0.09869140664230355	0.9166666666666666
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		182	0.05331901388922656	0.06911168883946717	0.6875
GSE104323	10X_all_cells	PVM	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		79	0.0	0.007818971854204052	0.2708333333333333
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		428	0.0	0.008191555514047627	0.2708333333333333
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		543	0.05331901388922656	0.06584742262259181	0.6875
GSE104323	10X_all_cells	VLMC	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		160	0.10663802777845312	0.12105845337370409	0.9166666666666666
