dataset	sample	source_group	specificity_role	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank
GSE104323	10X_all_cells	GC-adult	dentate_granule	GABRA2	Gabra2	Gabra2	2613	0.6931471805599453	0.7536589175938595	0.7286643704554152	0.7708333333333334
GSE104323	10X_all_cells	GC-juv	dentate_granule	GABRA2	Gabra2	Gabra2	3420	1.0986122886681098	0.9448172975113714	0.7874269005847954	0.9166666666666666
GSE104323	10X_all_cells	Immature-GC	dentate_granule	GABRA2	Gabra2	Gabra2	2419	0.6931471805599453	0.7747775153417109	0.6883009508061182	0.7708333333333334
GSE104323	10X_all_cells	Neuroblast	dentate_granule	GABRA2	Gabra2	Gabra2	1381	0.0	0.3401956135873486	0.3787110789283128	0.3333333333333333
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	GABRA2	Gabra2	Gabra2	532	1.3862943611198906	1.4736042697917355	0.8590225563909775	0.9791666666666666
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	GABRA2	Gabra2	Gabra2	4520	1.3862943611198906	1.254696969929137	0.8663716814159292	0.9791666666666666
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	GABRA2	Gabra2	Gabra2	1232	0.0	0.3402562321601214	0.38555194805194803	0.3333333333333333
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	GABRA2	Gabra2	Gabra2	821	0.6931471805599453	0.5915087092824802	0.5895249695493301	0.7708333333333334
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	GABRA2	Gabra2	Gabra2	535	0.6931471805599453	0.5709480384383383	0.5289719626168224	0.7708333333333334
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	GABRA2	Gabra2	Gabra2	543	0.0	0.09204712581108178	0.10313075506445672	0.3333333333333333
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	GABRA2	Gabra2	Gabra2	182	0.0	0.09744035506652086	0.11538461538461539	0.3333333333333333
GSE104323	10X_all_cells	GABA	other_local_cell_type	GABRA2	Gabra2	Gabra2	209	0.6931471805599453	0.5918029620766259	0.5311004784688995	0.7708333333333334
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	GABRA2	Gabra2	Gabra2	651	0.0	0.23947141910104383	0.26574500768049153	0.3333333333333333
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	GABRA2	Gabra2	Gabra2	1024	0.6931471805599453	0.5488630676566872	0.505859375	0.7708333333333334
GSE104323	10X_all_cells	MOL	other_local_cell_type	GABRA2	Gabra2	Gabra2	704	0.0	0.09628512330825449	0.10511363636363637	0.3333333333333333
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	GABRA2	Gabra2	Gabra2	428	0.0	0.06209149283315581	0.08411214953271028	0.3333333333333333
GSE104323	10X_all_cells	NFOL	other_local_cell_type	GABRA2	Gabra2	Gabra2	232	0.0	0.046563244898738546	0.06465517241379311	0.3333333333333333
GSE104323	10X_all_cells	OPC	other_local_cell_type	GABRA2	Gabra2	Gabra2	794	0.0	0.09430076025791845	0.11586901763224182	0.3333333333333333
GSE104323	10X_all_cells	PVM	other_local_cell_type	GABRA2	Gabra2	Gabra2	79	0.0	0.08409860421705914	0.0759493670886076	0.3333333333333333
GSE104323	10X_all_cells	RGL	other_local_cell_type	GABRA2	Gabra2	Gabra2	199	0.0	0.07137623215160552	0.09045226130653267	0.3333333333333333
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	GABRA2	Gabra2	Gabra2	686	0.0	0.09508536026122692	0.1151603498542274	0.3333333333333333
GSE104323	10X_all_cells	VLMC	other_local_cell_type	GABRA2	Gabra2	Gabra2	160	0.0	0.08811568551569796	0.10625	0.3333333333333333
GSE104323	10X_all_cells	nIPC	other_local_cell_type	GABRA2	Gabra2	Gabra2	353	0.0	0.1872857758890065	0.18980169971671387	0.3333333333333333
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	GABRA2	Gabra2	Gabra2	468	0.0	0.10283843710356061	0.13034188034188035	0.3333333333333333
GSE122357	P0	Granule cells	cerebellar_granule	GABRA2	Gabra2	Gabra2	2814	0.0	0.08167225265545348	0.10376687988628287	0.5625
GSE122357	P0	Granule precursor	cerebellar_granule	GABRA2	Gabra2	Gabra2	2553	0.0	0.019573938125669186	0.026635330983157072	0.5625
GSE122357	P0	Purkinje cells	purkinje_comparator	GABRA2	Gabra2	Gabra2	92	0.0	0.045205250906083384	0.05434782608695652	0.5625
GSE122357	P0	Astrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	1230	0.0	0.05255783566036477	0.07073170731707316	0.5625
GSE122357	P0	Endothelial cells	other_local_cell_type	GABRA2	Gabra2	Gabra2	15	0.0	0.09241962407465937	0.13333333333333333	0.5625
GSE122357	P0	Interneuron	other_local_cell_type	GABRA2	Gabra2	Gabra2	418	0.0	0.021557208964782987	0.03110047846889952	0.5625
GSE122357	P0	Microglia	other_local_cell_type	GABRA2	Gabra2	Gabra2	112	0.0	0.0	0.0	0.5625
GSE122357	P0	Oligodendrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	44	0.0	0.03150669002545206	0.045454545454545456	0.5625
GSE122357	P8a	Granule cells	cerebellar_granule	GABRA2	Gabra2	Gabra2	1367	0.0	0.0978437395125729	0.1250914411119239	0.5625
GSE122357	P8a	Granule precursor	cerebellar_granule	GABRA2	Gabra2	Gabra2	3254	0.0	0.033431328328257764	0.04517516902274124	0.5625
GSE122357	P8a	Purkinje cells	purkinje_comparator	GABRA2	Gabra2	Gabra2	86	0.0	0.0	0.0	0.5625
GSE122357	P8a	Astrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	292	0.0	0.11555546852569488	0.1506849315068493	0.5625
GSE122357	P8a	Endothelial cells	other_local_cell_type	GABRA2	Gabra2	Gabra2	8	0.0	0.0	0.0	0.5625
GSE122357	P8a	Interneuron	other_local_cell_type	GABRA2	Gabra2	Gabra2	570	0.0	0.015303914517241243	0.021052631578947368	0.5625
GSE122357	P8a	Microglia	other_local_cell_type	GABRA2	Gabra2	Gabra2	102	0.0	0.0	0.0	0.5625
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	173	0.0	0.05677366221673767	0.07514450867052024	0.5625
GSE122357	P8b	Granule cells	cerebellar_granule	GABRA2	Gabra2	Gabra2	1883	0.0	0.08738106740880325	0.11524163568773234	0.5625
GSE122357	P8b	Granule precursor	cerebellar_granule	GABRA2	Gabra2	Gabra2	4309	0.0	0.019600771414721583	0.026456254351357622	0.5625
GSE122357	P8b	Purkinje cells	purkinje_comparator	GABRA2	Gabra2	Gabra2	78	0.0	0.014084772931642434	0.01282051282051282	0.5625
GSE122357	P8b	Astrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	512	0.0	0.08970930466236356	0.1171875	0.5625
GSE122357	P8b	Endothelial cells	other_local_cell_type	GABRA2	Gabra2	Gabra2	18	0.0	0.03850817669777474	0.05555555555555555	0.5625
GSE122357	P8b	Interneuron	other_local_cell_type	GABRA2	Gabra2	Gabra2	828	0.0	0.018559204115912054	0.025362318840579712	0.5625
GSE122357	P8b	Microglia	other_local_cell_type	GABRA2	Gabra2	Gabra2	123	0.0	0.0	0.0	0.5625
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	GABRA2	Gabra2	Gabra2	238	0.0	0.01747429866957845	0.025210084033613446	0.5625
GSE104323	10X_all_cells	GC-adult	dentate_granule	GPM6A	Gpm6a	Gpm6a	2613	1.3862943611198906	1.29692609006905	0.9303482587064676	0.7291666666666666
GSE104323	10X_all_cells	GC-juv	dentate_granule	GPM6A	Gpm6a	Gpm6a	3420	1.791759469228055	1.6800255064126632	0.9777777777777777	0.8333333333333334
GSE104323	10X_all_cells	Immature-GC	dentate_granule	GPM6A	Gpm6a	Gpm6a	2419	1.0986122886681098	1.0110326372947143	0.8160396858205871	0.5625
GSE104323	10X_all_cells	Neuroblast	dentate_granule	GPM6A	Gpm6a	Gpm6a	1381	0.6931471805599453	0.4842121429788288	0.5271542360608255	0.3541666666666667
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	GPM6A	Gpm6a	Gpm6a	532	2.70805020110221	2.5879636531771584	0.9924812030075187	1.0
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	GPM6A	Gpm6a	Gpm6a	4520	1.0986122886681098	1.0227286530009652	0.784070796460177	0.5625
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	1232	2.0794415416798357	2.0026719400379345	0.9935064935064936	0.9166666666666666
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	821	2.1972245773362196	2.1700740390998643	0.9963459196102314	0.9583333333333334
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	535	1.3862943611198906	1.200847274709312	0.8897196261682243	0.7291666666666666
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	GPM6A	Gpm6a	Gpm6a	543	0.0	0.23434199054146593	0.23572744014732966	0.125
