dataset	module_id	old_endpoint_gene_graph_rho	old_p	old_n_cells	new_full_transcriptome_rho	new_p	new_n_cells	rho_change_new_minus_old
GSE104323	bdnf_erk_response	0.4491019353097909	0.0	11539.0	-0.051685530932948	3.741225395364558e-06	8000	-0.500787466242739
GSE104323	secreted_stop_candidate_axis	0.3266999308685758	3.9122627693857885e-285	11539.0	-0.0948648333598589	1.8503433494143368e-17	8000	-0.4215647642284347
GSE104323	tgf_smad_pai1_response	0.1945807527744536	7.699262180839338e-99	11539.0	-0.3390797768447149	1.971196199081859e-214	8000	-0.5336605296191685
GSE122357	bdnf_erk_response	0.2335501928194698	6.2581867611567305e-93	7457.0	-0.0246680007644167	0.0273585232402925	8000	-0.2582181935838865
GSE122357	secreted_stop_candidate_axis	0.1212665247470306	7.861595071615437e-26	7457.0	-0.0252856951875367	0.0237203036921401	8000	-0.1465522199345673
GSE122357	tgf_smad_pai1_response	0.3473011967614018	2.2194613776960873e-210	7457.0	0.1092857719343094	1.0965768445540298e-22	8000	-0.23801542482709243
GSE165657	bdnf_erk_response				-0.0264133113594215	0.0181510947381237	8000	
GSE165657	secreted_stop_candidate_axis				-0.0568422907414116	3.629139270356627e-07	8000	
GSE165657	tgf_smad_pai1_response				-0.1210088825932057	1.756331874435633e-27	8000	
GSE186538	bdnf_erk_response				0.0165876074813113	0.1379387128717946	8000	
GSE186538	secreted_stop_candidate_axis				-0.0540109628517264	1.3404497121076389e-06	8000	
GSE186538	tgf_smad_pai1_response				-0.0356045591772771	0.0014471361471037	8000	
GSE214309	bdnf_erk_response				0.1292663797845832	0.0112292859206136	384	
GSE214309	secreted_stop_candidate_axis				0.0305032207641262	0.551222916966825	384	
GSE214309	tgf_smad_pai1_response				0.010424855676841	0.8386472096092576	384	
GSE268609	bdnf_erk_response				-0.3325696056141394	7.287124223192789e-206	8000	
GSE268609	secreted_stop_candidate_axis				-0.338828651023322	4.256893185738227e-214	8000	
GSE268609	tgf_smad_pai1_response				-0.2910206202583748	6.187180034702513e-156	8000	
GSE292261	bdnf_erk_response	0.0256037615659849	0.7216770987130632	196.0	0.0542675925656954	0.2234567628989439	505	0.028663830999710496
GSE292261	secreted_stop_candidate_axis	-0.2404681326756794	0.0006863498055647	196.0	-0.2426930645047271	3.3303630922385064e-08	505	-0.002224931829047705
GSE292261	tgf_smad_pai1_response	-0.1526792444053756	0.0326485740036411	196.0	-0.1377396570880059	0.0019193038942802	505	0.014939587317369718
GSE312658	bdnf_erk_response				-0.0081561920713982	0.5191980056103995	6248	
GSE312658	secreted_stop_candidate_axis				0.0761090920727367	1.7066040906412911e-09	6248	
GSE312658	tgf_smad_pai1_response				-0.2709757943367414	1.3619059500717636e-105	6248	
GSE325391	bdnf_erk_response				0.2081648037657655	4.9431424369310255e-79	8000	
GSE325391	secreted_stop_candidate_axis				0.2246420484071877	4.6351745018841514e-92	8000	
GSE325391	tgf_smad_pai1_response				0.1048165711441455	5.4815346041054586e-21	8000	
GSE95752	bdnf_erk_response				-0.0094977647335274	0.6909157129445449	1755	
GSE95752	secreted_stop_candidate_axis				0.1167015412502433	9.47594149310452e-07	1755	
GSE95752	tgf_smad_pai1_response				-0.0790557617126355	0.0009174480052944	1755	
