expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	target_class	background_classes	n_candidate_classes	n_background_classes	candidate_median_downstream_construction_balance	background_median_downstream_construction_balance	delta_downstream_construction_balance	candidate_median_regional_fate_balance	background_median_regional_fate_balance	delta_regional_fate_balance	candidate_median_configuration_score	background_median_configuration_score	delta_configuration_score	configuration_positive
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.6666666666666667	-0.16666666666666666	0.8333333333333334	0.33333333333333337	-0.33333333333333337	0.6666666666666667	1.0	-0.5	1.5	True
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.6666666666666667	-0.33333333333333337	1.0	0.33333333333333337	-0.33333333333333337	0.6666666666666667	1.0	-0.6666666666666666	1.6666666666666665	True
full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.6666666666666667	-0.33333333333333337	1.0	0.33333333333333337	-0.33333333333333337	0.6666666666666667	1.0	-0.6666666666666666	1.6666666666666665	True
full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.6666666666666667	-0.33333333333333337	1.0	0.33333333333333337	-0.16666666666666669	0.5	1.0	-0.5	1.5	True
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.33333333333333337	-0.16666666666666669	0.5	0.33333333333333337	-0.16666666666666669	0.5	0.6666666666666667	-0.33333333333333337	1.0	True
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.49999999999999994	-0.25	0.75	0.33333333333333337	-0.25	0.5833333333333334	0.8333333333333333	-0.5	1.3333333333333333	True
full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	dentate_candidate	non_dentate_background	1	1	0.25	-0.25	0.5	0.5	-0.5	1.0	0.75	-0.75	1.5	True
full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	dentate_candidate	other_or_ambiguous	1	1	0.6666666666666667	-0.6666666666666667	1.3333333333333335	0.6666666666666667	-0.6666666666666667	1.3333333333333335	1.3333333333333335	-1.3333333333333335	2.666666666666667	True
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.33333333333333337	-0.16666666666666666	0.5	0.33333333333333337	-0.1666666666666667	0.5000000000000001	0.6666666666666667	-0.33333333333333337	1.0	True
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	1	2	0.0	0.0	0.0	0.33333333333333337	-0.1666666666666667	0.5000000000000001	0.33333333333333337	-0.1666666666666667	0.5000000000000001	True
