dataset	sample	source_group	specificity_role	cerebellar_fate_rank	dentate_fate_rank	neurite_morphology_rank	synaptic_excitability_rank	niche_rank	dataset_branch	downstream_mean_rank	downstream_construction_balance	branch_matched_fate_rank	branch_opposed_fate_rank	regional_fate_balance	configuration_score	granule_role	named_comparator_role
GSE104323	10X_all_cells	GC-adult	dentate_granule	0.2708333333333333	0.6666666666666666	0.5	0.875	0.0416666666666666	dentate	0.6875	0.6458333333333334	0.6666666666666666	0.2708333333333333	0.3958333333333333	1.0416666666666667	True	False
GSE104323	10X_all_cells	GC-juv	dentate_granule	0.2708333333333333	0.8333333333333334	0.7083333333333334	0.9583333333333334	0.1458333333333333	dentate	0.8333333333333334	0.6875000000000001	0.8333333333333334	0.2708333333333333	0.5625	1.25	True	False
GSE104323	10X_all_cells	Immature-GC	dentate_granule	0.2708333333333333	1.0	0.8333333333333334	0.75	0.4583333333333333	dentate	0.7916666666666667	0.3333333333333334	1.0	0.2708333333333333	0.7291666666666667	1.0625000000000002	True	False
GSE104323	10X_all_cells	Neuroblast	dentate_granule	0.6875	0.9583333333333334	0.75	0.6666666666666666	0.625	dentate	0.7083333333333333	0.08333333333333326	0.9583333333333334	0.6875	0.27083333333333337	0.35416666666666663	True	False
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	0.6875	0.4166666666666667	0.2083333333333333	0.0833333333333333	0.5	dentate	0.1458333333333333	-0.35416666666666674	0.4166666666666667	0.6875	-0.2708333333333333	-0.625	False	False
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	0.6875	0.4583333333333333	0.3333333333333333	0.4375	0.8333333333333334	dentate	0.38541666666666663	-0.44791666666666674	0.4583333333333333	0.6875	-0.22916666666666669	-0.6770833333333335	False	False
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	0.6875	0.7083333333333334	0.875	0.7083333333333334	0.4166666666666667	dentate	0.7916666666666667	0.37500000000000006	0.7083333333333334	0.6875	0.02083333333333337	0.3958333333333334	False	False
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	0.6875	0.2291666666666666	0.0833333333333333	0.4375	0.5416666666666666	dentate	0.26041666666666663	-0.28125	0.2291666666666666	0.6875	-0.45833333333333337	-0.7395833333333334	False	False
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	0.6875	0.5416666666666666	0.375	0.5416666666666666	0.75	dentate	0.4583333333333333	-0.2916666666666667	0.5416666666666666	0.6875	-0.14583333333333337	-0.43750000000000006	False	False
GSE104323	10X_all_cells	GABA	other_local_cell_type	0.2708333333333333	0.2291666666666666	0.7916666666666666	0.9166666666666666	0.3333333333333333	dentate	0.8541666666666666	0.5208333333333333	0.2291666666666666	0.2708333333333333	-0.04166666666666671	0.4791666666666665	False	False
