dataset	cell_id	species	region	platform	curated_group	developmental_stage	postnatal_day	Leiden	louvain	nGene	nCounts	percent_mito	count_matrix_present	gene_identifier_status	promotion_status	source_note	geo_accession	title	maturation_state	activity_state	timepoint	cell_state	cell_type	sex	mouseid	treatment	projection_label	quality_control
GSE292261	20210412_Blanca_Plate1_A1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	6025.0	928456.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4521.0	1057669.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5244.0	1106140.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden5	DG_P5	5	5.0	DG_P5	4589.0	961160.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	2524.0	879544.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4329.0	1129122.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4630.0	1152041.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5601.0	1150308.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3550.0	1044626.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4512.0	1186512.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3885.0	1110419.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_A9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4260.0	1115300.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4638.0	811138.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4676.0	1127521.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4967.0	283577.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4863.0	1139779.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4297.0	1020965.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4824.0	1111356.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4110.0	1084748.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	2510.0	942666.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	2677.0	871628.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
