dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE104323	10X_all_cells	Astro-adult	dentate_gyrus	10x	known_non_dentate_reference	reference	1232	0.0192366	0.0416289	-0.0223923	0.0804954	0.0705396	1
GSE104323	10X_all_cells	Astro-juv	dentate_gyrus	10x	known_non_dentate_reference	reference	821	0.0262881	0.0607198	-0.0344317	0.0964564	0.0962373	1
GSE104323	10X_all_cells	CA3-Pyr	dentate_gyrus	10x	known_non_dentate_reference	reference	532	0.16264	0.0319054	0.130734	0.740275	0.783854	1
GSE104323	10X_all_cells	Cajal-Retzius	dentate_gyrus	10x	known_non_dentate_reference	reference	535	0.182798	0.0746986	0.108099	0.54655	0.69233	1
GSE104323	10X_all_cells	Endothelial	dentate_gyrus	10x	known_non_dentate_reference	reference	543	0.0315974	0.0381857	-0.0065883	0.112207	0.0951623	1
GSE104323	10X_all_cells	Ependymal	dentate_gyrus	10x	known_non_dentate_reference	reference	182	0.0765838	0.0381366	0.0384473	0.173431	0.185818	1
GSE104323	10X_all_cells	GABA	dentate_gyrus	10x	known_non_dentate_reference	reference	209	0.0954205	0.00608122	0.0893393	0.501574	0.621997	1
GSE104323	10X_all_cells	GC-adult	dentate_gyrus	10x	candidate_dentate_granule	reference	2613	0.271295	0.00344077	0.267854	0.227302	0.348894	1
GSE104323	10X_all_cells	GC-juv	dentate_gyrus	10x	candidate_dentate_granule	reference	3420	0.414111	0.00692086	0.40719	0.333006	0.486355	1
GSE104323	10X_all_cells	Immature-Astro	dentate_gyrus	10x	known_non_dentate_reference	reference	651	0.0472608	0.0244817	0.0227792	0.196237	0.270395	1
GSE104323	10X_all_cells	Immature-GABA	dentate_gyrus	10x	known_non_dentate_reference	reference	1024	0.136021	0.0133036	0.122718	0.746663	0.791916	1
GSE104323	10X_all_cells	Immature-GC	dentate_gyrus	10x	candidate_dentate_granule	reference	2419	0.356724	0.00325864	0.353465	0.566746	0.697333	1
GSE104323	10X_all_cells	Immature-Pyr	dentate_gyrus	10x	known_non_dentate_reference	reference	4520	0.13047	0.0144516	0.116018	0.939026	0.87546	1
GSE104323	10X_all_cells	MOL	dentate_gyrus	10x	known_non_dentate_reference	reference	704	0.0820217	0.0700803	0.0119414	0.199352	0.284887	1
GSE104323	10X_all_cells	MiCajal-Retziusoglia	dentate_gyrus	10x	known_non_dentate_reference	reference	428	0.0255727	0.0106143	0.0149583	0.0974632	0.0899008	1
GSE104323	10X_all_cells	NFOL	dentate_gyrus	10x	known_non_dentate_reference	reference	232	0.0443427	0.00217288	0.0421698	0.190052	0.265237	1
GSE104323	10X_all_cells	Neuroblast	dentate_gyrus	10x	candidate_dentate_granule	reference	1381	0.239885	0.014018	0.225867	0.391848	0.562001	1
GSE104323	10X_all_cells	OPC	dentate_gyrus	10x	known_non_dentate_reference	reference	794	0.0633041	0.0202587	0.0430454	0.185345	0.227207	1
GSE104323	10X_all_cells	PVM	dentate_gyrus	10x	known_non_dentate_reference	reference	79	0.0166376	0.02566	-0.00902231	0.0998719	0.0798429	1
GSE104323	10X_all_cells	RGL	dentate_gyrus	10x	known_non_dentate_reference	reference	199	0.0460052	0.0104256	0.0355796	0.114261	0.12423	1
GSE104323	10X_all_cells	RGL_young	dentate_gyrus	10x	known_non_dentate_reference	reference	686	0.0728941	0.0259987	0.0468954	0.191712	0.240211	1
GSE104323	10X_all_cells	VLMC	dentate_gyrus	10x	known_non_dentate_reference	reference	160	0.0473992	0.132859	-0.0854599	0.15374	0.129357	1
GSE104323	10X_all_cells	nIPC	dentate_gyrus	10x	known_non_dentate_reference	reference	353	0.167328	0.0400688	0.127259	0.357673	0.504321	1
GSE104323	10X_all_cells	nIPC-perin	dentate_gyrus	10x	known_non_dentate_reference	reference	468	0.0842742	0.0340269	0.0502473	0.244963	0.363697	1
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1814	0.125348	0.459741	-0.334394	0.836264	0.83369	0.242903
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	medium	864	0.0977214	0.473992	-0.37627	0.45203	0.452933	0.115694
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	cerebellum_dentate_panel_high_warning	low	353	0.230138	0.129404	0.100733	0.500072	0.482726	0.0472683
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	non_granule_or_ambiguous	low	4437	0.0638695	0.23944	-0.17557	0.41255	0.326593	0.594135
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1323	0.137574	0.499283	-0.361709	0.812635	0.837878	0.217313
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	medium	759	0.0962262	0.514852	-0.418626	0.49168	0.454501	0.124671
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	cerebellum_dentate_panel_high_warning	low	319	0.359079	0.123237	0.235842	0.614522	0.558804	0.0523982
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	non_granule_or_ambiguous	low	3687	0.0728994	0.266725	-0.193826	0.456761	0.338863	0.605618
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1679	0.125335	0.459691	-0.334356	0.718566	0.837169	0.205558
