excluded_dataset	n_dentate_units	n_cerebellar_units	dentate_identity_contrast_median	cerebellar_identity_contrast_median	identity_median_difference	dentate_structural_rank_median	cerebellar_structural_rank_median	both_structural_medians_above_0_5
none	41	8	0.64912	-0.237306	0.886426	0.6231	0.683107	True
GSE104323	37	8	0.657187	-0.237306	0.894492	0.661528	0.683107	True
GSE122357	41	5	0.64912	-0.18904	0.83816	0.6231	0.598186	True
GSE150153	41	8	0.64912	-0.237306	0.886426	0.6231	0.683107	True
GSE165657	41	7	0.64912	-0.24871	0.89783	0.6231	0.665431	True
GSE214309	33	8	0.587539	-0.237306	0.824844	0.6231	0.683107	True
GSE214905	40	8	0.639064	-0.237306	0.87637	0.61953	0.683107	True
GSE242688	41	6	0.64912	-0.295511	0.944631	0.6231	0.705147	True
GSE292261	36	8	0.602746	-0.237306	0.840051	0.61953	0.683107	True
GSE312658	41	6	0.64912	-0.265676	0.914796	0.6231	0.705147	True
GSE95752	18	8	1.50866	-0.237306	1.74596	0.645406	0.683107	True
