dataset	sample	group	region	platform	species	analysis_class	n_cells_or_spots	n_high_confidence	n_medium_confidence	n_reference_confidence	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	identity_contrast_mean	identity_contrast_median	identity_contrast_q25	identity_contrast_q75	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
GSE104323	10X_all_cells	Astro-adult	dentate_gyrus	10x	mouse	known_non_dentate_reference	1232	0	0	1232	0.0192366	0	0	0	0.0416289	0.0630134	0	0.0630134	-0.0223923	0	-0.0630134	0	0.06355	0.053319	0	0.106638	0.151325	0.149313	0.091551	0.207076	0.026611	0	0	0.0462098	0.0804954	0.0741846	0.0524304	0.103683	0.193947	0.144449	0.144449	0.144449	0.640193	0.844676	0.387761	0.844676	0.1448	0.131776	0.0438081	0.221274	0.0868261	0.0705396	0.0334505	0.122369	GSE104323|10X_all_cells|Astro-adult|known_non_dentate_reference
GSE104323	10X_all_cells	Astro-juv	dentate_gyrus	10x	mouse	known_non_dentate_reference	821	0	0	821	0.0262881	0	0	0.0866434	0.0607198	0.0630134	0	0.0998738	-0.0344317	-0.0393836	-0.0762436	0	0.0796128	0.053319	0.053319	0.106638	0.169113	0.149313	0.091551	0.231049	0.0406432	0.0462098	0	0.0462098	0.0964564	0.0894576	0.0613235	0.123825	0.212265	0.144449	0.144449	0.376949	0.7086	0.844676	0.387761	0.931755	0.168725	0.131776	0.131776	0.221274	0.114666	0.0962373	0.0471367	0.159851	GSE104323|10X_all_cells|Astro-juv|known_non_dentate_reference
GSE104323	10X_all_cells	CA3-Pyr	dentate_gyrus	10x	mouse	known_non_dentate_reference	532	0	0	532	0.16264	0.0866434	0	0.22397	0.0319054	0	0	0.0630134	0.130734	0.0866434	0	0.187669	0.893268	0.847612	0.531979	1.22751	0.952948	0.907034	0.563464	1.3221	0.37461	0.323469	0.16566	0.543704	0.740276	0.694126	0.437227	1.01838	0.448855	0.376949	0.144449	0.645338	0.566518	0.387761	0.387761	0.844676	0.830199	0.915578	0.69907	0.982055	0.746871	0.783853	0.602656	0.914958	GSE104323|10X_all_cells|CA3-Pyr|known_non_dentate_reference
GSE104323	10X_all_cells	Cajal-Retzius	dentate_gyrus	10x	mouse	known_non_dentate_reference	535	0	0	535	0.182798	0.173287	0.0866434	0.274653	0.0746986	0.0630134	0	0.126027	0.108099	0.0866434	0	0.207297	0.412484	0.394151	0.244466	0.537286	1.10824	1.15771	0.721372	1.42119	0.118926	0.0924196	0.0462098	0.16566	0.54655	0.550316	0.368257	0.691558	0.514011	0.563386	0.376949	0.723051	0.746742	0.844676	0.387761	0.962125	0.540046	0.545876	0.379078	0.703349	0.638395	0.69233	0.547343	0.782034	GSE104323|10X_all_cells|Cajal-Retzius|known_non_dentate_reference
GSE104323	10X_all_cells	Endothelial	dentate_gyrus	10x	mouse	known_non_dentate_reference	543	0	0	543	0.0315974	0	0	0	0.0381857	0	0	0.0630134	-0.00658829	0	-0.0630134	0	0.0523414	0	0	0.053319	0.199857	0.173287	0.115525	0.264838	0.0844214	0.0732408	0.0462098	0.124589	0.112207	0.0885689	0.0539116	0.142989	0.212633	0.144449	0.144449	0.144449	0.593091	0.387761	0.387761	0.844676	0.12142	0.0438081	0.0438081	0.131776	0.143088	0.0951623	0.0362208	0.199235	GSE104323|10X_all_cells|Endothelial|known_non_dentate_reference
GSE104323	10X_all_cells	Ependymal	dentate_gyrus	10x	mouse	known_non_dentate_reference	182	0	0	182	0.0765838	0.0866434	0	0.0866434	0.0381366	0	0	0.0630134	0.0384473	0	0	0.0866434	0.116297	0.0845086	0.053319	0.159957	0.323539	0.264838	0.149313	0.380362	0.0804577	0.0462098	0	0.119451	0.173431	0.136859	0.0812537	0.195405	0.326202	0.376949	0.144449	0.376949	0.581665	0.387761	0.387761	0.844676	0.211171	0.185921	0.131776	0.289229	0.228059	0.185818	0.0817087	0.305164	GSE104323|10X_all_cells|Ependymal|known_non_dentate_reference
GSE104323	10X_all_cells	GABA	dentate_gyrus	10x	mouse	known_non_dentate_reference	209	0	0	209	0.0954205	0.0866434	0	0.137327	0.00608122	0	0	0	0.0893393	0.0866434	0	0.137327	0.532917	0.512253	0.351104	0.700383	0.827601	0.783386	0.505702	1.08673	0.144203	0.119451	0.0462098	0.21187	0.501574	0.46136	0.319938	0.678804	0.352778	0.376949	0.144449	0.493488	0.423897	0.387761	0.387761	0.387761	0.653541	0.677445	0.496299	0.843891	0.610723	0.621997	0.502088	0.775233	GSE104323|10X_all_cells|GABA|known_non_dentate_reference
GSE104323	10X_all_cells	GC-adult	dentate_gyrus	10x	mouse	dentate_candidate	2613	0	0	2613	0.271295	0.25993	0.173287	0.361296	0.00344077	0	0	0	0.267854	0.25993	0.173287	0.361296	0.296177	0.28376	0.213276	0.382293	0.2825	0.264838	0.191882	0.356389	0.103228	0.0924196	0.0462098	0.138629	0.227302	0.217169	0.167891	0.272775	0.667992	0.697209	0.563386	0.815919	0.411899	0.387761	0.387761	0.387761	0.435144	0.423982	0.346682	0.531197	0.34802	0.348894	0.249576	0.443002	GSE104323|10X_all_cells|GC-adult|dentate_candidate
GSE104323	10X_all_cells	GC-juv	dentate_gyrus	10x	mouse	dentate_candidate	3420	0	0	3420	0.414111	0.397257	0.25993	0.547753	0.00692086	0	0	0	0.40719	0.397257	0.25993	0.534583	0.43787	0.413483	0.297785	0.56438	0.391478	0.371173	0.240864	0.51986	0.16967	0.16566	0.0924196	0.231049	0.333006	0.306486	0.224888	0.430909	0.797866	0.845421	0.697209	0.932975	0.435039	0.387761	0.387761	0.387761	0.579989	0.566508	0.436944	0.731466	0.477046	0.486355	0.363412	0.597581	GSE104323|10X_all_cells|GC-juv|dentate_candidate
GSE104323	10X_all_cells	Immature-Astro	dentate_gyrus	10x	mouse	known_non_dentate_reference	651	0	0	651	0.0472608	0	0	0.0866434	0.0244817	0	0	0.0630134	0.0227792	0	0	0.0866434	0.116313	0.106638	0.053319	0.159957	0.388935	0.365169	0.283433	0.46805	0.0834644	0.0732408	0.0462098	0.119451	0.196237	0.178625	0.139229	0.226505	0.255358	0.144449	0.144449	0.376949	0.527076	0.387761	0.387761	0.844676	0.216815	0.221274	0.131776	0.289229	0.289333	0.270395	0.191172	0.366674	GSE104323|10X_all_cells|Immature-Astro|known_non_dentate_reference
