dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	axon_guidance_synapse	1232	15	15	0.548701	0.0365801	0.599026	0.0399351	0.026611	0.026611	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	cerebellar_identity	1232	11	11	0.556006	0.050546	0.748377	0.0680342	0.0416289	0.0416289	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	dentate_identity	1232	8	8	0.208604	0.0260755	0.234578	0.0293222	0.0192366	0.0192366	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	1232	8	7	2.84984	0.35623	4.21104	0.52638	0.307659	0.351611	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	1232	12	12	1.97159	0.164299	3.26867	0.272389	0.151325	0.151325	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	mouse	dentate_gyrus	10x	shared_granule_neuronal	1232	13	13	1.02679	0.0789835	1.33523	0.10271	0.0635499	0.0635499	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	axon_guidance_synapse	821	15	15	0.823386	0.0548924	0.922046	0.0614698	0.0406432	0.0406432	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	cerebellar_identity	821	11	11	0.717418	0.0652198	1.21072	0.110065	0.0607198	0.0607198	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	dentate_identity	821	8	8	0.287454	0.0359318	0.320341	0.0400426	0.0262881	0.0262881	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	metabolic_proteomic_validation	821	8	7	4.23386	0.529233	10.4287	1.30359	0.598791	0.684333	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	morphogenesis_cytoskeleton	821	12	12	2.21924	0.184937	3.6687	0.305725	0.169113	0.169113	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	mouse	dentate_gyrus	10x	shared_granule_neuronal	821	13	13	1.2972	0.0997845	1.66504	0.12808	0.0796128	0.0796128	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	mouse	dentate_gyrus	10x	axon_guidance_synapse	532	15	15	4.75376	0.316917	15.3534	1.02356	0.37461	0.37461	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
