dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	RGL	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	199	0.2000704342154209	0.2061399568620559	0.5833333333333334	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	1232	0.12232009068704916	0.12704659645845603	0.4166666666666667	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	821	0.14617097939929413	0.1542372134786628	0.4583333333333333	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	651	0.18694434296164383	0.20609751016853184	0.5	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	686	0.2346461203861338	0.25331675452166486	0.625	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	182	0.1960120300103061	0.2113915633745328	0.5416666666666666	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	79	0.0	0.0373671731790982	0.041666666666666664	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	428	0.04077336356234972	0.04543002391005039	0.08333333333333333	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	543	0.08154672712469944	0.10652427967124536	0.22916666666666666	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	160	0.08154672712469944	0.12125167246048893	0.22916666666666666	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	704	0.08154672712469944	0.09429406865011464	0.22916666666666666	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	232	0.11446530288560666	0.12163034294195164	0.375	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	794	0.08154672712469944	0.10788346386351211	0.22916666666666666	False		other	other	OPC
