branch	dataset	sample	source_group	state_label	state_order	state_bin	state_bin_label	n_cells	cerebellar_fate_rhombic_lip_shh	dentate_fate_wnt_prox1	downstream_neurite_morphology	downstream_synaptic_excitability	shared_granule_special	shared_neurogenic_niche_state	HMGN2	NEUROD1	NFIA	RBFOX3	branch_matched_fate_rank	opposed_fate_rank	regional_fate_polarity	construction_rank	shared_special_gene_rank	postmitotic_special_gene_rank	regulatory_chromatin_gene_rank	configuration_timing_score
cerebellar	GSE122357	P0	Granule precursor	P0 Granule precursor	0.0	immature	early/precursor	2553	1.0	0.625	0.5	0.625	1.0	0.375	1.0	0.875	1.0	0.5	1.0	0.625	0.375	0.5625	0.84375	0.6875	1.0	1.03125
cerebellar	GSE122357	P0	Granule cells	P0 Granule cells	0.2	immature	early/precursor	2814	0.875	1.0	1.0	1.0	0.875	0.625	0.375	1.0	0.6875	1.0	0.875	1.0	-0.125	1.0	0.765625	1.0	0.53125	1.140625
cerebellar	GSE122357	P8a	Granule precursor	P8a Granule precursor	8.1	immature	early/precursor	3254	1.0	0.625	0.625	0.75	1.0	0.25	1.0	0.875	1.0	0.9375	1.0	0.625	0.375	0.6875	0.953125	0.90625	1.0	1.390625
cerebellar	GSE122357	P8b	Granule precursor	P8b Granule precursor	8.2	immature	early/precursor	4309	1.0	0.625	0.75	0.75	1.0	0.25	1.0	0.875	1.0	0.9375	1.0	0.625	0.375	0.75	0.953125	0.90625	1.0	1.453125
cerebellar	GSE122357	P8a	Granule cells	P8a Granule cells	8.299999999999999	mature	maturing/mature	1367	0.875	1.0	0.875	0.875	0.875	0.75	0.25	1.0	0.8125	0.9375	0.875	1.0	-0.125	0.875	0.75	0.96875	0.53125	0.875
cerebellar	GSE122357	P8b	Granule cells	P8b Granule cells	8.399999999999999	mature	maturing/mature	1883	0.875	0.875	0.875	0.875	0.875	0.75	0.1875	1.0	0.8125	0.9375	0.875	0.875	0.0	0.875	0.734375	0.96875	0.5	0.859375
dentate	GSE104323	10X_all_cells	RGL_young	RGL_young	0.0	progenitor	early/progenitor	686	0.9166666666666666	0.625	0.4166666666666667	0.16666666666666666	0.7916666666666666	0.9166666666666666	0.875	0.4583333333333333	0.8125	0.4166666666666667	0.625	0.9166666666666666	-0.29166666666666663	0.2916666666666667	0.640625	0.4375	0.84375	0.01562500000000011
dentate	GSE104323	10X_all_cells	RGL	RGL	1.0	progenitor	early/progenitor	199	0.6875	0.5833333333333334	0.25	0.041666666666666664	0.4791666666666667	0.6666666666666666	0.6041666666666666	0.4583333333333333	0.5416666666666666	0.4166666666666667	0.5833333333333334	0.6875	-0.10416666666666663	0.14583333333333334	0.5052083333333334	0.4375	0.5729166666666666	-0.015624999999999889
dentate	GSE104323	10X_all_cells	nIPC	nIPC	2.0	progenitor	early/progenitor	353	0.9166666666666666	0.9166666666666666	0.6666666666666666	0.625	1.0	0.7083333333333334	1.0	0.4583333333333333	0.9583333333333334	0.4166666666666667	0.9166666666666666	0.9166666666666666	0.0	0.6458333333333333	0.7083333333333334	0.4375	0.9791666666666667	0.6458333333333331
dentate	GSE104323	10X_all_cells	nIPC-perin	nIPC-perin	3.0	progenitor	early/progenitor	468	1.0	0.75	0.625	0.5833333333333334	0.9166666666666666	0.9583333333333334	0.9583333333333334	0.4583333333333333	0.9583333333333334	0.4166666666666667	0.75	1.0	-0.25	0.6041666666666667	0.6979166666666667	0.4375	0.9583333333333334	0.3437500000000001
dentate	GSE104323	10X_all_cells	Neuroblast	Neuroblast	4.0	immature	postmitotic/immature	1381	0.6875	0.9583333333333334	0.75	0.6666666666666666	0.9583333333333334	0.625	0.9166666666666666	1.0	0.9583333333333334	0.9166666666666666	0.9583333333333334	0.6875	0.27083333333333337	0.7083333333333333	0.9479166666666666	0.9583333333333333	0.9375	1.03125
dentate	GSE104323	10X_all_cells	Immature-GC	Immature-GC	5.0	immature	postmitotic/immature	2419	0.2708333333333333	1.0	0.8333333333333334	0.75	0.875	0.4583333333333333	0.6041666666666666	0.9583333333333334	0.8125	0.9166666666666666	1.0	0.2708333333333333	0.7291666666666667	0.7916666666666667	0.8229166666666666	0.9375	0.7083333333333333	1.1562500000000002
dentate	GSE104323	10X_all_cells	GC-juv	GC-juv	6.0	mature	maturing/mature	3420	0.2708333333333333	0.8333333333333334	0.7083333333333334	0.9583333333333334	0.6666666666666666	0.14583333333333334	0.6041666666666666	0.4583333333333333	0.5416666666666666	0.9166666666666666	0.8333333333333334	0.2708333333333333	0.5625	0.8333333333333334	0.6302083333333333	0.6875	0.5729166666666666	1.3177083333333333
dentate	GSE104323	10X_all_cells	GC-adult	GC-adult	7.0	mature	maturing/mature	2613	0.2708333333333333	0.6666666666666666	0.5	0.875	0.4791666666666667	0.041666666666666664	0.1875	0.4583333333333333	0.22916666666666666	0.4166666666666667	0.6666666666666666	0.2708333333333333	0.3958333333333333	0.6875	0.3229166666666667	0.4375	0.20833333333333331	0.9687500000000001
