gene	gene_feature_row_1based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	n_distal_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_peaks_total_100kb
GABRA2	8268	ENSG00000151834	GABRA2	chr4	46388712	46475230	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	5	3	1	0	9
GPM6A	9243	ENSG00000150625	GPM6A	chr4	175787675	176002664	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	False	4	11	19	2	0	32
KCNK1	3199	ENSG00000135750	KCNK1	chr1	233614105	233614106	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	15	1	1	0	17
NFIA	1201	ENSG00000162599	NFIA	chr1	60865258	61404076	developmental_origin_module;manuscript_candidate_tier	Tier 1 core convergent program;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	True	2	4	54	0	3	61
NFIB	16304	ENSG00000147862	NFIB	chr9	14180791	14398983	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	9	28	1	1	39
RFX3	16229	ENSG00000080298	RFX3	chr9	3395587	3526001	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	7	11	0	0	18
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	10	1	2	5	18
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	10	1	2	1	14
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	6	1	0	1	8
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	12	2	1	1	16
