db_class_key	canonical_gene	human_symbol	mouse_symbol	canonical_mouse_symbol	mgi_one_to_one_human_mouse	same_canonical_symbol	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	human_location	mouse_location
51631687	A1BG	A1BG	A1bg	A1BG	True	True	True	1	117586	HGNC:5	MGI:2152878	Chr19 q13.43	Chr15 25.7 cM
51615916	A1CF	A1CF	A1cf	A1CF	True	True	True	29974	69865	HGNC:24086	MGI:1917115	Chr10 q11.23	Chr19 26.58 cM
51631688	A2M	A2M	A2m	A2M	True	True	True	2	232345	HGNC:7	MGI:2449119	Chr12 p13.31	Chr6 57.49 cM
51631689	A3GALT2	A3GALT2	A3galt2	A3GALT2	True	True	True	127550	215493	HGNC:30005	MGI:2685279	Chr1 p35.1	Chr4 62.23 cM
51631690	A4GALT	A4GALT	A4galt	A4GALT	True	True	True	53947	239559	HGNC:18149	MGI:3512453	Chr22 q13.2	Chr15 39.4 cM
51631691	A4GNT	A4GNT	A4gnt	A4GNT	True	True	True	51146	333424	HGNC:17968	MGI:2143261	Chr3 q22.3	Chr9 51.91 cM
51630033	AAAS	AAAS	Aaas	AAAS	True	True	True	8086	223921	HGNC:13666	MGI:2443767	Chr12 q13.13	Chr15 57.49 cM
51629510	AACS	AACS	Aacs	AACS	True	True	True	65985	78894	HGNC:21298	MGI:1926144	Chr12 q24.31	Chr5 64.24 cM
51630364	AADAC	AADAC	Aadac	AADAC	True	True	True	13	67758	HGNC:17	MGI:1915008	Chr3 q25.1	Chr3 29.17 cM
51631692	AADACL2	AADACL2	Aadacl2	AADACL2	True	True	True	344752	639634	HGNC:24427	MGI:3646333	Chr3 q25.1	Chr3 29.17 cM
51631065	AADACL3	AADACL3	Aadacl3	AADACL3	True	True	True	126767	230883	HGNC:32037	MGI:2685281	Chr1 p36.21	Chr4 77.98 cM
51631063	AADACL4	AADACL4	AAdacl4fm3	AADACL4FM3	True	False	False	343066	546849	HGNC:32038	MGI:3650721	Chr1 p36.21	Chr4 78.05 cM
51631392	AADAT	AADAT	Aadat	AADAT	True	True	True	51166	23923	HGNC:17929	MGI:1345167	Chr4 q33	Chr8 30.85 cM
51627418	AAGAB	AAGAB	Aagab	AAGAB	True	True	True	79719	66939	HGNC:25662	MGI:1914189	Chr15 q23	Chr9 34.19 cM
51615871	AAK1	AAK1	Aak1	AAK1	True	True	True	22848	269774	HGNC:19679	MGI:1098687	Chr2 p13.3	Chr6 37.75 cM
51616610	AAMDC	AAMDC	Aamdc	AAMDC	True	True	True	28971	66273	HGNC:30205	MGI:1913523	Chr11 q14.1	Chr7 53.54 cM
51630039	AAMP	AAMP	Aamp	AAMP	True	True	True	14	227290	HGNC:18	MGI:107809	Chr2 q35	Chr1 38.53 cM
51615872	AANAT	AANAT	Aanat	AANAT	True	True	True	15	11298	HGNC:19	MGI:1328365	Chr17 q25.1	Chr11 81.43 cM
51622638	AAR2	AAR2	Aar2	AAR2	True	True	True	25980	68295	HGNC:15886	MGI:1915545	Chr20 q11.23	Chr2 77.54 cM
51616150	AARD	AARD	Aard	AARD	True	True	True	441376	239435	HGNC:33842	MGI:2181621	Chr8 q24.11	Chr15 19.55 cM
51615873	AARS1	AARS1	Aars1	AARS1	True	True	True	16	234734	HGNC:20	MGI:2384560	Chr16 q22.1	Chr8 57.9 cM
