gene	gene_feature_row_1based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	peak_feature_row_1based	peak_feature_id	peak_chrom	peak_start	peak_end	peak_category	distance_to_gene_body_bp	peak_width_bp	extraction_priority
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154538	chr7:5445796-5446625	chr7	5445796	5446625	distal_100kb	83975	830	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154539	chr7:5450432-5451345	chr7	5450432	5451345	distal_100kb	79255	914	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154540	chr7:5457441-5458363	chr7	5457441	5458363	distal_100kb	72237	923	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154541	chr7:5469904-5470579	chr7	5469904	5470579	distal_100kb	60021	676	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154542	chr7:5470690-5471154	chr7	5470690	5471154	distal_100kb	59446	465	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154543	chr7:5477770-5478674	chr7	5477770	5478674	distal_100kb	51926	905	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154544	chr7:5486584-5487498	chr7	5486584	5487498	distal_100kb	43102	915	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154545	chr7:5491187-5491928	chr7	5491187	5491928	distal_100kb	38672	742	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154546	chr7:5492229-5493050	chr7	5492229	5493050	distal_100kb	37550	822	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154547	chr7:5494537-5495254	chr7	5494537	5495254	distal_100kb	35346	718	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154548	chr7:5495394-5496185	chr7	5495394	5496185	distal_100kb	34415	792	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154549	chr7:5506746-5507603	chr7	5506746	5507603	distal_100kb	22997	858	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154550	chr7:5513396-5514313	chr7	5513396	5514313	distal_100kb	16287	918	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154551	chr7:5526191-5527058	chr7	5526191	5527058	proximal_10kb	3542	868	proximal_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154552	chr7:5529545-5530222	chr7	5529545	5530222	gene_edge_2kb	378	678	gene_edge_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154553	chr7:5530343-5531063	chr7	5530343	5531063	gene_body_overlap	0	721	gene_body_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154554	chr7:5538461-5539392	chr7	5538461	5539392	proximal_10kb	7859	932	proximal_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154555	chr7:5554731-5555577	chr7	5554731	5555577	distal_100kb	24129	847	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154556	chr7:5556026-5556846	chr7	5556026	5556846	distal_100kb	25424	821	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154557	chr7:5557571-5558375	chr7	5557571	5558375	distal_100kb	26969	805	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154558	chr7:5558611-5559493	chr7	5558611	5559493	distal_100kb	28009	883	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154559	chr7:5561855-5562523	chr7	5561855	5562523	distal_100kb	31253	669	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154560	chr7:5563322-5564008	chr7	5563322	5564008	distal_100kb	32720	687	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154561	chr7:5569793-5570665	chr7	5569793	5570665	distal_100kb	39191	873	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154562	chr7:5574375-5575077	chr7	5574375	5575077	distal_100kb	43773	703	distal_context_peak
