gene	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	sample_accession	donor_id	gene_feature_index_0based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	peak_feature_index_0based	peak_feature_id	peak_chrom	peak_start	peak_end	peak_category	distance_to_gene_body_bp	peak_width_bp	extraction_priority
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130284	chr7:5429791-5430667	chr7	5429791	5430667	distal_100kb	99933	877	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130285	chr7:5445616-5446541	chr7	5445616	5446541	distal_100kb	84059	926	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130286	chr7:5450402-5451309	chr7	5450402	5451309	distal_100kb	79291	908	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130287	chr7:5457449-5458365	chr7	5457449	5458365	distal_100kb	72235	917	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130288	chr7:5470055-5470533	chr7	5470055	5470533	distal_100kb	60067	479	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130289	chr7:5470631-5471069	chr7	5470631	5471069	distal_100kb	59531	439	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130290	chr7:5477943-5478852	chr7	5477943	5478852	distal_100kb	51748	910	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130291	chr7:5486570-5487472	chr7	5486570	5487472	distal_100kb	43128	903	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130292	chr7:5490890-5491731	chr7	5490890	5491731	distal_100kb	38869	842	distal_context_peak
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	130293	chr7:5492286-5493216	chr7	5492286	5493216	distal_100kb	37384	931	distal_context_peak
