target_source	target_set	target_label	model_term_supported	gene	mouse_symbol	priority	is_tf_or_regulatory_candidate	recommended_epigenomic_signal	rationale	current_evidence_source	present_as_gse268609_gene_expression_feature	gse268609_feature_id	gse268609_feature_name	gse268609_feature_row_1based	gse268609_chrom	gse268609_start	gse268609_end	gse268609_promoter_gene_window_plusminus_2kb	n_matching_gene_rows
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	GABRA2	Gabra2	highest	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	GABA receptor and synaptic maturation candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000151834	GABRA2	8268	chr4	46388712	46475230	chr4:46386712-46477230	1
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	GPM6A	Gpm6a	highest	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	membrane/neurite outgrowth structural executor	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000150625	GPM6A	9243	chr4	175787675	176002664	chr4:175785675-176004664	1
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	KCNK1	Kcnk1	highest	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	ion-channel/excitability tuning candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000135750	KCNK1	3199	chr1	233614105	233614106	chr1:233612105-233616106	1
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	NFIA	Nfia	highest	True	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	developmental transcriptional regulator	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000162599	NFIA	1201	chr1	60865258	61404076	chr1:60863258-61406076	1
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	NFIB	Nfib	highest	True	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	developmental transcriptional regulator	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000147862	NFIB	16304	chr9	14180791	14398983	chr9:14178791-14400983	1
manuscript_candidate_tier	Tier 1 core convergent program	Tier 1 core convergent program	ConstructionBalance	RFX3	Rfx3	highest	True	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	ciliogenesis/transcriptional regulatory candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000080298	RFX3	16229	chr9	3395587	3526001	chr9:3393587-3528001	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	CACNA2D1	Cacna2d1	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	calcium-channel auxiliary subunit and wiring candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000153956	CACNA2D1	13797	chr7	82443714	82443777	chr7:82441714-82445777	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	GABRB3	Gabrb3	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	GABA receptor and synaptic maturation candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000166206	GABRB3	25254	chr15	26629089	26939539	chr15:26627089-26941539	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	GRIN2B	Grin2b	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	glutamatergic synapse maturation candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000273079	GRIN2B	21298	chr12	13980362	13980363	chr12:13978362-13982363	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	KCND2	Kcnd2	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	voltage-gated potassium-channel candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000184408	KCND2	14172	chr7	120273174	120273175	chr7:120271174-120275175	1
