feature_row_1based	feature_id	feature_name	feature_type	feature_chrom	feature_start	feature_end	linked_gene	best_priority	model_terms_supported	target_sets	peak_category	selection_reason
111	ENSG00000197921	HES5	Gene Expression	chr1	2530262	2530263	HES5	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
148	ENSG00000198912	C1orf174	Gene Expression	chr1	3900271	3900272	C1ORF174	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
602	ENSG00000198830	HMGN2	Gene Expression	chr1	26472439	26472515	HMGN2	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation		target_gene_expression_row
1201	ENSG00000162599	NFIA	Gene Expression	chr1	60865258	61404076	NFIA	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;shared_postmitotic_granule_maturation		target_gene_expression_row
1797	ENSG00000134250	NOTCH2	Gene Expression	chr1	120051713	120069662	NOTCH2	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
2204	ENSG00000132688	NES	Gene Expression	chr1	156677406	156677407	NES	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
2261	ENSG00000162706	CADM3	Gene Expression	chr1	159171608	159171615	CADM3	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
2617	ENSG00000116667	C1orf21	Gene Expression	chr1	184387028	184387029	C1ORF21	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
2718	ENSG00000162702	ZNF281	Gene Expression	chr1	200409991	200410056	ZNF281	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
2883	ENSG00000076356	PLXNA2	Gene Expression	chr1	208244383	208244384	PLXNA2	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
2965	ENSG00000117707	PROX1	Gene Expression	chr1	213987934	213988517	PROX1	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
3112	ENSG00000154342	WNT3A	Gene Expression	chr1	228006997	228006998	WNT3A	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
3199	ENSG00000135750	KCNK1	Gene Expression	chr1	233614105	233614106	KCNK1	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
3514	ENSG00000115738	ID2	Gene Expression	chr2	8678844	8682056	ID2	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
3596	ENSG00000134323	MYCN	Gene Expression	chr2	15940549	15940566	MYCN	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
3884	ENSG00000152154	TMEM178A	Gene Expression	chr2	39665916	39665967	TMEM178A	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
3928	ENSG00000138083	SIX3	Gene Expression	chr2	44941701	44941702	SIX3	medium_high	FatePolarity	anterior_telencephalic_pattern		target_gene_expression_row
3962	ENSG00000143933	CALM2	Gene Expression	chr2	47175538	47176921	CALM2	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
3973	ENSG00000170802	FOXN2	Gene Expression	chr2	48314681	48346217	FOXN2	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
3984	ENSG00000179915	NRXN1	Gene Expression	chr2	49973938	51032561	NRXN1	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
4112	ENSG00000143995	MEIS1	Gene Expression	chr2	66435124	66439321	MEIS1	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
4194	ENSG00000135638	EMX1	Gene Expression	chr2	72916259	72917519	EMX1	medium_high	FatePolarity	anterior_telencephalic_pattern		target_gene_expression_row
4737	ENSG00000125618	PAX8	Gene Expression	chr2	113241778	113278921	PAX8	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
4775	ENSG00000163064	EN1	Gene Expression	chr2	118847677	118847678	EN1	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
4798	ENSG00000074047	GLI2	Gene Expression	chr2	120792408	120797291	GLI2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
5025	ENSG00000162989	KCNJ3	Gene Expression	chr2	154697854	154698695	KCNJ3	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
5073	ENSG00000136535	TBR1	Gene Expression	chr2	161416296	161417895	TBR1	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
5263	ENSG00000162992	NEUROD1	Gene Expression	chr2	181680875	181680876	NEUROD1	high	EpigenomicCompatibility;FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_postmitotic_granule_maturation		target_gene_expression_row
5829	ENSG00000168505	GBX2	Gene Expression	chr2	236168008	236168386	GBX2	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
6086	ENSG00000154764	WNT7A	Gene Expression	chr3	13880070	13880071	WNT7A	high	FatePolarity;NicheSignal	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_neurogenic_niche_state		target_gene_expression_row
6183	ENSG00000163508	EOMES	Gene Expression	chr3	27722322	27722711	EOMES	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
6352	ENSG00000163807	KIAA1143	Gene Expression	chr3	44761618	44761619	KIAA1143	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
6594	ENSG00000114251	WNT5A	Gene Expression	chr3	55481392	55489945	WNT5A	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
6651	ENSG00000163630	SYNPR	Gene Expression	chr3	63278307	63443337	SYNPR	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
