gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
CELF2	CELF2	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9992743736726138	0.9879102506116157	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.9879102506116157	51617377	CELF2	Celf2	CELF2	same_symbol	10659	14007	HGNC:2550	MGI:1338822	True
GPM6A	GPM6A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9967198829699472	0.9549279488194666	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.9549279488194666	51618252	GPM6A	Gpm6a	GPM6A	same_symbol	2823	234267	HGNC:4460	MGI:107671	True
NFIB	NFIB	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9372895105942336	0.9767894934772161	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.9372895105942336	51634293	NFIB	Nfib	NFIB	same_symbol	4781	18028	HGNC:7785	MGI:103188	True
NFIA	NFIA	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9272895621459286	0.9161419673167923	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.9161419673167923	51625494	NFIA	Nfia	NFIA	same_symbol	4774	18027	HGNC:7784	MGI:108056	True
PPP3CA	PPP3CA	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9967333170220769	0.9103652366435542	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.9103652366435542	51620904	PPP3CA	Ppp3ca	PPP3CA	same_symbol	5530	19055	HGNC:9314	MGI:107164	True
FTH1	FTH1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8322248442655846	0.9824073672369608	5	3	0.07600343072186334	0.03613674988490279	True	True	1.0	0.8322248442655846	51619450	FTH1	Fth1	FTH1	same_symbol	2495	14319	HGNC:3976	MGI:95588	True
ANK3	ANK3	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9971399697873817	0.8118060519800525	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.8118060519800525	51616142	ANK3	Ank3	ANK3	same_symbol	288	11735	HGNC:494	MGI:88026	True
CAMTA1	CAMTA1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8749744044775101	0.7800109208517607	5	3	0.07600343072186334	0.03613674988490279	True	True	1.0	0.7800109208517607	51616758	CAMTA1	Camta1	CAMTA1	same_symbol	23261	100072	HGNC:18806	MGI:2140230	True
YWHAH	YWHAH	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.7524777645957836	0.7499132318352396	5	3	0.07600343072186334	0.03613674988490279	True	True	1.0	0.7499132318352396	51619861	YWHAH	Ywhah	YWHAH	same_symbol	7533	22629	HGNC:12853	MGI:109194	True
NBEA	NBEA	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9977792120373512	0.7191609650340519	5	3	0.07600343072186334	0.005366742498130141	True	True	1.0	0.7191609650340519	51622325	NBEA	Nbea	NBEA	same_symbol	26960	26422	HGNC:7648	MGI:1347075	True
