gene	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	sample_accession	donor_id	present_in_h5	gene_feature_index_0based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	n_peaks_total_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_distal_100kb
ACTB	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	13111	ENSG00000075624	ACTB	chr7	5530600	5530602	30	1	1	0	28
ACTG1	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	29977	ENSG00000184009	ACTG1	chr17	81512754	81512818	34	1	1	1	31
ASCL1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558423	H187	True	22384	ENSG00000139352	ASCL1	chr12	102957673	102957674	6	0	1	3	2
ATOH1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	8643	ENSG00000172238	ATOH1	chr4	93828752	93828753	8	0	1	0	7
BARHL1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	GSM9558423	H187	True	17345	ENSG00000125492	BARHL1	chr9	132582605	132582659	19	0	1	3	15
BASP1	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	9566	ENSG00000176788	BASP1	chr5	17216822	17217631	22	1	1	3	17
BCL11B	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558423	H187	True	24832	ENSG00000127152	BCL11B	chr14	99271484	99272197	14	1	1	2	10
BCL7A	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558423	H187	True	22695	ENSG00000110987	BCL7A	chr12	122019421	122021886	19	1	0	2	16
BMP4	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	24270	ENSG00000125378	BMP4	chr14	53953454	53956825	7	2	0	2	3
BMPR1A	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	18330	ENSG00000107779	BMPR1A	chr10	86756649	86756650	12	1	0	0	11
C14ORF119	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	23944	ENSG00000179933	C14orf119	chr14	23095504	23095525	21	1	0	0	20
C16ORF87	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	27304	ENSG00000155330	C16orf87	chr16	46831161	46831180	18	1	0	0	17
C17ORF75	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	28812	ENSG00000108666	C17orf75	chr17	32342172	32342209	14	1	0	1	12
C1ORF174	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	147	ENSG00000198912	C1orf174	chr1	3900271	3900272	10	1	0	1	8
C1ORF21	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	2616	ENSG00000116667	C1orf21	chr1	184387028	184387029	11	1	0	1	9
